Name,Mean,SD,Minimum,Maximum,nGood
GLON,182.58226,100.90415,0.5923868417739868,359.63787841796875,1905
GLAT,2.6666138,41.10455,-87.66246795654297,86.36791229248047,1905
ln(Energy_Flux100),-25.342182,1.0516794,-27.1288687137115,-18.533840209033873,1905
ln(Unc_Energy_Flux100),-27.468285,0.4703392,-28.46542649817723,-24.777738913465004,1905
ln(Signif_Curve),0.23069435,1.1852599,-5.81269334713383,4.44233319479848,1905
ln(Variability_Index),4.3483763,0.9491313,2.996203563693944,11.014257665680198,1905
500MeV_Index,2.159461,0.37059423,-1.6103540430198002,3.7469970368415226,1905
HR12,-0.40643945,0.503322,-0.999998495,0.999951964,1905
HR23,-0.53008646,0.3627933,-0.999920481,0.999959074,1905
HR34,-0.54546255,0.2513009,-0.999994613,0.999937777,1905
HR45,-0.590271,0.3293118,-0.999995688,0.99919982,1905
Category_3FGL,,,AGN,PSR,1905
CLASS_3FGL,,,BCU,ssrq,1905
Flags,17.562729,156.45877,0,2052,1905
