Name,Mean,SD,Minimum,Maximum,nGood
GLON,179.65067,101.90818,0.0940386,359.99216,3770
GLAT,1.9306166,41.018143,-87.68009,87.57076,3770
ln(Energy_Flux100),-26.081203,1.1071433,-28.502998604470072,-18.483527674773327,3770
ln(Unc_Energy_Flux100),-28.190899,0.57346076,-29.67485028288815,-24.25490001517247,3770
ln(Pivot_Energy),7.450382,0.7797036,5.0053606859338675,10.093747406829635,3770
LP_Index,2.1385124,0.37723616,-0.083803646,5.3127646,3770
Unc_LP_Index,0.15787876,0.13492826,0.0015072328,3.5534618,3770
LP_beta,0.15737607,0.19963734,-0.1694731,0.9999999,3770
LP_SigCurv,2.8867743,6.9900928,0.0,225.77173,3770
ln(Variability_Index),3.1367884,1.404602,-0.8106959452518827,11.225400775966357,3770
HR12,0.120482795,0.752046,-1.0,1.0,3770
HR23,-0.26261917,0.6064483,-1.0,1.0,3770
HR34,-0.5164967,0.3637105,-0.9999997,1.0,3770
HR45,-0.53564507,0.26092902,-1.0,0.9999995,3770
HR56,-0.65830743,0.27632517,-1.0,1.0,3770
HR67,-0.5631188,0.5150277,-1.0,1.0,3770
