Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,AGN_BDT_O,AGN_BDT_O_STD,PSR_BDT_O,PSR_BDT_O_STD,AGN_NN_O,AGN_NN_O_STD,PSR_NN_O,PSR_NN_O_STD,AGN_RF_O,AGN_RF_O_STD,PSR_RF_O,PSR_RF_O_STD,AGN_LR_O,AGN_LR_O_STD,PSR_LR_O,PSR_LR_O_STD,Flags,Category_Prob
4FGL J0002.1+6721c,118.20349,4.939485,-21.1360544,2.6199028,0.20384708,0.35043678,3.956527,0.37815735,-0.70862716,0.006103688,-0.58189505,-0.78467,-0.9999994,0.8016469,2.13687838,7.10902174,OTHER,unk,LogParabola,,1RXS J000209.4+672503,0.820160482,0.119361718,0.179839518,0.119361718,0.888840662,0.06674308,0.111159338,0.06674308,0.800485898,0.054845908,0.199514102,0.054845908,0.808888203,0.043756542,0.191111797,0.043756542,0.514138199,0.204740003,0.485861801,0.204740003,0.630022365,0.272682505,0.369977635,0.272682505,0.27682631,0.085110684,0.72317369,0.085110684,0.13046627,0.052747333,0.86953373,0.052747333,41,MIXED
4FGL J0002.7+7220,119.208755,9.829275,-22.1158631,2.4353676,0.25371093,0.07171249,0.72741395,0.9559326,-0.34862667,0.003195424,-0.6574484,-0.64294577,-0.9865447,0.59027827,2.78529022,7.84867002,OTHER,spp,PowerLaw,,SNR G119.5+10.2,0.999540923,0.000435,0.000459,0.000435,0.996985073,0.001918257,0.003014927,0.001918257,0.989376071,0.010317868,0.010623929,0.010317868,0.992761723,0.002282694,0.007238277,0.002282694,0.999056101,0.000825,0.000944,0.000825,0.994721526,0.011214464,0.005278474,0.011214464,0.973986317,0.020940611,0.026013683,0.020940611,0.938832759,0.026431052,0.061167241,0.026431052,0,AGN
4FGL J0013.6+4051,115.2578,-21.451033,-22.5330706,2.1912282,0.125686,-0.05117838,0.8209412,-0.83213615,-0.2558227,0.0003,-0.67766905,-0.5710642,-0.8586353,0.49964562,2.48201656,7.72133749,OTHER,agn,PowerLaw,,4C +40.01,0.999495736,0.000358,0.000504,0.000358,0.997786873,0.001396551,0.002213127,0.001396551,0.991732066,0.008961013,0.008267934,0.008961013,0.999249206,0.000266,0.000751,0.000266,0.997987623,0.001440928,0.002012377,0.001440928,0.997001595,0.004607424,0.002998405,0.004607424,0.991805658,0.009351711,0.008194342,0.009351711,0.995808229,0.002417893,0.004191771,0.002417893,0,AGN
4FGL J0024.0-7204,305.90195,-44.891075,-19.2281523,2.0958216,0.037899427,0.35821497,20.062511,0.4765868,-0.06136567,0.000806,-0.41994908,-0.62575454,-0.9346523,-0.86440825,1.65742471,6.86818182,OTHER,glc,LogParabola,3FGL J0023.9-7203,NGC 104,0.002080959,0.002289599,0.997919041,0.002289599,0.100349169,0.07207731,0.899650831,0.07207731,0.017734738,0.016462051,0.982265262,0.016462051,0.000179,0.000177,0.999820525,0.000177,0.002082969,0.001603845,0.997917031,0.001603845,0.003596397,0.005752563,0.996403603,0.005752563,0.010273596,0.006424033,0.989726404,0.006424033,7.49e-07,1.07e-06,0.999999251,1.07e-06,0,PSR
4FGL J0025.3+6408,120.093605,1.421848,-20.8733497,2.1818187,0.074476324,0.012063479,0.34814614,0.9999286,-0.2031737,0.000161,-0.44662127,-0.6815428,-0.54934645,-0.74619144,1.44390768,8.06692332,OTHER,snr,PowerLaw,3FGL J0025.7+6404,Tycho,0.993086073,0.01109331,0.006913927,0.01109331,0.982608636,0.012385341,0.017391364,0.012385341,0.975755882,0.017747851,0.024244118,0.017747851,0.903393091,0.027045216,0.096606909,0.027045216,0.981990768,0.015108575,0.018009232,0.015108575,0.918782956,0.103640332,0.081217044,0.103640332,0.962272176,0.026105417,0.037727824,0.026105417,0.564726381,0.087132939,0.435273619,0.087132939,0,AGN
4FGL J0043.2+4114,121.28495,-21.604197,-22.0366845,2.5048692,0.330557,0.6972687,3.9127028,-0.47291672,-0.05609514,0.012366055,-0.3715284,-0.95680994,-0.99996805,0.57930875,1.42787774,6.79457284,OTHER,gal,LogParabola,3FGL J0042.5+4117,M 31,0.98519929,0.039757697,0.01480071,0.039757697,0.765091934,0.13040249,0.234908066,0.13040249,0.863827244,0.049353318,0.136172756,0.049353318,0.744281306,0.057592835,0.255718694,0.057592835,0.982011628,0.025952607,0.017988372,0.025952607,0.536636537,0.282291265,0.463363463,0.282291265,0.575272962,0.111218399,0.424727038,0.111218399,0.114115665,0.04340665,0.885884335,0.04340665,4,MIXED
4FGL J0047.3+6943,122.57157,6.8534408,-22.4126585,1.9921043,0.20398684,0.039431635,0.48153985,-0.9999593,0.99905175,0.00147044,-0.68178725,-0.4309534,-0.3757932,-0.603265,1.80739657,8.62966388,OTHER,unk,PowerLaw,,1RXS J004724.5+694222,0.999707477,0.000213,0.000293,0.000213,0.994610443,0.003749438,0.005389557,0.003749438,0.997389348,0.002572581,0.002610652,0.002572581,0.991982443,0.00222575,0.008017557,0.00222575,0.998536898,0.001279343,0.001463102,0.001279343,0.969988738,0.044508616,0.030011262,0.044508616,0.994106315,0.006882288,0.005893685,0.006882288,0.951218405,0.021106873,0.048781595,0.021106873,0,AGN
4FGL J0047.5-2517,97.574394,-87.96936,-20.9573501,2.1376503,0.072187655,0.10618303,3.1337867,0.91318977,-0.22942093,0.000618,-0.5350043,-0.6243514,-0.7095057,-0.55876535,2.54045314,6.93655039,OTHER,sbg,LogParabola,3FGL J0047.5-2516,NGC 253,0.999511678,0.000518,0.000488,0.000518,0.989118082,0.008819207,0.010881918,0.008819207,0.992972526,0.008246015,0.007027474,0.008246015,0.988918062,0.003425649,0.011081938,0.003425649,0.99658815,0.003595108,0.00341185,0.003595108,0.969351789,0.050926039,0.030648211,0.050926039,0.967505792,0.024025899,0.032494208,0.024025899,0.944200397,0.023543436,0.055799603,0.023543436,0,AGN
4FGL J0058.0-7245e,302.25146,-44.36958,-19.6881509,2.200094,0.042312916,0.091392405,5.236902,0.9798089,-0.43790832,2.16e-05,-0.5998293,-0.6060651,-0.71643245,-0.9999105,2.41448696,6.80918598,OTHER,GAL,PLSuperExpCutoff,3FGL J0059.0-7242e,SMC,0.986732474,0.012723443,0.013267526,0.012723443,0.883843645,0.075242175,0.116156355,0.075242175,0.907128158,0.041765737,0.092871842,0.041765737,0.884474001,0.029792281,0.115525999,0.029792281,0.877034136,0.091067761,0.122965864,0.091067761,0.741790047,0.215370362,0.258209953,0.215370362,0.891881955,0.045110227,0.108118045,0.045110227,0.378157495,0.077043107,0.621842505,0.077043107,4,MIXED
4FGL J0059.7-7210,302.0373,-44.934067,-22.2788955,2.5565722,0.33583862,0.8559406,3.761818,-0.96252596,0.6870791,0.002730636,-0.7387642,-0.93445283,-0.9996142,0.5985763,2.46682465,6.80806665,OTHER,sfr,LogParabola,,NGC 346,0.940078757,0.08943895,0.059921243,0.08943895,0.949696219,0.040093266,0.050303781,0.040093266,0.891839546,0.047853994,0.108160454,0.047853994,0.960533431,0.015294486,0.039466569,0.015294486,0.77799728,0.208630638,0.22200272,0.208630638,0.780923091,0.205379208,0.219076909,0.205379208,0.533656717,0.148412583,0.466343283,0.148412583,0.496947168,0.127297453,0.503052832,0.127297453,16,MIXED
4FGL J0102.9-7051,301.56763,-46.23473,-22.789867,2.2198255,0.39710075,0.8091197,2.057283,0.9668198,-0.9332497,0.022778101,0.34224594,-0.712946,-0.8134763,-0.97523415,2.82530018,7.48620863,OTHER,glc,PowerLaw,,NGC 362,0.994197382,0.058927103,0.005802618,0.058927103,0.993436011,0.004285963,0.006563989,0.004285963,0.965294946,0.023791681,0.034705054,0.023791681,0.99356419,0.002733292,0.00643581,0.002733292,0.998416238,0.003753891,0.001583762,0.003753891,0.99742533,0.004867338,0.00257467,0.004867338,0.972230071,0.02059315,0.027769929,0.02059315,0.984090136,0.010137192,0.015909864,0.010137192,0,AGN
4FGL J0138.6+6821,127.284904,5.8786836,-21.7076374,2.6308134,0.124618165,0.07600726,1.2300527,0.999696,-0.5969231,0.00126541,-0.8492543,-0.7281539,-0.645651,-0.6788782,0.906615114,7.05410331,OTHER,unk,PowerLaw,,87GB 013451.9+680621,0.99218425,0.039738089,0.00781575,0.039738089,0.933080907,0.041119027,0.066919093,0.041119027,0.957366769,0.02576765,0.042633231,0.02576765,0.833998002,0.040874668,0.166001998,0.040874668,0.961490325,0.06223559,0.038509675,0.06223559,0.756607422,0.212820214,0.243392578,0.212820214,0.881650431,0.059353183,0.118349569,0.059353183,0.184046244,0.058578836,0.815953756,0.058578836,4,MIXED
4FGL J0212.1+5321,134.92581,-7.630409,-19.7396438,2.21948,0.05438432,0.3844492,12.593907,-0.40320528,-0.08225876,0.001136594,-0.44777736,-0.66919386,-0.9499313,-0.99872315,1.37907179,6.94256706,OTHER,bin,LogParabola,3FGL J0212.1+5320,1SXPS J021210.6+532136,0.000587,0.000621,0.999412515,0.000621,0.042849193,0.030370489,0.957150807,0.030370489,0.01134305,0.011231707,0.98865695,0.011231707,0.003853236,0.002221669,0.996146764,0.002221669,0.000842,0.000406,0.999158225,0.000406,0.001035766,0.001990632,0.998964234,0.001990632,0.008538485,0.002881456,0.991461515,0.002881456,4.86e-05,3.81e-05,0.999951448,3.81e-05,0,PSR
