Source_Name_4FGL,GLAT,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,GLON,Flags,AGN_BDT_O,AGN_BDT_O_STD,PSR_BDT_O,PSR_BDT_O_STD,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_O_STD,AGN_RF_O,AGN_RF_O_STD,PSR_RF_O,PSR_RF_O_STD,AGN_LR_O,AGN_LR_O_STD,PSR_LR_O,PSR_LR_O_STD,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,Category_Prob
4FGL J0001.2+4741,-14.338059,-22.671496,2.1983633,0.22415973,0.02462352,0.20407747,-0.9792905,0.9973279,0.000818,-0.6361753,-0.6589638,-0.7605767,-0.124010414,2.85004914,7.76890642,AGN,bcu,PowerLaw,,B3 2358+474,114.250198,0,0.999761834,0.000209029168,0.000238166348,0.000209029168,0.995117915,0.0080089372,0.00488208514,0.0080089372,0.991046695,0.0111714163,0.00895330473,0.0111714163,0.997331828,0.00164607555,0.00266817173,0.00164607555,0.999960627,0.000110504797,3.93727653e-05,0.000110504797,0.997087115,0.00214407413,0.00291288451,0.00214407413,0.995371086,0.00771209838,0.00462891355,0.00771209838,0.99959876,0.000146418168,0.000401240153,0.000146418168,AGN
4FGL J0001.2-0747,-67.30501,-20.8979273,2.1483262,0.06558173,0.04727811,1.417618,-0.10349428,-0.44158757,0.000833,-0.6502833,-0.43597096,-0.78199154,-0.5599956,2.82548912,7.14862707,AGN,bll,PowerLaw,3FGL J0001.2-0748,PMN J0001-0746,89.0327225,0,0.999516654,0.000411321053,0.000483345903,0.000411321053,0.997783163,0.00500312948,0.00221683654,0.00500312948,0.996487115,0.0078680937,0.0035128845,0.0078680937,0.990101674,0.00425637947,0.00989832644,0.00425637947,0.999904101,7.01766479e-05,9.58991947e-05,7.01766479e-05,0.99578805,0.00303512811,0.00421195045,0.00303512811,0.998432607,0.0041272909,0.0015673931,0.0041272909,0.997978017,0.000630198332,0.00202198339,0.000630198332,AGN
4FGL J0001.5+2113,-40.167652,-20.7558644,2.6801705,0.04493158,0.14800178,5.0912256,-0.24777053,-0.6425761,0.001910791,-0.78641707,-0.87753016,-0.9997511,-0.89316,6.82510973,5.93064112,AGN,fsrq,LogParabola,3FGL J0001.4+2120,TXS 2358+209,107.649353,0,0.997242844,0.00270769484,0.00275715583,0.00270769484,0.997850003,0.00426964938,0.00214999672,0.00426964938,0.967750278,0.0265863692,0.0322497225,0.0265863692,0.999235828,0.00042790711,0.000764172095,0.00042790711,0.996382646,0.00327859483,0.00361735352,0.00327859483,0.995444382,0.00323316834,0.00455561777,0.00323316834,0.971125582,0.0201174574,0.0288744183,0.0201174574,0.999909773,5.23258867e-05,9.02272638e-05,5.23258867e-05,AGN
4FGL J0001.6-4156,-72.02855,-21.9930466,1.8335938,0.13819773,0.025063045,0.40303585,-0.5563565,-0.81565475,0.000362,-0.31606382,-0.27268785,-0.55835617,-0.14999126,2.62107773,8.15360958,AGN,bcu,PowerLaw,3FGL J0002.2-4152,2MASS J00013275-4155252,334.226349,0,0.999950319,3.65333294e-05,4.9681338e-05,3.65333294e-05,0.999089609,0.00157467607,0.000910391363,0.00157467607,0.99977452,0.000514127446,0.000225479845,0.000514127446,0.999924267,4.31812394e-05,7.57328912e-05,4.31812394e-05,0.999967846,2.14133061e-05,3.21536207e-05,2.14133061e-05,0.99711359,0.00241324,0.00288640997,0.00241324,0.999726681,0.00021310216,0.000273318846,0.00021310216,0.999933217,2.74967152e-05,6.6782661e-05,2.74967152e-05,AGN
4FGL J0002.1-6728,-48.963467,-22.1989923,1.8019888,0.14996767,0.1313003,2.0598197,-0.92863077,-0.5799706,0.000853,-0.12173295,-0.43336454,-0.26409936,-0.6256855,2.30441628,8.38499508,AGN,bcu,PowerLaw,3FGL J0002.0-6722,SUMSS J000215-672653,310.08493,0,0.999838632,0.000207320726,0.000161368162,0.000207320726,0.998834096,0.00220874453,0.00116590372,0.00220874453,0.997937644,0.00397521525,0.00206235629,0.00397521525,0.999791718,0.00013550476,0.000208281871,0.00013550476,0.999938579,4.43484526e-05,6.14205031e-05,4.43484526e-05,0.996579667,0.00375233184,0.00342033306,0.00375233184,0.999206776,0.00177880838,0.000793224395,0.00177880838,0.999819134,7.45430982e-05,0.000180865514,7.45430982e-05,AGN
4FGL J0002.8+6217,-0.051036116,-19.7798126,2.4731266,0.07613683,0.42859668,9.461157,0.99266785,0.001857055,0.00188578,-0.56998783,-0.7318594,-0.98968166,-0.9980955,1.54794853,7.19036182,PSR,PSR,PLSuperExpCutoff,3FGL J0002.6+6218,PSR J0002+6216,117.320412,0,0.00352738311,0.0563675337,0.996472617,0.0563675337,0.000292329675,0.000497924755,0.99970767,0.000497924755,0.00783290002,0.00213422681,0.9921671,0.00213422681,5.72228365e-05,3.4853618e-05,0.999942777,3.4853618e-05,0.000296637563,0.000529377323,0.999703362,0.000529377323,0.0525487905,0.0342501047,0.94745121,0.0342501047,0.0134869869,0.012081192,0.986513013,0.012081192,0.00448656744,0.00216348852,0.995513433,0.00216348852,PSR
4FGL J0003.1-5248,-62.788944,-21.9245588,1.845431,0.12932381,0.07142608,1.2588248,0.98467094,-0.7529764,0.00053,-0.41107345,-0.37620062,-0.43967292,-0.4608528,1.71700755,8.27412394,AGN,bcu,PowerLaw,3FGL J0003.2-5246,RBS 0006,318.989899,0,0.999821795,0.000104587735,0.000178204964,0.000104587735,0.998216982,0.00274300784,0.00178301826,0.00274300784,0.99965516,0.000836303693,0.000344840085,0.000836303693,0.998033694,0.000866377211,0.00196630551,0.000866377211,0.999908292,4.35281124e-05,9.17075613e-05,4.35281124e-05,0.995125326,0.00366796461,0.00487467386,0.00366796461,0.999142375,0.00229892974,0.0008576248,0.00229892974,0.998788987,0.000383262227,0.00121101289,0.000383262227,AGN
4FGL J0003.2+2207,-39.380795,-22.6531538,2.275706,0.5404578,0.99964654,1.7167195,-0.38511583,-0.81497735,0.00241974,-0.94270766,0.5786159,-0.900051,-0.9999937,1.55500653,7.75749715,AGN,bll,PowerLaw,,2MASX J00032450+2204559,108.438545,0,0.959212318,0.0402735076,0.0407876818,0.0402735076,0.941123538,0.105841701,0.0588764624,0.105841701,0.940355211,0.033203534,0.0596447887,0.033203534,0.584930933,0.207339364,0.415069067,0.207339364,0.988973006,0.0110416941,0.0110269941,0.0110416941,0.983438026,0.0153812711,0.0165619742,0.0153812711,0.952452438,0.0252041589,0.0475475616,0.0252041589,0.936007974,0.0317081963,0.0639920257,0.0317081963,AGN
4FGL J0003.3-1928,-76.580986,-21.6641473,2.2405226,0.16471803,0.3160174,3.3564024,0.9891295,0.009595376,0.006443805,-0.54012406,-0.62971777,-0.8879328,-0.99895203,3.74103098,6.9700802,AGN,bcu,LogParabola,,PKS 0000-197,65.1977844,0,0.989777913,0.0129200644,0.0102220868,0.0129200644,0.981545936,0.0457651896,0.018454064,0.0457651896,0.762830097,0.073921314,0.237169903,0.073921314,0.980976471,0.0093115894,0.0190235288,0.0093115894,0.996484121,0.00346488153,0.00351587931,0.00346488153,0.988699435,0.0100850277,0.0113005647,0.0100850277,0.943833349,0.0246159731,0.0561666507,0.0246159731,0.996484028,0.00134264427,0.00351597165,0.00134264427,AGN
4FGL J0003.3-5905,-56.965885,-22.7540262,2.3632457,0.21061169,0.025621843,0.2801407,0.8072822,-0.820896,0.003027135,-0.5377211,-0.48551217,-0.9999003,-0.38655543,1.23574757,7.12353297,AGN,bcu,PowerLaw,,PMN J0003-5905,314.239044,4,0.996427189,0.0025289116,0.00357281089,0.0025289116,0.993394968,0.00742762994,0.00660503164,0.00742762994,0.988305494,0.0109167207,0.0116945064,0.0109167207,0.988840024,0.00567705908,0.011159976,0.00567705908,0.998343062,0.00115980253,0.00165693762,0.00115980253,0.993789849,0.00407715667,0.00621015084,0.00407715667,0.990453272,0.00766220043,0.00954672805,0.00766220043,0.997078667,0.00103411326,0.00292133306,0.00103411326,AGN
