Source_Name,GLON,GLAT,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,CLASS2,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times used
0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18,19,20.0,21.0,22,23,24,25,26.0,27.0,28,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38
4FGL J0001.2+4741,114.2502,-14.338059,2365.8826,-22.671495960842364,2.1983633,0.22415973,0.02462352,0.20407747,-0.9792905,0.9973279,8.183531E-4,0.6666667,-0.6361753,-0.6589638,-0.7605767,-0.124010414,2.8500491432488757,PowerLaw,AGN,0.105218925,0.27689606,,,bcu,B3 2358+474,0.99609655,0.93856317,0,0.9206330873895815,0.07936691261041824,0.9352538195786503,0.06474618042134993,0.9242995359705358,0.07570046402946468,0.9148762749411965,0.0851237250588038,289
4FGL J0001.2-0747,89.03272,-67.30501,1272.3579,-20.89792734178824,2.1483262,0.06558173,0.04727811,1.417618,-0.10349428,-0.44158757,8.33099E-4,0.6666667,-0.6502833,-0.43597096,-0.78199154,-0.5599956,2.8254891201209116,PowerLaw,AGN,0.035733853,0.11915199,3FGL J0001.2-0748,3FHL J0001.2-0748,bll,PMN J0001-0746,0.99701446,0.93293214,0,0.9574846782719744,0.042515321728025794,0.9360647114209149,0.06393528857908502,0.9600005130537,0.03999948694629918,0.9422444524252038,0.05775554757479659,290
4FGL J0001.5+2113,107.64935,-40.167652,376.39575,-20.755864370512228,2.6801705,0.04493158,0.14800178,5.0912256,-0.24777053,-0.6425761,0.0019107913,0.6666667,-0.78641707,-0.87753016,-0.9997511,-0.89316,6.825109735166782,LogParabola,AGN,0.03150326,0.09734816,3FGL J0001.4+2120,,fsrq,TXS 2358+209,0.9980486,0.95818156,0,0.9271370884288305,0.07286291157116932,0.92888228634272,0.07111771365727917,0.9315543707674717,0.06844562923252814,0.908653127571331,0.0913468724286691,313
4FGL J0001.6-4156,334.22635,-72.02855,3475.903,-21.99304659859212,1.8335938,0.13819773,0.025063045,0.40303585,-0.5563565,-0.81565475,3.6177432E-4,0.6666667,-0.31606382,-0.27268785,-0.55835617,-0.14999126,2.6210777332677186,PowerLaw,AGN,0.06202956,0.16583534,3FGL J0002.2-4152,3FHL J0001.9-4155,bcu,2MASS J00013275-4155252,0.9963356,0.85456926,0,0.9482576681495849,0.05174233185041495,0.9314440682352132,0.0685559317647859,0.9385941629616682,0.0614058370383318,0.9286381354369752,0.07136186456302508,334
4FGL J0002.1-6728,310.08493,-48.963467,4380.837,-22.19899230399184,1.8019888,0.14996767,0.1313003,2.0598197,-0.92863077,-0.5799706,8.5268216E-4,0.6666667,-0.12173295,-0.43336454,-0.26409936,-0.6256855,2.3044162820122613,PowerLaw,AGN,0.07734571,0.26890424,3FGL J0002.0-6722,3FHL J0002.1-6728,bcu,SUMSS J000215-672653,0.9966394,0.9044934,0,0.9217416598451811,0.07825834015481882,0.9323482044150301,0.06765179558496989,0.9169836231585904,0.08301637684140972,0.9032515238829136,0.09674847611708638,287
4FGL J0002.8+6217,117.32041,-0.051036116,1326.5831,-19.779812600414136,2.4731266,0.07613683,0.42859668,9.461157,0.99266785,0.0018570549,0.0018857798,0.6666667,-0.56998783,-0.7318594,-0.98968166,-0.9980955,1.5479485302616522,PLSuperExpCutoff,PSR,0.06502477,0.19059318,3FGL J0002.6+6218,,PSR,PSR J0002+6216,1.0,0.0,0,0.9355904418359385,0.06440955816406024,0.9271978829819741,0.07280211701802657,0.9287476628970006,0.07125233710299968,0.9214150488290297,0.07858495117097046,304
4FGL J0003.1-5248,318.9899,-62.788944,3921.086,-21.92455883588808,1.845431,0.12932381,0.07142608,1.2588248,0.98467094,-0.7529764,5.297295E-4,0.6666667,-0.41107345,-0.37620062,-0.43967292,-0.4608528,1.7170075473930666,PowerLaw,AGN,0.060838696,0.19333006,3FGL J0003.2-5246,3FHL J0003.3-5248,bcu,RBS 0006,0.9830022,0.85980093,0,0.9218550455888479,0.07814495441115264,0.9314191415306254,0.06858085846937474,0.9207187348967051,0.07928126510329517,0.9020290527807796,0.09797094721922048,326
4FGL J0003.2+2207,108.438545,-39.380795,2339.043,-22.653153783278874,2.275706,0.5404578,0.99964654,1.7167195,-0.38511583,-0.81497735,0.0024197397,0.6666667,-0.94270766,0.5786159,-0.900051,-0.9999937,1.5550065279050014,PowerLaw,AGN,0.024958888,0.05938773,,,bll,2MASX J00032450+2204559,,0.0,0,0.942677217281178,0.0573227827188216,0.9327960842069261,0.06720391579307435,0.9448902943578914,0.055109705642109166,0.9202133661921305,0.07978663380787003,300
4FGL J0003.3-1928,65.197784,-76.580986,1064.3081,-21.66414729120602,2.2405226,0.16471803,0.3160174,3.3564024,0.9891295,0.009595376,0.0064438046,0.6666667,-0.54012406,-0.62971777,-0.8879328,-0.99895203,3.7410309778727138,LogParabola,AGN,0.14015451,0.60530806,,,bcu,PKS 0000-197,0.9972004,0.91010976,0,0.931253187152082,0.06874681284791784,0.9262337767983352,0.07376622320166547,0.9285715511248747,0.07142844887512594,0.9117945430863312,0.08820545691366864,314
4FGL J0003.3-5905,314.23904,-56.965885,1240.8265,-22.75402615097728,2.3632457,0.21061169,0.025621843,0.2801407,0.8072822,-0.820896,0.003027135,0.6666667,-0.5377211,-0.48551217,-0.9999003,-0.38655543,1.2357475718822193,PowerLaw,AGN,0.09697441,0.4669434,,,bcu,PMN J0003-5905,0.97976094,0.9494421,4,0.9361421712720666,0.06385782872793322,0.9337269497245215,0.06627305027547742,0.9258378451837348,0.07416215481626552,0.913211252958924,0.08678874704107543,311
