Source_Name_3FGL,Flux_Density_log,Unc_Energy_Flux100_log,Spec_index,signif_curv_log,variability_index__log,hr12,hr23,hr34,hr45,GLAT_3FGL,Category_3FGL,Class_3FGL,Pivot_Energy,Spectrum Type,Assoc1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,TimesinTraining,GLON_3FGL,Flags_3FGL
3FGL J0001.2-0748,-28.35382605,-27.68698488,2.1493483,0.641978984,3.906773511,-0.324667683,-0.599118156,-0.425146785,-0.908887539,-67.32425,AGN,bll,1263.8359,PowerLaw,PMN J0001-0746,0.977748326,0.022251674,0.972509204,0.027490796,0.95280988,0.04719012,0.847166506,0.152833494,303,89.0222,0
3FGL J0002.2-4152,-30.24504063,-28.02967274,2.0889208,-1.608075741,4.031600963,-0.807390796,-0.738067109,0.067455621,-0.580624315,-72.14272,AGN,bcu,1956.0415,PowerLaw,1RXS J000135.5-415519,0.999964827,3.52E-05,0.991626534,0.008373466,0.999993135,6.87E-06,0.999402352,5.98E-04,289,334.0701,0
3FGL J0003.2-5246,-31.54365876,-27.90739503,1.8952075,-0.09545067,3.812875085,-0.999748774,0.991051089,-0.397129256,-0.454391092,-62.824707,AGN,bcu,3676.2268,PowerLaw,RBS 0006,0.9999565,4.35E-05,0.989636374,0.010363626,0.998495659,0.001504341,0.998079496,0.001920504,292,318.97614,0
3FGL J0003.8-1151,-30.75114293,-27.97315839,2.0235214,0.581936251,3.881391536,0.796120394,-0.389624007,-0.664556136,-0.449034661,-71.08423,AGN,bcu,2315.8784,PowerLaw,PMN J0004-1148,0.999578425,4.22E-04,0.983903571,0.016096429,0.986019256,0.013980744,0.976284478,0.023715522,309,84.43189,0
3FGL J0004.7-4740,-26.8768287,-27.84574273,2.4035163,0.607582212,4.726791668,-0.532141432,-0.698347124,-0.635800504,-0.999992715,-67.51865,AGN,fsrq,722.59973,PowerLaw,PKS 0002-478,0.998329323,0.001670677,0.985149107,0.014850893,0.991159133,0.008840867,0.965579091,0.034420909,297,323.81558,0
3FGL J0006.4+3825,-25.81934889,-27.59842799,2.6171293,0.823317268,4.387791237,-0.727468421,-0.714511877,-0.884553713,-0.639908862,-23.613312,AGN,fsrq,496.52658,PowerLaw,S4 0003+38,0.999923384,7.66E-05,0.974518701,0.025481299,0.978406818,0.021593182,0.987999054,0.012000946,299,113.33189,0
3FGL J0008.0+4713,-28.19629817,-27.23714294,2.0209966,0.92186807,3.603143827,-0.128631386,-0.519058466,-0.418792941,-0.633187401,-15.002618,AGN,bll,1875.706,PowerLaw,MG4 J000800+4712,0.974083938,0.025916062,0.894252209,0.105747791,0.867692582,0.132307418,0.881423735,0.118576265,293,115.33255,0
3FGL J0008.6-2340,-32.76020459,-27.68486376,1.5989343,-0.1639293,3.857545996,0.032599993,0.999570207,-0.739576457,0.416237882,-79.75257,AGN,bll,7424.89,PowerLaw,RBS 0016,0.999344276,6.56E-04,0.98968812,0.01031188,0.999747874,2.52E-04,0.991350568,0.008649432,316,50.280113,0
3FGL J0009.1+0630,-29.0152069,-27.71091956,2.1793637,-0.996861512,4.116717136,-0.513312783,-0.599315647,-0.541871893,-0.517110066,-54.84626,AGN,bll,1548.9703,PowerLaw,CRATES J000903.95+062821.5,0.999947018,5.30E-05,0.992432978,0.007567022,0.999897471,1.03E-04,0.997150353,0.002849647,312,104.4891,0
3FGL J0009.3+5030,-27.53580794,-26.97852782,1.9286355,0.759633273,4.599523674,-0.531442468,-0.471129138,-0.403181438,-0.563149301,-11.803292,AGN,bll,1656.9579,PowerLaw,NVSS J000922+503028,0.999820256,1.80E-04,0.973935159,0.026064841,0.991776267,0.008223733,0.991884881,0.008115119,290,116.11642,0
