Source_Name_3FGL,ln(Flux_Density),ln(Unc_EnergyFlux100),Spec_index,ln(significant_curve),ln(variability),hr12,hr23,hr34,hr45,GLAT_3FGL,Pivot_Energy,Spectrum_Type,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict
3FGL J0000.1+6545,-27.62569234,-26.9019404,2.410956,1.222779347,3.707542143,-0.445271574,-0.697543979,-0.910687938,-0.34116469,3.4029577,1159.0813,PowerLaw,0.794359883,0.205640117,0.698564505,0.301435495,0.734239168,0.265760832,0.694744643,0.305255357,0,0.013,0.001,0.001
3FGL J0000.2-3738,-31.57248416,-28.030843,1.8667319,0.403100047,3.803219191,0.152274173,0.038811724,-0.321320026,-0.648189274,-74.946754,3296.3293,PowerLaw,0.999798771,2.01E-04,0.990929887,0.009070113,0.991620929,0.008379071,0.996587639,0.003412361,0,0,0,0
3FGL J0001.6+3535,-28.87831198,-27.8639386,2.3505216,-1.918725308,3.47798208,-0.922401025,-0.374172332,-0.626016616,-0.281278426,-26.188492,1104.2643,PowerLaw,0.999800284,2.00E-04,0.995597933,0.004402067,0.999989481,1.05E-05,0.952594397,0.047405603,0,0,0,0
3FGL J0002.0-6722,-30.66141014,-27.90451112,1.9460614,0.313862188,3.831355102,0.091517931,-0.522755946,-0.422249344,-0.497951868,-49.061836,2466.7234,PowerLaw,0.999848416,1.52E-04,0.992638042,0.007361958,0.993869802,0.006130198,0.998336987,0.001663013,0,0,0,0
3FGL J0003.4+3100,-26.92441146,-27.87572199,2.5538373,0.269992251,3.65159261,-0.712003724,-0.604361903,-0.894347881,-0.873904876,-30.745094,572.5596,PowerLaw,0.991877049,0.008122951,0.971976339,0.028023661,0.948407824,0.051592176,0.882261963,0.117738037,0,0,0,0
3FGL J0003.5+5721,-29.85070498,-27.52068055,2.1830583,0.599138818,3.437894561,0.998425772,-0.652944564,-0.68117706,-0.585744137,-4.9115977,2119.9404,PowerLaw,0.998506235,0.001493765,0.872241394,0.127758606,0.920539672,0.079460328,0.933185808,0.066814192,0,0,0,0
3FGL J0004.2+6757,-28.13952776,-26.84161693,2.4968367,1.364058236,3.550035977,-0.023348192,-0.810064656,-0.673880029,-0.853351203,5.494,1328.3618,PowerLaw,0.559422987,0.440577013,0.265196955,0.734803045,0.330312491,0.669687509,0.397875719,0.602124281,0,0.961,0.997,0.94
3FGL J0004.2+0843,-30.97292526,-27.86031077,2.0504425,-0.235299423,3.814006038,-0.755126177,-0.47767032,5.80E-04,-0.870637758,-52.363342,2762.5613,PowerLaw,0.99755032,0.00244968,0.993992602,0.006007398,0.99861179,0.00138821,0.93767534,0.06232466,0,0,0,0
3FGL J0006.2+0135,-29.95746921,-27.89754945,2.1869004,-1.778628104,3.819167399,-0.611431725,-0.563139983,-0.645471413,-0.395172527,-59.296867,1807.7529,PowerLaw,0.999557147,4.43E-04,0.995511285,0.004488715,0.999987094,1.29E-05,0.991508869,0.008491131,0,0,0,0
3FGL J0006.6+4618,-28.99204898,-27.61604334,2.4172597,-0.072780607,3.888137873,-0.864562982,-0.749247606,-0.717673918,0.050968283,-15.866622,1249.3093,PowerLaw,0.999724016,2.76E-04,0.993357745,0.006642255,0.999484546,5.15E-04,0.96275666,0.03724334,0,0,0,0
3FGL J0007.4+1742,-29.14930237,-27.88476216,2.3119533,-0.226436091,3.840979898,-0.609615712,-0.626028361,-0.670907812,-0.457036045,-43.910923,1239.5774,PowerLaw,0.999748458,2.52E-04,0.99454081,0.00545919,0.998572388,0.001427612,0.971051147,0.028948853,0,0,0,0
3FGL J0007.9+4006,-29.51862195,-27.8112533,2.2756045,-0.020848936,3.793004915,-0.236407818,-0.785758008,-0.459872231,-0.589559308,-22.007206,1504.622,PowerLaw,0.999802846,1.97E-04,0.991729583,0.008270417,0.997138017,0.002861983,0.981869482,0.018130518,0,0,0,0
3FGL J0008.3+1456,-28.59171412,-27.8123656,2.2695491,0.449795246,3.539209765,-0.494925858,-0.54508004,-0.666567991,-0.676152872,-46.658096,1148.4678,PowerLaw,0.998664788,0.001335212,0.979691698,0.020308302,0.953026553,0.046973447,0.819486658,0.180513342,0,0,0,0
3FGL J0010.5-1425,-28.76289424,-27.9946153,2.3083522,1.047668407,4.034630615,0.9989723,-0.684107979,-0.766865033,-0.99994186,-74.11172,1005.85754,PowerLaw,0.975143528,0.024856472,0.924875483,0.075124517,0.831272197,0.168727803,0.639528813,0.360471187,0,0,0,0.015
3FGL J0014.3-0455,-27.95216759,-27.44881073,2.504053,0.061235917,3.996042227,-0.596598806,-0.827170747,-0.51270479,-0.730616651,-66.09583,964.4531,PowerLaw,0.99992704,7.30E-05,0.993727885,0.006272115,0.99700778,0.00299222,0.990416376,0.009583624,0,0,0,0
3FGL J0016.5+1713,-28.40494231,-27.87178276,2.438119,0.813639432,3.968095484,-0.565130471,-0.648743167,-0.914618552,-0.338922225,-44.850296,890.5665,PowerLaw,0.999009467,9.91E-04,0.986835526,0.013164474,0.970977145,0.029022855,0.897110639,0.102889361,0,0,0,0
3FGL J0017.1+1445,-31.54728771,-27.82849692,1.8830268,0.161523434,3.587495355,0.999494413,-0.415735754,-0.774411255,0.044343341,-47.293262,3583.9836,PowerLaw,0.999817204,1.83E-04,0.994313427,0.005686573,0.996978492,0.003021508,0.971972919,0.028027081,0,0,0,0
3FGL J0020.9+0323,-32.66525155,-27.7289009,1.6399021,0.432712698,3.996633143,-0.998829858,0.999604743,-0.200424413,-0.476083427,-58.60079,6460.085,PowerLaw,0.999907746,9.23E-05,0.992221543,0.007778457,0.995785331,0.004214669,0.998460513,0.001539487,0,0,0,0
3FGL J0022.7+4651,-26.57287949,-27.72965817,2.784271,-1.663863898,3.641846414,-0.845841811,-0.566757078,-0.742860791,-0.999991768,-15.7352295,462.09705,PowerLaw,0.982038614,0.017961386,0.994605264,0.005394736,0.999859583,1.40E-04,0.857633854,0.142366146,0,0,0,0
3FGL J0026.2-4812,-29.40555988,-28.02364861,2.1874866,-0.393397081,3.942383312,-0.409177242,-0.458005217,-0.654177193,-0.546266448,-68.35451,1436.4507,PowerLaw,0.999513419,4.87E-04,0.994754016,0.005245984,0.999212965,7.87E-04,0.988694664,0.011305336,0,0,0,0
3FGL J0031.2-2320,-29.85986674,-28.04248519,2.1391132,0.591179458,3.511734436,0.971875436,-0.442618558,-0.580961929,-0.999139811,-84.071144,1541.3683,PowerLaw,0.963209438,0.036790562,0.952539591,0.047460409,0.892067071,0.107932929,0.888246143,0.111753857,0,0,0,0
3FGL J0031.6+0938,-27.41306114,-27.73319853,2.6571865,-0.498493544,3.361062165,-0.548073598,-0.890686743,-0.563723127,-0.162207762,-52.91353,645.5102,PowerLaw,0.999810433,1.90E-04,0.995039257,0.004960743,0.999707198,2.93E-04,0.956564131,0.043435869,0,0,0,0
3FGL J0032.3-5522,-27.23457893,-27.77464221,2.2745852,0.317796424,6.23590181,-0.368012911,-0.67973313,-0.656371204,-0.624356077,-61.548527,907.47565,PowerLaw,0.999934314,6.57E-05,0.995344304,0.004655696,0.999967029,3.30E-05,0.987980118,0.012019882,0,0,0,0
3FGL J0032.5+3912,-27.86534759,-27.84657064,2.563908,-0.390369941,3.560849472,-0.909129306,-0.6463444,-0.522704036,-0.508641293,-23.512846,744.708,PowerLaw,0.999774176,2.26E-04,0.993195199,0.006804801,0.999086245,9.14E-04,0.971812473,0.028187527,0,0,0,0
3FGL J0048.1-6343,-29.56835377,-27.99594312,2.108412,1.212395395,3.950357653,0.99928499,-0.448148742,-0.588280702,-0.828998523,-53.392723,1597.7219,PowerLaw,0.968085583,0.031914417,0.905449013,0.094550987,0.843889389,0.156110611,0.545625159,0.454374841,0,0,0,0.23
3FGL J0049.0+4224,-32.39110487,-27.82127876,1.7653672,-0.475563859,3.572518095,0.61037146,-0.744112667,-0.218490522,-0.285765427,-20.456451,6059.867,PowerLaw,0.99980485,1.95E-04,0.993385911,0.006614089,0.999562942,4.37E-04,0.996654173,0.003345827,0,0,0,0
3FGL J0051.6+6445,-28.99349751,-27.15114816,2.2792559,-0.187299325,3.78772481,-0.586404989,-0.566462097,-0.677605707,-0.725930966,1.8875066,1719.2827,PowerLaw,0.998534435,0.001465565,0.972369983,0.027630017,0.991520466,0.008479534,0.927035666,0.072964334,0,0,0,0
3FGL J0102.1+4458,-29.90020845,-27.89700067,2.265101,-1.021037269,3.707005432,-0.747797334,-0.875461971,0.207284296,-0.802611557,-17.858519,1645.4283,PowerLaw,0.998987862,0.001012138,0.994403134,0.005596866,0.999943816,5.62E-05,0.969635438,0.030364562,0,0,0,0
3FGL J0102.1+0943,-29.76713587,-27.71207359,2.0650234,-0.731081681,3.731490376,-0.302075327,-0.690205141,-0.507378383,-0.299878219,-53.052097,2010.3379,PowerLaw,0.999907556,9.24E-05,0.995256469,0.004743531,0.999791584,2.08E-04,0.997817956,0.002182044,0,0,0,0
3FGL J0112.9-7506,-29.77516298,-27.9739194,2.1721509,-3.086257884,3.678476783,-0.734347332,-0.698580465,-0.552121341,-0.405936232,-41.94519,1641.6904,PowerLaw,0.999900153,9.98E-05,0.995922191,0.004077809,0.999999606,3.94E-07,0.998232116,0.001767884,0,0,0,0
3FGL J0114.8+1917,-29.87328078,-27.88384866,2.3102372,-0.575792503,3.649107481,-0.856665382,-0.247772936,-0.630057463,-0.585832559,-43.231922,1581.0696,PowerLaw,0.999710726,2.89E-04,0.994670831,0.005329169,0.99892786,0.00107214,0.967162885,0.032837115,0,0,0,0
3FGL J0116.8+6913,-26.07631829,-27.18829401,2.759096,0.645481719,3.924471303,-0.69923438,-0.896580758,-0.767079755,-0.999750328,6.46833,504.93448,PowerLaw,0.996945786,0.003054214,0.904816847,0.095183153,0.897940797,0.102059203,0.898047361,0.101952639,0,0,0,0
3FGL J0127.4+5433,-27.74272694,-27.45609643,2.5324936,-0.632397202,3.589362581,-0.730202377,-0.65088879,-0.924679903,0.180678609,-7.948505,828.52924,PowerLaw,0.998966887,0.001033113,0.992670426,0.007329574,0.999810548,1.89E-04,0.934272804,0.065727196,0,0,0,0
