Source_Name_4FGL,GLON,GLAT,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,Category_4FGL,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times_in_Testing,Category_Prob
4FGL J0001.2+4741,114.2502,-14.338059,2365.8826,-22.671496,2.1983633,0.22415973,0.02462352,0.20407747,-0.9792905,0.9973279,0.0008183531,0.6666667,-0.6361753,-0.6589638,-0.7605767,-0.124010414,2.85004914,PowerLaw,AGN,0.105218925,0.27689606,,,bcu,B3 2358+474,0.99609655,0.93856317,0,0.920633087,0.0793669126,0.93525382,0.0647461804,0.924299536,0.075700464,0.930500402,0.0694995975,289,AGN
4FGL J0001.2-0747,89.03272,-67.30501,1272.3579,-20.8979273,2.1483262,0.06558173,0.04727811,1.417618,-0.10349428,-0.44158757,0.000833099,0.6666667,-0.6502833,-0.43597096,-0.78199154,-0.5599956,2.82548912,PowerLaw,AGN,0.035733853,0.11915199,3FGL J0001.2-0748,3FHL J0001.2-0748,bll,PMN J0001-0746,0.99701446,0.93293214,0,0.957484678,0.0425153217,0.936064711,0.0639352886,0.960000513,0.0399994869,0.956290528,0.0437094723,290,AGN
4FGL J0001.5+2113,107.64935,-40.167652,376.39575,-20.7558644,2.6801705,0.04493158,0.14800178,5.0912256,-0.24777053,-0.6425761,0.0019107913,0.6666667,-0.78641707,-0.87753016,-0.9997511,-0.89316,6.82510974,LogParabola,AGN,0.03150326,0.09734816,3FGL J0001.4+2120,,fsrq,TXS 2358+209,0.9980486,0.95818156,0,0.927137088,0.0728629116,0.928882286,0.0711177137,0.931554371,0.0684456292,0.930497674,0.0695023255,313,AGN
4FGL J0001.6-4156,334.22635,-72.02855,3475.903,-21.9930466,1.8335938,0.13819773,0.025063045,0.40303585,-0.5563565,-0.81565475,0.00036177432,0.6666667,-0.31606382,-0.27268785,-0.55835617,-0.14999126,2.62107773,PowerLaw,AGN,0.06202956,0.16583534,3FGL J0002.2-4152,3FHL J0001.9-4155,bcu,2MASS J00013275-4155252,0.9963356,0.85456926,0,0.948257668,0.0517423319,0.931444068,0.0685559318,0.938594163,0.061405837,0.944157638,0.055842362,334,AGN
4FGL J0002.1-6728,310.08493,-48.963467,4380.837,-22.1989923,1.8019888,0.14996767,0.1313003,2.0598197,-0.92863077,-0.5799706,0.00085268216,0.6666667,-0.12173295,-0.43336454,-0.26409936,-0.6256855,2.30441628,PowerLaw,AGN,0.07734571,0.26890424,3FGL J0002.0-6722,3FHL J0002.1-6728,bcu,SUMSS J000215-672653,0.9966394,0.9044934,0,0.92174166,0.0782583402,0.932348204,0.0676517956,0.916983623,0.0830163768,0.922435138,0.0775648615,287,AGN
4FGL J0002.8+6217,117.32041,-0.051036116,1326.5831,-19.7798126,2.4731266,0.07613683,0.42859668,9.461157,0.99266785,0.0018570549,0.0018857798,0.6666667,-0.56998783,-0.7318594,-0.98968166,-0.9980955,1.54794853,PLSuperExpCutoff,PSR,0.06502477,0.19059318,3FGL J0002.6+6218,,PSR,PSR J0002+6216,1,0,0,0.935590442,0.0644095582,0.927197883,0.072802117,0.928747663,0.0712523371,0.931701644,0.0682983555,304,AGN
4FGL J0003.1-5248,318.9899,-62.788944,3921.086,-21.9245588,1.845431,0.12932381,0.07142608,1.2588248,0.98467094,-0.7529764,0.0005297295,0.6666667,-0.41107345,-0.37620062,-0.43967292,-0.4608528,1.71700755,PowerLaw,AGN,0.060838696,0.19333006,3FGL J0003.2-5246,3FHL J0003.3-5248,bcu,RBS 0006,0.9830022,0.85980093,0,0.921855046,0.0781449544,0.931419142,0.0685808585,0.920718735,0.0792812651,0.920909219,0.0790907813,326,AGN
4FGL J0003.2+2207,108.438545,-39.380795,2339.043,-22.6531538,2.275706,0.5404578,0.99964654,1.7167195,-0.38511583,-0.81497735,0.0024197397,0.6666667,-0.94270766,0.5786159,-0.900051,-0.9999937,1.55500653,PowerLaw,AGN,0.024958888,0.05938773,,,bll,2MASX J00032450+2204559,,0,0,0.942677217,0.0573227827,0.932796084,0.0672039158,0.944890294,0.0551097056,0.942401893,0.0575981071,300,AGN
4FGL J0003.3-1928,65.197784,-76.580986,1064.3081,-21.6641473,2.2405226,0.16471803,0.3160174,3.3564024,0.9891295,0.009595376,0.0064438046,0.6666667,-0.54012406,-0.62971777,-0.8879328,-0.99895203,3.74103098,LogParabola,AGN,0.14015451,0.60530806,,,bcu,PKS 0000-197,0.9972004,0.91010976,0,0.931253187,0.0687468128,0.926233777,0.0737662232,0.928571551,0.0714284489,0.923785906,0.0762140939,314,AGN
4FGL J0003.3-5905,314.23904,-56.965885,1240.8265,-22.7540262,2.3632457,0.21061169,0.025621843,0.2801407,0.8072822,-0.820896,0.003027135,0.6666667,-0.5377211,-0.48551217,-0.9999003,-0.38655543,1.23574757,PowerLaw,AGN,0.09697441,0.4669434,,,bcu,PMN J0003-5905,0.97976094,0.9494421,4,0.936142171,0.0638578287,0.93372695,0.0662730503,0.925837845,0.0741621548,0.92921293,0.0707870701,311,AGN
