SourceName_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_Beta,LP_Sigcurv,hr12,hr23,Unc_PLEC_Expfactor,Unc_PLEC_Index,hr34,hr45,hr56,hr67,Variability_Index,Spectrum_Type,Unc_LP_beta,PLEC_Expfactor,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,FLAGS,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict
4FGL J0000.3-7355,307.70898,-42.729538,2430.1826,-22.483841131359625,2.119125,0.25751528,0.08968772,0.6184386,-0.9960373,0.93898755,0.0016885875,0.39123338,-0.58789384,-0.46454003,-0.6292898,-0.9996481,2.159249104310168,PowerLaw,0.14627089,0.6666667,,,,,0.0,0.0,0,0.999823452781236,1.7654721877829766E-4,0.9593763585062067,0.04062364149379355,0.9995335942206278,4.6640577937260457E-4,0.9964940828424639,0.003505917157536764,0.0,0.0,0.0,0.0
4FGL J0002.1+6721,118.20349,4.939485,1284.9344,-21.090783098356894,2.600463,0.21873616,0.3613416,3.6965556,-0.29938075,-0.59153795,0.0063787973,0.5716248,-0.5675548,-0.8072314,-0.999372,-0.98807925,1.7963351252440556,LogParabola,0.15034156,0.6666667,,,unk,1RXS J000209.4+672503,0.0,0.95309293,1,0.9006401982946959,0.0993598017053009,0.8730917868865208,0.12690821311347972,0.7824802997170889,0.21751970028291046,0.33507576532074307,0.6649242346792555,0.0,0.029,0.0,1.0
4FGL J0003.3+2511,109.38164,-36.411484,1612.2313,-22.355321090591,2.209443,0.31500685,0.41627398,2.120038,0.77953553,-0.5709804,0.009460228,1.0453527,-0.34649104,-0.693337,-0.68017524,-0.9834204,0.9459222329364977,PowerLaw,0.32086015,0.6666667,,,,,0.0,0.0,0,0.99983435817569,1.6564182430739218E-4,0.9223498290613918,0.07765017093861001,0.8829423154160232,0.11705768458397778,0.9623962546601065,0.03760374533989407,0.0,0.007,0.0,0.0
4FGL J0003.6+3059,111.004486,-30.771994,1367.2732,-21.536510484875254,2.2234128,0.2737722,0.6783473,4.395897,0.946137,-0.30623183,0.007885308,0.8389943,-0.18627536,-0.7547651,-0.85793644,-0.99782455,1.6119296175686424,LogParabola,0.25180805,0.6666667,3FGL J0003.4+3100,,,,0.0,0.0,0,0.9318422424146379,0.06815775758535379,0.6403636978328845,0.359636302167116,0.5359257126345515,0.46407428736544865,0.3311223259674349,0.6688776740325649,0.0,0.403,0.461,0.995
4FGL J0004.0+5715,116.52632,-5.0228662,1378.5641,-21.69496100500525,2.4375134,0.23494162,0.27710062,2.2947636,0.99195033,0.2330916,0.0046581076,0.5546416,-0.6546432,-0.5928602,-0.9882191,-0.9968712,2.415434339865422,PowerLaw,0.17424358,0.6666667,3FGL J0003.5+5721,,,,0.0,0.0,0,0.9859038152878451,0.014096184712162204,0.9515408114613265,0.04845918853867343,0.9273506385879566,0.07264936141204202,0.7216177777203611,0.27838222227964005,0.0,0.0,0.0,0.0
4FGL J0004.4-4001,336.9915,-73.84534,1243.006,-22.55135493570753,2.4249508,0.14729057,-0.027007917,0.3422165,-0.07757718,-0.781518,0.0010227567,0.21702,-0.56201136,-0.65176815,-0.7525004,-0.39933,2.9187022183482143,PowerLaw,0.068658195,0.6666667,,,,,0.0,0.0,4,0.9998947115626992,1.0528843729969556E-4,0.9636626029858331,0.03633739701416798,0.9999094939452727,9.050605472749016E-5,0.9977647557425343,0.0022352442574656893,0.0,0.0,0.0,0.0
4FGL J0005.6+6746c,118.60844,5.282127,1240.5938,-21.6309456537906,2.6314557,0.2878915,0.32071975,2.689085,0.9852871,0.9764428,0.006553203,0.54935044,-0.7463456,-0.8327146,-0.84040207,-0.9997997,1.8049843705876478,PowerLaw,0.18199188,0.6666667,,,,,0.0,0.0,56,0.9291987639007281,0.07080123609926701,0.818775267414018,0.18122473258598237,0.637783335007223,0.36221666499277744,0.6198976744741883,0.3801023255258117,0.0,0.078,0.265,0.017
4FGL J0006.6+4618,114.92035,-15.869719,1215.221,-22.31293827876488,2.521416,0.12419312,-0.050101988,0.8819638,0.743678,-0.8633664,0.0012056957,0.15938121,-0.7528888,-0.3601912,-0.7494455,-0.9999925,2.432023270474068,PowerLaw,0.048874963,0.6666667,3FGL J0006.6+4618,,,,0.0,0.0,0,0.9996363847117338,3.636152882649285E-4,0.9596267138719473,0.04037328612805409,0.9967770710945214,0.0032229289054801135,0.9975324335985282,0.002467566401471882,0.0,0.0,0.0,0.0
4FGL J0008.4+6926,119.14811,6.885729,3047.682,-21.85704524533681,2.3719156,0.22492553,0.10302104,1.0564419,0.9988942,0.99967754,0.0021455833,0.4245506,-0.61695856,-0.7522733,-0.28375107,-0.9999608,2.3818027522036784,PowerLaw,0.11486513,0.6666667,,,,,0.0,0.0,0,0.9996313450133729,3.6865498663351246E-4,0.9574951710712982,0.042504828928703185,0.9881538154559818,0.011846184544017143,0.979094138955009,0.02090586104499045,0.0,0.0,0.0,0.0
4FGL J0008.9+2509,110.91511,-36.72459,369.76093,-22.769821532915714,2.8815272,0.213211,0.20584151,1.475534,-0.59508824,-0.50279725,0.012305561,0.5522985,-0.8196711,-0.98260194,-0.87082124,-0.99695784,2.3534583630035915,PowerLaw,0.16841836,0.6666667,,,,,0.0,0.0,0,0.9997121520579186,2.878479420797007E-4,0.967168844731018,0.03283115526898186,0.9946817685418127,0.005318231458188576,0.9677022721888482,0.03229772781115057,0.0,0.0,0.0,0.0
