Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_Beta,LP_Sigcurv,hr12,hr23,Unc_PLEC_Expfactor,Unc_PLEC_Index,hr34,hr45,hr56,hr67,Variability_Index,Spectrum_Type,Unc_LP_beta,PLEC_Expfactor,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,FLAGS,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict
4FGL J0000.3-7355,307.70898,-42.729538,2430.1826,-22.48384113,2.119125,0.25751528,0.08968772,0.6184386,-0.9960373,0.93898755,0.001688588,0.39123338,-0.58789384,-0.46454003,-0.6292898,-0.9996481,2.159249104,PowerLaw,0.14627089,0.6666667,,,,,0,0,0,0.999823453,1.77E-04,0.959376359,0.040623641,0.999533594,4.66E-04,0.996494083,0.003505917,0,0,0,0
4FGL J0002.1+6721,118.20349,4.939485,1284.9344,-21.0907831,2.600463,0.21873616,0.3613416,3.6965556,-0.29938075,-0.59153795,0.006378797,0.5716248,-0.5675548,-0.8072314,-0.999372,-0.98807925,1.796335125,LogParabola,0.15034156,0.6666667,,,unk,1RXS J000209.4+672503,0,0.95309293,1,0.900640198,0.099359802,0.873091787,0.126908213,0.7824803,0.2175197,0.335075765,0.664924235,0,0.029,0,1
4FGL J0003.3+2511,109.38164,-36.411484,1612.2313,-22.35532109,2.209443,0.31500685,0.41627398,2.120038,0.77953553,-0.5709804,0.009460228,1.0453527,-0.34649104,-0.693337,-0.68017524,-0.9834204,0.945922233,PowerLaw,0.32086015,0.6666667,,,,,0,0,0,0.999834358,1.66E-04,0.922349829,0.077650171,0.882942315,0.117057685,0.962396255,0.037603745,0,0.007,0,0
4FGL J0003.6+3059,111.004486,-30.771994,1367.2732,-21.53651048,2.2234128,0.2737722,0.6783473,4.395897,0.946137,-0.30623183,0.007885308,0.8389943,-0.18627536,-0.7547651,-0.85793644,-0.99782455,1.611929618,LogParabola,0.25180805,0.6666667,3FGL J0003.4+3100,,,,0,0,0,0.931842242,0.068157758,0.640363698,0.359636302,0.535925713,0.464074287,0.331122326,0.668877674,0,0.403,0.461,0.995
4FGL J0004.0+5715,116.52632,-5.0228662,1378.5641,-21.69496101,2.4375134,0.23494162,0.27710062,2.2947636,0.99195033,0.2330916,0.004658108,0.5546416,-0.6546432,-0.5928602,-0.9882191,-0.9968712,2.41543434,PowerLaw,0.17424358,0.6666667,3FGL J0003.5+5721,,,,0,0,0,0.985903815,0.014096185,0.951540811,0.048459189,0.927350639,0.072649361,0.721617778,0.278382222,0,0,0,0
4FGL J0004.4-4001,336.9915,-73.84534,1243.006,-22.55135494,2.4249508,0.14729057,-0.027007917,0.3422165,-0.07757718,-0.781518,0.001022757,0.21702,-0.56201136,-0.65176815,-0.7525004,-0.39933,2.918702218,PowerLaw,0.068658195,0.6666667,,,,,0,0,4,0.999894712,1.05E-04,0.963662603,0.036337397,0.999909494,9.05E-05,0.997764756,0.002235244,0,0,0,0
4FGL J0005.6+6746c,118.60844,5.282127,1240.5938,-21.63094565,2.6314557,0.2878915,0.32071975,2.689085,0.9852871,0.9764428,0.006553203,0.54935044,-0.7463456,-0.8327146,-0.84040207,-0.9997997,1.804984371,PowerLaw,0.18199188,0.6666667,,,,,0,0,56,0.929198764,0.070801236,0.818775267,0.181224733,0.637783335,0.362216665,0.619897674,0.380102326,0,0.078,0.265,0.017
4FGL J0006.6+4618,114.92035,-15.869719,1215.221,-22.31293828,2.521416,0.12419312,-0.050101988,0.8819638,0.743678,-0.8633664,0.001205696,0.15938121,-0.7528888,-0.3601912,-0.7494455,-0.9999925,2.43202327,PowerLaw,0.048874963,0.6666667,3FGL J0006.6+4618,,,,0,0,0,0.999636385,3.64E-04,0.959626714,0.040373286,0.996777071,0.003222929,0.997532434,0.002467566,0,0,0,0
4FGL J0008.4+6926,119.14811,6.885729,3047.682,-21.85704525,2.3719156,0.22492553,0.10302104,1.0564419,0.9988942,0.99967754,0.002145583,0.4245506,-0.61695856,-0.7522733,-0.28375107,-0.9999608,2.381802752,PowerLaw,0.11486513,0.6666667,,,,,0,0,0,0.999631345,3.69E-04,0.957495171,0.042504829,0.988153815,0.011846185,0.979094139,0.020905861,0,0,0,0
4FGL J0008.9+2509,110.91511,-36.72459,369.76093,-22.76982153,2.8815272,0.213211,0.20584151,1.475534,-0.59508824,-0.50279725,0.012305561,0.5522985,-0.8196711,-0.98260194,-0.87082124,-0.99695784,2.353458363,PowerLaw,0.16841836,0.6666667,,,,,0,0,0,0.999712152,2.88E-04,0.967168845,0.032831155,0.994681769,0.005318231,0.967702272,0.032297728,0,0,0,0
