Name,Mean,SD,Minimum,Maximum,nGood
ln(Flux_DEN),-28.206182,2.5099585,-35.40267576424485,-19.876074753688254,1905
ln(unc_energy_flux_100),-27.468285,0.4703392,-28.465426492693325,-24.77773891704207,1905
Spectral_Index_3fgl,2.1437407,0.36593646,0.50000006,3.0997996,1905
ln(Signif_curve),0.23069435,1.1852599,-5.812693352062825,4.442333205917595,1905
ln(var),4.3483763,0.9491313,2.9962035624799164,11.01425763480783,1905
hr12,-0.40643945,0.503322,-0.9999984946885241,0.9999519641954198,1905
hr23,-0.53008646,0.3627933,-0.9999204805420417,0.9999590743533076,1905
hr34,-0.54546255,0.2513009,-0.9999946127306631,0.99993777660974,1905
hr45,-0.590271,0.3293118,-0.999995687532798,0.9991998196495665,1905
GLAT,2.6666138,41.10455,-87.66247,86.36791,1905
spec_ind,2.1444747,0.3748965,-1.6103540391811402,3.159132249254623,1905
class,,,AGN,PSR,1905
CLASS1,,,BCU,ssrq,1905
diff_spec_ind,7.3395984E-4,0.17412625,-3.7074220391811403,1.2439648978149414,1905
Source_Name,,,3FGL J0001.2-0748,3FGL J2359.5-2052,1905
Pivot_Energy,2080.5354,2415.9167,220.91296,37201.97,1905
SpectrumType,,,LogParabola,PowerLaw,1905
beta,-Infinity,,-Infinity,0.99999994,1905
Cutoff,-Infinity,,-Infinity,13326.353,1905
new_index_log_parabola,,,-Infinity,Infinity,1905
Exp_Index,-Infinity,,-Infinity,1.0,1905
PowerLaw_Index,2.20327,0.30165565,1.1322582,3.0997996,1905
1FHL_Name,,,1FHL J0007.3+7303,1FHL J2359.2-3037,439
ASSOC1,,,1E 0458.1+6530,ZS 0214+083,1905
new_index_PL_supercutoff,-Infinity,,-Infinity,2.9049386978149414,1905
