Source_Name_3FGL,Flux_Density,Unc_Energy_Flux100,Spectral_Index_old,Signif_Curve,var_1,hr12_1,hr23_1,hr34_1,hr45_1,GLAT_1,Pivot_Energy_1,SpectrumType_1,GLON,AGN_BDT_1,PSR_BDT_1,AGN_NN_1,PSR_NN_1,AGN_LR_1,PSR_LR_1,AGN_RF_1,PSR_RF_1,BDT_P_1,NN_P_1,LR_P_1,RF_P_1,Flags_1,Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12_2,hr23_2,Unc_PLEC_Expfactor,hr34_2,hr45_2,hr56,hr67,Variability_Index,Pivot_Energy_2,SpectrumType,ASSOC_FGL,AGN_BDT_2,PSR_BDT_2,AGN_NN_2,PSR_NN_2,AGN_LR_2,PSR_LR_2,AGN_RF_2,PSR_RF_2,BDT_P_2,NN_P_2,LR_P_2,RF_P_2,Flags_2
3FGL J0003.4+3100,-26.92441146248139,-27.875721990618057,2.5538373,0.2699922511083639,3.6515926098302733,-0.712003724275364,-0.6043619034224237,-0.8943478813352859,-0.8739048759540178,-30.745094,572.5596,PowerLaw,110.96407,0.9918770494765289,0.008122950523490368,0.9719763394081686,0.028023660591830604,0.9484078239432984,0.05159217605670263,0.9338652540542228,0.06613474594577651,0.0,0.0,0.0,0.0,0,4FGL J0003.6+3059,111.004486,-30.771994,-21.536510484875254,2.2234128,0.2737722,0.6783473,4.395897,0.946137,-0.30623183,0.007885308,-0.18627536,-0.7547651,-0.85793644,-0.99782455,1.6119296175686424,7.220573670450081,LogParabola,3FGL J0003.4+3100,0.9557081117155728,0.04429188828444601,0.45942286381621456,0.540577136183786,0.6259348694662761,0.3740651305337254,0.8277701810970862,0.1722298189029137,0.0,0.619,0.0,0.0,0
3FGL J0003.5+5721,-29.850704975345312,-27.520680551325064,2.1830583,0.5991388180236966,3.4378945608161273,0.9984257717351934,-0.6529445643244444,-0.6811770596181577,-0.5857441366203813,-4.9115977,2119.9404,PowerLaw,116.4863,0.9985062347426561,0.001493765257327251,0.8722413937521621,0.12775860624783858,0.9205396721455807,0.07946032785441948,0.981082222695799,0.0189177773042012,0.0,0.0,0.0,0.0,0,4FGL J0004.0+5715,116.52632,-5.0228662,-21.69496100500525,2.4375134,0.23494162,0.27710062,2.2947636,0.99195033,0.2330916,0.0046581076,-0.6546432,-0.5928602,-0.9882191,-0.9968712,2.415434339865422,7.228797729201412,PowerLaw,3FGL J0003.5+5721,0.9897386546150293,0.010261345384984473,0.9714508137696889,0.0285491862303115,0.9255083817555803,0.07449161824442066,0.9711484454067334,0.028851554593267433,0.0,0.0,0.0,0.0,0
3FGL J0006.6+4618,-28.992048980380552,-27.616043344847967,2.4172597,-0.0727806073384616,3.888137873237709,-0.8645629819284496,-0.7492476058178281,-0.717673918205059,0.05096828296026606,-15.866622,1249.3093,PowerLaw,114.90795,0.9997240158822087,2.759841177642481E-4,0.9933577451234645,0.006642254876535722,0.9994845459353793,5.154540646214984E-4,0.9899441694163006,0.010055830583700512,0.0,0.0,0.0,0.0,0,4FGL J0006.6+4618,114.92035,-15.869719,-22.31293827876488,2.521416,0.12419312,-0.050101988,0.8819638,0.743678,-0.8633664,0.0012056957,-0.7528888,-0.3601912,-0.7494455,-0.9999925,2.432023270474068,7.102681232238237,PowerLaw,3FGL J0006.6+4618,0.9995942074530995,4.0579254692698025E-4,0.9984862014041829,0.0015137985958181574,0.9979504097934162,0.0020495902065835662,0.998641363791823,0.0013586362081758972,0.0,0.0,0.0,0.0,0
3FGL J0010.5-1425,-28.7628942443307,-27.994615299835594,2.3083522,1.0476684069130653,4.0346306151988065,0.9989722999406816,-0.684107978875886,-0.7668650333131017,-0.999941859799739,-74.11172,1005.85754,PowerLaw,84.006,0.9751435280907356,0.024856471909249493,0.9248754832147922,0.07512451678520814,0.8312721969692386,0.16872780303076032,0.8194427607494277,0.18055723925057218,0.0,0.0,0.0,0.0,0,4FGL J0009.7-1418,83.705765,-73.91203,-22.157037675443156,2.3998108,0.120929815,0.075080775,1.0954866,0.999996,-0.3714634,0.0014970663,-0.80372804,-0.7190192,-0.372177,-0.99980676,2.503323679093137,6.796214706048908,PowerLaw,3FGL J0010.5-1425,0.9996272890953387,3.7271090464365366E-4,0.9972255879115883,0.0027744120884119045,0.9996944718031453,3.0552819685461833E-4,0.9964901109022952,0.003509889097704229,0.0,0.0,0.0,0.0,0
3FGL J0031.2-2320,-29.859866740372272,-28.042485186886914,2.1391132,0.5911794584191239,3.5117344358953235,0.9718754356961963,-0.44261855764458496,-0.5809619294915024,-0.9991398106993409,-84.071144,1541.3683,PowerLaw,71.50226,0.9632094384832043,0.03679056151679623,0.9525395907580628,0.047460409241936195,0.8920670707682892,0.10793292923170976,0.8845588449308357,0.11544115506916541,0.0,0.0,0.0,0.0,0,4FGL J0031.0-2327,70.318275,-84.105675,-22.51650905424902,2.1938756,0.3009217,0.6046377,2.8907936,-0.99996674,0.9996977,0.008457327,-0.39504796,-0.6783464,-0.9999992,0.99995095,1.7162202797881412,7.3377227376795675,PowerLaw,3FGL J0031.2-2320,0.9985903550325751,0.0014096449674047354,0.9728092295077615,0.027190770492236716,0.9811890623260128,0.018810937673986512,0.9557796841103569,0.044220315889643314,0.0,0.0,0.0,0.0,0
3FGL J0048.1-6343,-29.56835376712394,-27.99594311640179,2.108412,1.2123953945199795,3.950357653064372,0.9992849899534153,-0.448148742168516,-0.5882807022473242,-0.8289985228842581,-53.392723,1597.7219,PowerLaw,303.53308,0.9680855831974453,0.03191441680254239,0.9054490127662791,0.09455098723372046,0.8438893886320323,0.1561106113679669,0.8292511964522509,0.17074880354774888,0.0,0.0,0.0,0.0,0,4FGL J0048.6-6347,303.44296,-53.33411,-21.534258359958486,2.1754348,0.18115535,0.3982205,4.3678927,-0.9999243,0.99952316,0.004762459,-0.40418828,-0.66950274,-0.7854947,-0.99993813,1.5794494143098416,7.201727104400953,LogParabola,3FGL J0048.1-6343,0.6516315616263562,0.3483684383736347,0.9561764553929979,0.04382354460700236,0.9686508446236054,0.031349155376393496,0.8814931123933529,0.11850688760664779,0.0,0.0,0.0,0.0,0
3FGL J0051.6+6445,-28.99349751026385,-27.15114816158577,2.2792559,-0.18729932535274918,3.787724809632807,-0.5864049889008074,-0.5664620972598615,-0.6776057072968389,-0.7259309655319925,1.8875066,1719.2827,PowerLaw,122.95131,0.9985344353773608,0.0014655646226204903,0.9723699827484107,0.02763001725159039,0.9915204659173833,0.00847953408261697,0.9832633382918914,0.01673666170810821,0.0,0.0,0.0,0.0,12,4FGL J0052.1+6444,123.01039,1.8703632,-21.280574677622546,2.5156395,0.17514867,0.2364143,2.4070873,-0.99547064,0.9997513,0.006582201,-0.46704617,-0.84611344,-0.7719512,-0.99986583,1.1287958486722862,7.412306338778881,PowerLaw,3FGL J0051.6+6445,0.9940768528564156,0.005923147143592303,0.8484419610821486,0.1515580389178512,0.73263777376351,0.26736222623649014,0.9400903144503882,0.059909685549611666,0.0,0.005,0.0,0.0,512
3FGL J0102.1+4458,-29.90020844512672,-27.89700066767874,2.265101,-1.0210372693884762,3.707005431519874,-0.7477973337978396,-0.8754619713293417,0.2072842959149067,-0.8026115570556448,-17.858519,1645.4283,PowerLaw,124.92201,0.9989878623917086,0.0010121376082828726,0.9944031343031224,0.005596865696878639,0.9999438163310229,5.618366897651336E-5,0.9882525549658058,0.011747445034193582,0.0,0.0,0.0,0.0,0,4FGL J0102.1+4458,124.92797,-17.86201,-22.59245939806296,2.0214314,0.46559122,0.7738542,2.5300887,-0.9969884,0.8578584,0.0021675923,-0.7280103,-0.17031722,-0.51491535,-0.9995351,2.122813763659642,8.085419692550937,PowerLaw,3FGL J0102.1+4458,0.9934205505813049,0.00657944941867507,0.9949879704139215,0.0050120295860785,0.99224797189728,0.007752028102719403,0.9928241343816491,0.007175865618351666,0.0,0.0,0.0,0.0,4
3FGL J0116.8+6913,-26.076318287735557,-27.188294006563208,2.759096,0.6454817186757151,3.9244713028722398,-0.6992343801289643,-0.8965807583064365,-0.7670797546737129,-0.9997503281674898,6.46833,504.93448,PowerLaw,125.19848,0.9969457858912846,0.0030542141087161728,0.9048168467660853,0.09518315323391408,0.8979407967030005,0.10205920329699926,0.9608620753995217,0.03913792460047905,0.0,0.0,0.0,0.0,16,4FGL J0116.8+6914,125.19039,6.4810796,-21.968463899736257,2.8148296,0.25752681,0.75626093,4.830724,-0.7031135,-0.29255804,0.0015619874,-0.8535148,-0.99941474,-0.999998,0.9999862,0.36191915696062593,6.440024105751272,LogParabola,3FGL J0116.8+6913,0.8015715916829645,0.19842840831705472,0.06345495565366503,0.9365450443463349,0.21514304335219928,0.784856956647801,0.6268041411335439,0.3731958588664559,0.0,1.0,1.0,0.018,0
3FGL J0132.1-5340,-29.273136157535806,-28.006481492110378,2.319403,-0.5396751309500927,3.552486972474847,-0.011045533134215553,-0.7005356796986765,-0.7036124318193355,-0.546612191737479,-62.40861,1242.8344,PowerLaw,289.86023,0.9995778927991597,4.2210720082069543E-4,0.9946065254526545,0.005393474547345312,0.9987520800279661,0.0012479199720341829,0.9829889373990011,0.01701106260099903,0.0,0.0,0.0,0.0,0,4FGL J0131.7-5346,290.05676,-62.33528,-22.42190804250303,2.3552547,0.23483618,0.08636972,0.65008974,0.97801,-0.55551255,0.0022347805,-0.47565746,-0.8352642,-0.6056852,-0.17918804,1.5072256011578333,7.1522938361434,PowerLaw,3FGL J0132.1-5340,0.9997533666610248,2.4663333898078225E-4,0.9964107372018414,0.0035892627981576066,0.9990515302407501,9.484697592494522E-4,0.995042665216941,0.0049573347830587046,0.0,0.0,0.0,0.0,0
3FGL J0149.6+4846,-27.57919755715601,-27.61170635271674,2.6199348,-0.01615576439171886,3.5754122792176926,-0.8341895388585522,-0.8020779721342159,-0.36396523298626493,-0.5971121543566688,-12.991856,717.1682,PowerLaw,132.7239,0.9997942608313457,2.057391686401119E-4,0.988976558185477,0.011023441814522542,0.9974769036680508,0.0025230963319494886,0.9878098215741856,0.01219017842581436,0.0,0.0,0.0,0.0,9,4FGL J0150.4+4848,132.83994,-12.919026,-22.56780764613329,2.098816,0.4097392,0.9999538,3.2805753,0.9998983,-0.8270344,0.0018786913,-0.50877696,0.13861662,-0.9750211,-0.99718904,1.323271224105543,8.314542568301393,LogParabola,3FGL J0149.6+4846,0.9780288174059776,0.02197118259400558,0.6857974133392116,0.31420258666078776,0.4025571518481237,0.5974428481518759,0.8957189305525316,0.10428106944746814,0.0,0.136,0.995,0.0,2052
3FGL J0156.5-2423,-31.095513632053965,-27.89415504150918,1.8884518,0.1863822178060046,3.77889601102364,0.5050334297815461,-0.424811029908536,-0.5840612135135829,-0.3811344713143536,-75.10631,2763.535,PowerLaw,205.98206,0.9998317074516835,1.6829254829832025E-4,0.9935453230764065,0.006454676923593692,0.9954559744455527,0.004544025554446753,0.9969827145702067,0.003017285429793536,0.0,0.0,0.0,0.0,0,4FGL J0156.3-2420,205.71896,-75.13678,-22.22018061390237,1.863597,0.14531232,0.122865185,1.8109763,-0.99997455,0.99966604,8.0385053E-4,-0.0824855,-0.66202134,-0.30320153,-0.35854203,3.610139411448603,7.975659394468247,PowerLaw,3FGL J0156.5-2423,0.999905206208637,9.47937913430841E-5,0.9989560866495318,0.0010439133504684915,0.9999855951696444,1.4404830355985517E-5,0.9974831384832928,0.0025168615167074195,0.0,0.0,0.0,0.0,0
3FGL J0235.7+5647,-25.99757662129107,-27.296620738411615,2.6072574,0.03023042131514858,4.107493517890841,-0.7340108236692303,-0.6796054215399983,-0.7432685566853422,-0.8779229420382428,-3.2338104,547.29767,PowerLaw,136.88327,0.9911342148059024,0.008865785194109547,0.9615829643304961,0.03841703566950344,0.9932351663785176,0.006764833621482755,0.961159382528162,0.038840617471837806,0.0,0.0,0.0,0.0,12,4FGL J0235.3+5650,136.81866,-3.1947489,-21.143342489790555,2.6387558,0.1517038,0.40222147,4.063979,-0.14192066,-0.2007072,0.0046690493,-0.74427396,-0.83127666,-0.8923203,-0.99793303,2.273243694372345,6.724213257724323,LogParabola,3FGL J0235.7+5647,0.9195209013276711,0.08047909867234317,0.766194088731265,0.23380591126873404,0.8222516057094686,0.17774839429053158,0.8557648546345688,0.14423514536543086,0.0,0.016,0.0,0.0,0
3FGL J0240.0-0253,-27.961842087073606,-27.89296240986069,2.4378898,0.7522703934729662,4.168971399741904,0.24731253236119513,-0.7293808288370495,-0.9946625091297575,0.9058863427994375,-54.49211,774.0558,PowerLaw,174.59973,0.9998280566423713,1.719433576516001E-4,0.9951236346967774,0.004876365303221963,0.9997793818807178,2.2061811928224468E-4,0.9734036857489903,0.0265963142510089,0.0,0.0,0.0,0.0,0,4FGL J0240.2-0248,174.55476,-54.390606,-22.502837275819882,2.5547237,0.1416173,-0.009585007,0.11904047,-0.15136681,-0.7801561,0.001353321,-0.7407288,-0.775016,-0.12171412,-0.9999996,2.687249731155899,6.661843615163731,PowerLaw,3FGL J0240.0-0253,0.9999181884019481,8.181159803599684E-5,0.9989885260370127,0.001011473962987752,0.9999867191310584,1.328086894125824E-5,0.9987793058393313,0.0012206941606679052,0.0,0.0,0.0,0.0,0
3FGL J0244.4+4745,-26.205614557158356,-27.661471045105785,2.6242933,1.2195165223882125,3.5457274745504592,-0.7595955787216052,-0.7767217834683715,-0.9241011948596449,-0.9997775558657519,-10.922361,463.37177,PowerLaw,141.85194,0.6074884828105949,0.3925115171894052,0.2509275147256108,0.7490724852743874,0.28182435032312003,0.7181756496768813,0.7867960289707868,0.21320397102921312,0.0,0.987,1.0,0.0,9,4FGL J0245.0+4755,141.86679,-10.73122,-22.578326655920357,2.4183786,0.24357596,0.13862322,0.8121866,-0.99784523,0.96291184,0.0029765791,-0.5823744,-0.7631915,-0.56532353,-0.9999911,2.2522121224343703,7.21251664145822,PowerLaw,3FGL J0244.4+4745,0.9996857512173902,3.1424878259846416E-4,0.9984787900043891,0.00152120999561196,0.9992401916116451,7.598083883550372E-4,0.98629181329969,0.013708186700310912,0.0,0.0,0.0,0.0,0
3FGL J0251.1-1829,-32.746978593084,-27.763635511980116,1.6198902,0.883696752539243,3.629094337626772,0.9998847128966272,-0.9999943190739728,0.9999697884323395,-0.5197612131757403,-61.165733,6318.966,PowerLaw,201.86647,0.9997029038100946,2.970961898935826E-4,0.9909874343524869,0.009012565647513439,0.998000087318865,0.0019999126811351855,0.9839819036714311,0.016018096328569147,0.0,0.0,0.0,0.0,0,4FGL J0251.1-1830,201.90068,-61.187057,-22.673722664424,1.6237446,0.3006073,0.5034518,3.6969025,0.30631596,0.0729381,0.0015110536,0.28433666,0.24762112,-0.34700093,-0.65106136,1.6211577161481832,8.773807727058644,LogParabola,3FGL J0251.1-1829,0.9972780054432618,0.0027219945567447217,0.993311400511841,0.006688599488159042,0.9972114691021748,0.00278853089782564,0.9758140737049129,0.02418592629508828,0.0,0.0,0.0,0.0,0
