Source_Name_3FGL,Flux_Density,Unc_Energy_Flux100,Spectral_Index_old,Signif_Curve,var_1,hr12_1,hr23_1,hr34_1,hr45_1,GLAT_1,Pivot_Energy_1,SpectrumType_1,GLON_1,AGN_BDT_1,PSR_BDT_1,AGN_NN_1,PSR_NN_1,AGN_LR_1,PSR_LR_1,AGN_RF_1,PSR_RF_1,BDT_P,NN_P,LR_P,RF_P,Flags_1,Source_Name_4FGL,GLON_2,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12_2,hr23_2,Unc_PLEC_Expfactor,hr34_2,hr45_2,hr56,hr67,Variability_Index,Pivot_Energy_2,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT_2,PSR_BDT_2,AGN_NN_2,PSR_NN_2,AGN_LR_2,PSR_LR_2,AGN_RF_2,PSR_RF_2,Times in Testing,Flags_2
3FGL J0000.2-3738,-31.572484157651193,-28.030843002008744,1.8667319,0.40310004688774054,3.803219190636362,0.15227417333511517,0.038811723602553985,-0.3213200255739348,-0.6481892737318573,-74.946754,3296.3293,PowerLaw,345.41052,0.9997987710887614,2.0122891124679606E-4,0.9909298868937619,0.00907011310623806,0.9916209285179955,0.008379071482004657,0.996722620154686,0.003277379845314565,0.0,0.0,0.0,0.0,0,4FGL J2359.9-3736,345.66284,-74.919624,-22.359686771498303,2.0203912,0.18711258,0.19566432,2.0855482,0.94115466,-0.06567914,0.0023491108,-0.48232156,-0.37702453,-0.77653795,-0.401061,1.4424505307297917,7.657740155290815,AGN,bcu,PowerLaw,3FGL J0000.2-3738,NVSS J000008-373819,0.9986475857985316,0.001352414201468889,0.9850425479693733,0.01495745203062671,0.9958044418405411,0.004195558159459105,0.9928160923385582,0.007183907661442275,281,0
3FGL J0002.0-6722,-30.66141013659135,-27.904511120552147,1.9460614,0.3138621879170869,3.8313551023606913,0.09151793144612758,-0.5227559458577041,-0.4222493439699922,-0.49795186771472183,-49.061836,2466.7234,PowerLaw,310.13892,0.9998484160703297,1.5158392968441428E-4,0.9926380422960592,0.007361957703940443,0.9938698022587581,0.006130197741241747,0.9972083757434602,0.0027916242565405145,0.0,0.0,0.0,0.0,0,4FGL J0002.1-6728,310.08493,-48.963467,-22.19899230399184,1.8019888,0.14996767,0.1313003,2.0598197,-0.92863077,-0.5799706,8.5268216E-4,-0.12173295,-0.43336454,-0.26409936,-0.6256855,2.3044162820122613,8.384995081004408,AGN,bcu,PowerLaw,3FGL J0002.0-6722,SUMSS J000215-672653,0.9999401804987249,5.981950127520637E-5,0.9967730085737005,0.0032269914262997215,0.999826721013965,1.7327898603582167E-4,0.9993533382025028,6.466617974972367E-4,287,0
3FGL J0004.2+0843,-30.972925255785086,-27.86031076587199,2.0504425,-0.23529942296034895,3.8140060375761227,-0.7551261770419344,-0.4776703196090242,5.80084168077114E-4,-0.8706377580490783,-52.363342,2762.5613,PowerLaw,103.59949,0.9975503204665287,0.0024496795334791916,0.9939926017240561,0.006007398275943514,0.9986117900963353,0.0013882099036659997,0.9065296137304333,0.09347038626956776,0.0,0.0,0.0,0.0,0,4FGL J0004.0+0840,103.49598,-52.397846,-22.222525699318215,2.1019166,0.3493307,0.35344642,1.9199413,-0.7333959,-0.82922935,0.0046211286,-0.263176,-0.34118363,-0.9277368,-0.38397604,2.2013589920112535,7.711431694327143,AGN,bcu,PowerLaw,3FGL J0004.2+0843,SDSS J000359.23+084138.1,0.9986645843878642,0.0013354156121349926,0.9942611110095979,0.005738888990402069,0.9935831115331754,0.006416888466823465,0.9835899753281493,0.01641002467185091,300,0
3FGL J0006.2+0135,-29.957469208986623,-27.897549448104716,2.1869004,-1.7786281042231946,3.8191673986930605,-0.6114317251042083,-0.5631399832009076,-0.6454714127750065,-0.3951725265506454,-59.296867,1807.7529,PowerLaw,100.400505,0.999557147242973,4.428527570162211E-4,0.9955112852322837,0.004488714767716406,0.9999870940265075,1.2905973492740664E-5,0.9934571896112114,0.006542810388787626,0.0,0.0,0.0,0.0,0,4FGL J0006.4+0135,100.47745,-59.29749,-22.455238164858724,2.0946035,0.32759845,0.16732785,1.0555145,0.9482971,-0.510186,0.003174407,-0.48057696,-0.46150512,-0.63044417,-0.9993743,0.8819517755489519,7.8077893037477315,AGN,bcu,PowerLaw,3FGL J0006.2+0135,NVSS J000626+013611,0.9990724430864796,9.275569135201419E-4,0.9811285651549008,0.018871434845099008,0.9792804607515982,0.020719539248401916,0.9909323153898476,0.009067684610152822,298,0
3FGL J0007.9+4006,-29.518621952015796,-27.811253296988966,2.2756045,-0.020848936486780684,3.793004914905388,-0.23640781773404712,-0.7857580082559009,-0.4598722314558544,-0.5895593077013017,-22.007206,1504.622,PowerLaw,113.97717,0.9998028458816413,1.9715411834383989E-4,0.9917295832370003,0.008270416762998225,0.9971380169543956,0.0028619830456038733,0.9942610291728532,0.005738970827146718,0.0,0.0,0.0,0.0,0,4FGL J0007.7+4008,113.93701,-21.972776,-21.73536038592122,2.1567848,0.1894369,0.22259808,2.5580692,-0.6870005,-0.357196,0.002382811,-0.6449736,-0.35720858,-0.8215037,-0.99979246,2.8828733722903617,7.535923308007861,AGN,bcu,PowerLaw,3FGL J0007.9+4006,NVSS J000741+400830,0.9983907317752061,0.0016092682247939064,0.9961354472953726,0.0038645527046279795,0.9950907085099279,0.0049092914900725,0.9904082333379647,0.009591766662035916,340,0
3FGL J0008.3+1456,-28.591714124098004,-27.8123655982153,2.2695491,0.4497952458916993,3.5392097654663734,-0.49492585804791145,-0.5450800398095748,-0.6665679906146269,-0.6761528719520202,-46.658096,1148.4678,PowerLaw,107.67859,0.9986647876171442,0.0013352123828610954,0.9796916983712955,0.020308301628704888,0.9530265527232535,0.046973447276747154,0.9691341227818845,0.03086587721811534,0.0,0.0,0.0,0.0,0,4FGL J0008.4+1455,107.72407,-46.6767,-21.839752589066723,2.1995182,0.14485562,0.042718746,0.6488417,0.11470551,-0.77437603,0.0014510113,-0.44943303,-0.58016366,-0.50578916,-0.9999596,2.0654238615385623,7.448501464789423,AGN,bcu,PowerLaw,3FGL J0008.3+1456,NVSS J000825+145635,0.9999275998171541,7.240018284628138E-5,0.9957416192391697,0.004258380760830448,0.9986012139590874,0.0013987860409126155,0.9982379142345351,0.0017620857654640912,301,0
3FGL J0014.3-0455,-27.95216759423886,-27.448810731980732,2.504053,0.061235917290220446,3.9960422270490206,-0.5965988060456026,-0.8271707467049291,-0.512704790395914,-0.7306166513081951,-66.09583,964.4531,PowerLaw,99.59009,0.9999270399125653,7.296008742301566E-5,0.9937278847686136,0.006272115231386721,0.9970077801655647,0.0029922198344364986,0.9945112943152636,0.005488705684736011,0.0,0.0,0.0,0.0,16,4FGL J0014.3-0500,99.509476,-66.18239,-21.627569309338778,2.3452647,0.13339931,0.023047293,0.33971137,0.9634183,-0.6393423,0.0012148909,-0.8068283,-0.35485289,-0.65790325,-0.9999446,2.992550432346494,7.537787724340103,AGN,bcu,PowerLaw,3FGL J0014.3-0455,GALEXASC J001420.46-045929.1,0.9999219311675215,7.806883247780865E-5,0.9961843791886873,0.003815620811313177,0.9987631108204167,0.0012368891795836643,0.9984815170298573,0.0015184829701430222,285,0
3FGL J0016.5+1713,-28.404942308166298,-27.871782758376515,2.438119,0.813639431864053,3.9680954842985345,-0.5651304706865975,-0.6487431672129087,-0.9146185519314425,-0.33892222501269914,-44.850296,890.5665,PowerLaw,111.14098,0.9990094671089768,9.905328910196694E-4,0.9868355258572923,0.013164474142709166,0.9709771449892127,0.029022855010788287,0.9708296889345032,0.029170311065495995,0.0,0.0,0.0,0.0,0,4FGL J0016.5+1702,111.096794,-45.029816,-22.457996422643173,2.6308897,0.3034599,0.44820043,2.5804365,-0.6509662,-0.592994,0.011370583,-0.70416987,-0.9023887,-0.99999887,0.99999595,2.049778966539842,6.433861468784963,AGN,fsrq,PowerLaw,3FGL J0016.5+1713,GB6 J0015+1700,0.9994612090625443,5.387909374563756E-4,0.9878811971623087,0.01211880283769158,0.9909980907492981,0.009001909250701729,0.9704703999615543,0.029529600038445507,294,4
3FGL J0020.9+0323,-32.66525154880992,-27.728900904351107,1.6399021,0.43271269786526106,3.9966331434162568,-0.9988298584244456,0.9996047432273832,-0.20042441311169254,-0.47608342748093824,-58.60079,6460.085,PowerLaw,108.19788,0.9999077460014115,9.22539986142055E-5,0.9922215432228648,0.00777845677713668,0.9957853305214551,0.004214669478545187,0.9974220140058488,0.0025779859941510636,0.0,0.0,0.0,0.0,0,4FGL J0021.0+0322,108.237045,-58.623074,-22.50540405639897,1.8668073,0.24928713,0.1320154,1.2610363,0.9938401,-0.46303213,0.0013680798,-0.64612556,-0.2727355,-0.459989,-0.6137886,2.7797151112200806,8.336322038278187,AGN,bcu,PowerLaw,3FGL J0020.9+0323,2MASS J00205023+0323578,0.9999661657605419,3.3834239457846084E-5,0.9956710665140257,0.004328933485973947,0.9994742224121724,5.25777587827473E-4,0.9990921424532054,9.078575467946971E-4,319,0
3FGL J0032.3-5522,-27.234578925520772,-27.77464221026076,2.2745852,0.31779642423059534,6.235901809578529,-0.3680129111065578,-0.6797331303190822,-0.6563712039536023,-0.6243560767805013,-61.548527,907.47565,PowerLaw,308.61932,0.9999343143180333,6.568568195840859E-5,0.9953443043173099,0.004655695682690207,0.999967029045119,3.297095488109971E-5,0.9932003551465892,0.006799644853410974,0.0,0.0,0.0,0.0,0,4FGL J0032.3-5522,308.63895,-61.549007,-21.41544340313735,2.2393293,0.08571115,0.14148334,2.7500248,0.99982154,-0.3513343,0.0016269921,-0.6534987,-0.69153017,-0.59481436,-0.9997436,5.637032634485846,7.012974024591065,AGN,bcu,PowerLaw,3FGL J0032.3-5522,SUMSS J003210-552228,0.9999113359939208,8.86640060798599E-5,0.9971298511703877,0.0028701488296127816,0.9999868731047307,1.3126895269742447E-5,0.9959530661720859,0.004046933827913507,314,0
