Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,CLASS2,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
4FGL J0000.3-7355,307.70898,-42.729538,2430.1826,-22.483841131359625,2.119125,0.25751528,0.08968772,0.6184386,-0.9960373,0.93898755,0.0016885875,0.6666667,-0.58789384,-0.46454003,-0.6292898,-0.9996481,2.159249104310168,PowerLaw,0.14627089,0.39123338,,,,0.0,0.0,0,0.999863359942765,0.00013664005723296196,0.9593785554118865,0.04062144458811305,0.999512377357489,0.00048762264251119773,0.9977270224419706,0.0022729775580295824,0.0,0.0,0.0,0.0
4FGL J0003.3+2511,109.38164,-36.411484,1612.2313,-22.355321090591,2.209443,0.31500685,0.41627398,2.120038,0.77953553,-0.5709804,0.009460228,0.6666667,-0.34649104,-0.693337,-0.68017524,-0.9834204,0.9459222329364977,PowerLaw,0.32086015,1.0453527,,,,0.0,0.0,0,0.99983435817569,0.00016564182430739218,0.9235066311054918,0.0764933688945089,0.8878201214714743,0.11217987852852612,0.9794374482788297,0.02056255172116992,0.0,0.006,0.0,0.0
4FGL J0003.6+3059,111.004486,-30.771994,1367.2732,-21.536510484875254,2.2234128,0.2737722,0.6783473,4.395897,0.946137,-0.30623183,0.007885308,0.6666667,-0.18627536,-0.7547651,-0.85793644,-0.99782455,1.6119296175686424,LogParabola,0.25180805,0.8389943,3FGL J0003.4+3100,,,0.0,0.0,0,0.9318422424146379,0.06815775758535379,0.6412596015539767,0.35874039844602407,0.5420406054639748,0.45795939453602574,0.825958248799515,0.1740417512004848,0.0,0.4,0.44,0.0
4FGL J0004.0+5715,116.52632,-5.0228662,1378.5641,-21.69496100500525,2.4375134,0.23494162,0.27710062,2.2947636,0.99195033,0.2330916,0.0046581076,0.6666667,-0.6546432,-0.5928602,-0.9882191,-0.9968712,2.415434339865422,PowerLaw,0.17424358,0.5546416,3FGL J0003.5+5721,,,0.0,0.0,0,0.9905103632850406,0.009489636714934723,0.9514285460997527,0.04857145390024822,0.926113295051536,0.07388670494846399,0.9696021169857488,0.030397883014250487,0.0,0.0,0.0,0.0
4FGL J0004.4-4001,336.9915,-73.84534,1243.006,-22.55135493570753,2.4249508,0.14729057,-0.027007917,0.3422165,-0.07757718,-0.781518,0.0010227567,0.6666667,-0.56201136,-0.65176815,-0.7525004,-0.39933,2.9187022183482143,PowerLaw,0.068658195,0.21702,,,,0.0,0.0,4,0.9999022834856528,9.771651435250607e-05,0.9636674482576015,0.03633255174239957,0.9999038174587191,9.618254128107665e-05,0.99767087092206,0.0023291290779407737,0.0,0.0,0.0,0.0
4FGL J0005.6+6746c,118.60844,5.282127,1240.5938,-21.6309456537906,2.6314557,0.2878915,0.32071975,2.689085,0.9852871,0.9764428,0.006553203,0.6666667,-0.7463456,-0.8327146,-0.84040207,-0.9997997,1.8049843705876478,PowerLaw,0.18199188,0.54935044,,,,0.0,0.0,56,0.9480374937646653,0.0519625062353534,0.8176625239346766,0.18233747606532427,0.6338488712255232,0.366151128774478,0.9189890727753875,0.08101092722461155,0.0,0.079,0.271,0.0
4FGL J0006.6+4618,114.92035,-15.869719,1215.221,-22.31293827876488,2.521416,0.12419312,-0.050101988,0.8819638,0.743678,-0.8633664,0.0012056957,0.6666667,-0.7528888,-0.3601912,-0.7494455,-0.9999925,2.432023270474068,PowerLaw,0.048874963,0.15938121,3FGL J0006.6+4618,,,0.0,0.0,0,0.9997422096226092,0.000257790377373722,0.9596298103033313,0.04037018969666967,0.9965479054854334,0.0034520945145667978,0.998457354776008,0.0015426452239919028,0.0,0.0,0.0,0.0
4FGL J0008.4+6926,119.14811,6.885729,3047.682,-21.85704524533681,2.3719156,0.22492553,0.10302104,1.0564419,0.9988942,0.99967754,0.0021455833,0.6666667,-0.61695856,-0.7522733,-0.28375107,-0.9999608,2.3818027522036784,PowerLaw,0.11486513,0.4245506,,,,0.0,0.0,0,0.9996893498713406,0.0003106501286690946,0.9574657059674783,0.042534294032522284,0.9877001121742154,0.012299887825783722,0.9865053048464867,0.013494695153514246,0.0,0.0,0.0,0.0
4FGL J0008.9+2509,110.91511,-36.72459,369.76093,-22.769821532915714,2.8815272,0.213211,0.20584151,1.475534,-0.59508824,-0.50279725,0.012305561,0.6666667,-0.8196711,-0.98260194,-0.87082124,-0.99695784,2.3534583630035915,PowerLaw,0.16841836,0.5522985,,,,0.0,0.0,0,0.9997222027253423,0.0002777972746725325,0.9671752538894083,0.03282474611059153,0.9945788085115191,0.005421191488479428,0.9895175684585521,0.010482431541447741,0.0,0.0,0.0,0.0
4FGL J0009.1-5012,319.3951,-65.54536,1061.3572,-22.477900703638415,2.4078472,0.20013253,0.15148015,1.375943,0.97284263,-0.55746925,0.0043052034,0.6666667,-0.72268534,-0.58767265,-0.96198916,-0.99504125,2.6593732412030335,PowerLaw,0.13365895,0.4234309,,,,0.0,0.0,0,0.9996500032392601,0.0003499967607230039,0.9646894482239273,0.03531055177607296,0.9973819873489034,0.002618012651096025,0.9949079949572195,0.005092005042779714,0.0,0.0,0.0,0.0
