GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS2,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,Source_Name,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing
114.2502,-14.338059,-22.671495960842364,2.1983633,0.22415973,0.02462352,0.20407747,-0.9792905,0.9973279,8.183531E-4,-0.6361753,-0.6589638,-0.7605767,-0.124010414,2.8500491432488757,7.76890642369608,AGN,bcu,4FGL J0001.2+4741,PowerLaw,0.105218925,0.27689606,,B3 2358+474,0.99609655,0.93856317,0,4FGL J0001.2+4741,0.999966120059507,3.387994049217992e-05,0.9972738944516893,0.002726105548310439,0.999585085134044,0.00041491486595613986,0.9954283134162903,0.004571686583709688,289
89.03272,-67.30501,-20.89792734178824,2.1483262,0.06558173,0.04727811,1.417618,-0.10349428,-0.44158757,8.33099E-4,-0.6502833,-0.43597096,-0.78199154,-0.5599956,2.8254891201209116,7.148627072248065,AGN,bll,4FGL J0001.2-0747,PowerLaw,0.035733853,0.11915199,3FGL J0001.2-0748,PMN J0001-0746,0.99701446,0.93293214,0,4FGL J0001.2-0747,0.999899648350496,0.00010035164950347763,0.9956349504318845,0.004365049568114587,0.9979878509297196,0.002012149070281027,0.9991369387367866,0.0008630612632139655,289
107.64935,-40.167652,-20.755864370512228,2.6801705,0.04493158,0.14800178,5.0912256,-0.24777053,-0.6425761,0.0019107913,-0.78641707,-0.87753016,-0.9997511,-0.89316,6.825109735166782,5.930641116467883,AGN,fsrq,4FGL J0001.5+2113,LogParabola,0.03150326,0.09734816,3FGL J0001.4+2120,TXS 2358+209,0.9980486,0.95818156,0,4FGL J0001.5+2113,0.9965911956326079,0.0034088043673920123,0.9956673710689831,0.004332628931016835,0.9999129868536822,8.701314631749636e-05,0.9715362976784367,0.028463702321562884,311
334.22635,-72.02855,-21.99304659859212,1.8335938,0.13819773,0.025063045,0.40303585,-0.5563565,-0.81565475,3.6177432E-4,-0.31606382,-0.27268785,-0.55835617,-0.14999126,2.6210777332677186,8.153609580357248,AGN,bcu,4FGL J0001.6-4156,PowerLaw,0.06202956,0.16583534,3FGL J0002.2-4152,2MASS J00013275-4155252,0.9963356,0.85456926,0,4FGL J0001.6-4156,0.9999684214120774,3.157858792099042e-05,0.997132642697479,0.002867357302520509,0.9999353917413926,6.460825860750439e-05,0.9997140324310657,0.0002859675689341386,334
310.08493,-48.963467,-22.19899230399184,1.8019888,0.14996767,0.1313003,2.0598197,-0.92863077,-0.5799706,8.5268216E-4,-0.12173295,-0.43336454,-0.26409936,-0.6256855,2.3044162820122613,8.384995081004408,AGN,bcu,4FGL J0002.1-6728,PowerLaw,0.07734571,0.26890424,3FGL J0002.0-6722,SUMSS J000215-672653,0.9966394,0.9044934,0,4FGL J0002.1-6728,0.9999401804987249,5.981950127520637e-05,0.9967730085737005,0.0032269914262997215,0.999826721013965,0.00017327898603582167,0.9993533382025028,0.0006466617974972367,287
117.32041,-0.051036116,-19.779812600414136,2.4731266,0.07613683,0.42859668,9.461157,0.99266785,0.0018570549,0.0018857798,-0.56998783,-0.7318594,-0.98968166,-0.9980955,1.5479485302616522,7.190361817676675,PSR,PSR,4FGL J0002.8+6217,PLSuperExpCutoff,0.06502477,0.19059318,3FGL J0002.6+6218,PSR J0002+6216,1.0,0.0,0,4FGL J0002.8+6217,0.0004262732010939597,0.9995737267989058,0.05284033976056327,0.9471596602394362,0.004752309156045896,0.9952476908439546,0.011583752874268763,0.9884162471257306,303
318.9899,-62.788944,-21.92455883588808,1.845431,0.12932381,0.07142608,1.2588248,0.98467094,-0.7529764,5.297295E-4,-0.41107345,-0.37620062,-0.43967292,-0.4608528,1.7170075473930666,8.274123935232113,AGN,bcu,4FGL J0003.1-5248,PowerLaw,0.060838696,0.19333006,3FGL J0003.2-5246,RBS 0006,0.9830022,0.85980093,0,4FGL J0003.1-5248,0.9999083232206295,9.167677937028636e-05,0.9951710999503317,0.00482890004966793,0.9988026151928084,0.0011973848071913957,0.9992442696985573,0.0007557303014427419,324
108.438545,-39.380795,-22.653153783278874,2.275706,0.5404578,0.99964654,1.7167195,-0.38511583,-0.81497735,0.0024197397,-0.94270766,0.5786159,-0.900051,-0.9999937,1.5550065279050014,7.757497150339951,AGN,bll,4FGL J0003.2+2207,PowerLaw,0.024958888,0.05938773,,2MASX J00032450+2204559,,0.0,0,4FGL J0003.2+2207,0.9886198356165449,0.011380164383455063,0.9846920716389722,0.015307928361027824,0.9379898508475445,0.06201014915245592,0.9507891123042672,0.04921088769573171,299
65.197784,-76.580986,-21.66414729120602,2.2405226,0.16471803,0.3160174,3.3564024,0.9891295,0.009595376,0.0064438046,-0.54012406,-0.62971777,-0.8879328,-0.99895203,3.7410309778727138,6.970080195654137,AGN,bcu,4FGL J0003.3-1928,LogParabola,0.14015451,0.60530806,,PKS 0000-197,0.9972004,0.91010976,0,4FGL J0003.3-1928,0.996868185504828,0.003131814495172191,0.9878398250169681,0.012160174983032086,0.9965561162114102,0.0034438837885903224,0.9426192869185556,0.057380713081444365,313
314.23904,-56.965885,-22.75402615097728,2.3632457,0.21061169,0.025621843,0.2801407,0.8072822,-0.820896,0.003027135,-0.5377211,-0.48551217,-0.9999003,-0.38655543,1.2357475718822193,7.123532968823178,AGN,bcu,4FGL J0003.3-5905,PowerLaw,0.09697441,0.4669434,,PMN J0003-5905,0.97976094,0.9494421,4,4FGL J0003.3-5905,0.9982610537340381,0.0017389462659624087,0.9936563470496321,0.006343652950367772,0.9969684078162466,0.003031592183753403,0.9904517524209259,0.009548247579073557,310
