Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC_FHL,CLASS1,CLASS2,ASSOC1,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
4FGL J0002.1+6721,118.20349,4.939485,-21.090783098356894,2.600463,0.21873616,0.3613416,3.6965556,-0.29938075,-0.59153795,0.0063787973,-0.5675548,-0.8072314,-0.999372,-0.98807925,1.7963351252440556,7.158462945442538,LogParabola,0.15034156,0.5716248,,,unk,,1RXS J000209.4+672503,,0.0,0.95309293,1,0.9182057863274309,0.0817942136725897,0.6412508810271362,0.35874911897286393,0.48053128623518465,0.5194687137648151,0.8108243533033572,0.1891756466966427,0.0,0.0,0.0,0.0
4FGL J0024.0-7204,305.90195,-44.891075,-19.237246431612025,2.093778,0.04264318,0.37520304,18.37318,-0.09216029,-0.04993778,9.6446596E-4,-0.40568277,-0.64168835,-0.9533204,-0.7539374,1.6564917911373311,6.8628793491923785,LogParabola,0.029846506,0.09288038,3FGL J0023.9-7203,3FHL J0024.2-7205,glc,,NGC 104,,0.99996454,0.98999244,0,0.001488429447598305,0.9985115705524081,0.08630288830725522,0.9136971116927444,0.0013617925424616892,0.9986382074575374,0.014249101454873452,0.9857508985451261,0.0,0.0,0.0,0.0
4FGL J0025.3+6408,120.093605,1.421848,-20.8719543250056,2.1400595,0.08333566,0.010525173,0.29345292,0.9906323,-0.534741,1.8771969E-4,-0.4333221,-0.6122322,-0.5513473,-0.81964767,1.3920432426682223,8.157691283950266,PowerLaw,0.036932897,0.10219822,3FGL J0025.7+6404,3FHL J0025.5+6407,snr,,Tycho,,0.96434534,0.999139,4,0.9956055693725439,0.004394430627430477,0.9883588999711876,0.0116411000288123,0.9386700016862425,0.0613299983137578,0.9882766400160434,0.011723359983956974,0.0,0.0,0.0,0.0
4FGL J0043.2+4114,121.28495,-21.604197,-22.002371934335592,2.5234964,0.29237235,0.43375424,2.9630277,-0.73780704,-0.3705683,0.0112998765,-0.4309573,-0.9094145,-0.99962103,-0.16713974,0.6738909678158944,6.788538496001092,LogParabola,0.25465333,0.88891643,3FGL J0042.5+4117,,gal,,M 31,,1.0,0.0,2,0.9996420391408879,0.000357960859127296,0.836108856097159,0.16389114390284146,0.7495257639878534,0.25047423601214697,0.9396567414693473,0.060343258530653,0.0,0.0,0.0,0.0
4FGL J0047.3+6943,122.57157,6.8534408,-22.497133432629767,1.8924123,0.3207617,0.22452478,0.9951572,-0.9998876,0.99746394,0.0014918336,-0.57375604,-0.3398513,-0.34198686,-0.5981328,1.8725245076514947,8.87946132029267,PowerLaw,0.16484576,0.73277193,,,unk,,1RXS J004724.5+694222,,0.0,0.9525476,0,0.998964843720159,0.001035156279846839,0.9970671651292151,0.002932834870785833,0.9973023976227805,0.002697602377218404,0.995677026082456,0.0043229739175432306,0.0,0.0,0.0,0.0
4FGL J0047.5-2517,97.574394,-87.96936,-20.967883388706383,2.1412337,0.06347956,0.06680642,2.1227646,0.93683684,-0.30174148,5.0235994E-4,-0.570273,-0.6085724,-0.6834191,-0.5110912,1.670158749750352,7.127710954415222,PowerLaw,0.03397673,0.08580647,3FGL J0047.5-2516,3FHL J0047.6-2517,sbg,,NGC 253,,0.9993061,0.99712837,0,0.9990822856087552,0.0009177143912634248,0.9848401158728549,0.01515988412714541,0.985177724843154,0.014822275156845954,0.9899842227931226,0.010015777206876228,0.0,0.0,0.0,0.0
4FGL J0058.0-7245e,302.25146,-44.36958,-19.56554881810005,2.2103305,0.03660867,0.09607346,5.579218,0.35465047,-0.43061408,2.2560866E-5,-0.62734485,-0.6059806,-0.6951379,-0.9993718,2.2012879700746795,6.505621266609024,PLSuperExpCutoff,0.019674852,0.045409948,3FGL J0059.0-7242e,,GAL,,SMC,,,,4,0.9818967456307909,0.01810325436922967,0.868968237901752,0.13103176209824596,0.9554365127024159,0.04456348729758364,0.866332482315055,0.13366751768494484,0.0,0.0,0.0,0.0
4FGL J0129.0+6312,127.15824,0.6493515,-20.994013539157258,2.6639903,0.14883009,0.23745841,3.1423504,0.992846,-0.42510837,0.0042351456,-0.7505972,-0.69712466,-0.99973905,0.96537846,1.5877703594546169,6.811769967327583,LogParabola,0.10277525,0.3199964,3FGL J0128.4+6257,,spp,,2MASS J01283059+6306298,,0.8272173,0.0,2,0.37144792110564034,0.6285520788943593,0.666202482528008,0.33379751747199193,0.7168791065296566,0.28312089347034247,0.8635990918901666,0.13640090810983344,0.0,0.0,0.0,0.0
4FGL J0138.6+6821,127.284904,5.8786836,-21.530076954735286,2.6994045,0.11209629,0.061733,1.0013779,0.996168,-0.4854619,0.0011484515,-0.88301605,-0.7367484,-0.52255034,-0.6924381,0.3892659905122038,6.895028080698864,PowerLaw,0.0679488,0.0873777,,,unk,,87GB 013451.9+680621,,0.0,0.8131367,0,0.9992895615688372,0.0007104384311784688,0.9291958891737975,0.0708041108262013,0.8862740277470518,0.11372597225294856,0.9811214207843191,0.018878579215680882,0.0,0.0,0.0,0.0
4FGL J0221.4+6241e,133.04836,1.599426,-19.424778086619504,2.4054542,0.15471672,0.48992616,5.694505,-0.64766484,-0.03939233,0.0051445183,-0.54536724,-0.84297484,-0.85657126,-0.8048553,0.8737746703983053,7.341684674711585,LogParabola,0.15438019,0.44946945,3FGL J0224.0+6235,,SNR,,HB 3,,,,4,0.2540805294340997,0.745919470565915,0.04689486503636247,0.9531051349636391,0.021796387290507514,0.9782036127094916,0.2626406334222856,0.7373593665777161,0.0,0.0,0.0,0.0
4FGL J0222.4+6156e,133.41885,0.9361786,-18.205159872220534,2.4307818,0.030976178,0.22853066,14.274336,0.1583215,-0.32185888,0.001128353,-0.66550505,-0.75164276,-0.9112924,-0.6238322,1.989672457725362,7.285087612254853,LogParabola,0.024264878,0.09040477,3FGL J0223.6+6204,,snr,,W 3,HB 3 field,,,4,0.0014041863605840366,0.9985958136394333,0.020844539726147873,0.9791554602738524,0.0004145008038483454,0.9995854991961504,0.08293270081492547,0.9170672991850736,0.0,0.0,0.0,0.0
4FGL J0240.5+6113,135.68022,1.0876453,-16.8655612810944,2.3717105,0.008191214,0.15187922,28.226702,-0.13987109,-0.4753456,1.2364417E-4,-0.64861304,-0.70558125,-0.8729564,-0.7386893,5.297133346781401,7.071367061098892,LogParabola,0.0053875674,0.012195752,3FGL J0240.5+6113,3FHL J0240.5+6113,HMB,,LSI +61 303,,1.0,0.9958602,0,0.9928865405954698,0.00711345940451747,0.01889501064503027,0.9811049893549697,3.348084377648752e-05,0.9999665191562231,0.7094846934940391,0.29051530650596047,0.0,0.0,0.0,0.0
4FGL J0242.6-0000,172.09357,-51.930832,-21.272130838343468,2.3761196,0.06984864,0.03636767,0.9410782,-0.49752656,-0.5242195,9.1778196E-4,-0.726952,-0.7044718,-0.28194702,-0.99989873,2.4761819188414838,6.728655694057721,PowerLaw,0.04027592,0.107514046,3FGL J0242.7-0001,3FHL J0242.7-0002,sbg,,NGC 1068,,0.9995775,0.99712574,0,0.9993593129646628,0.0006406870353218732,0.998872250563865,0.0011277494361351945,0.9998319244840529,0.00016807551594774916,0.9978620357560413,0.0021379642439582494,0.0,0.0,0.0,0.0
4FGL J0359.7+4445,154.47958,-6.2716684,-21.977277114639158,2.2757714,0.120240875,-0.05721055,1.1608398,-0.97031224,0.9947064,9.3643105E-4,-0.9490949,-0.029170379,-0.922533,0.7632518,2.030753889264676,7.814541223134041,PowerLaw,0.040437523,0.13543646,,,unk,,1RXS J040006.3+444512,,0.0,0.8784544,1,0.9976890564051872,0.002310943594822756,0.9980582677617779,0.001941732238220923,0.9954160538244134,0.004583946175587234,0.9865157980016893,0.013484201998310104,0.0,0.0,0.0,0.0
4FGL J0402.5+5402,148.71283,1.0319921,-22.12607237179966,1.9700702,0.1996345,0.012072536,0.119218245,-0.9542407,0.9916611,3.1236964E-4,0.16275296,-0.6643018,-0.5085757,-0.22396924,2.5269435737071686,9.126993979808319,PowerLaw,0.08639765,0.23861699,,,unk,,TXS 0358+539,,0.0,0.86799777,0,0.9995437965361316,0.0004562034638853599,0.9978206634025423,0.0021793365974568553,0.998409093596145,0.001590906403854195,0.9965118806945285,0.003488119305472465,0.0,0.0,0.0,0.0
4FGL J0427.2+5533e,150.24223,4.5783525,-19.640341503387468,1.6904359,0.04843734,0.07336422,3.4200754,-0.9965278,0.9973207,7.3822615E-5,0.022041429,-0.21726425,-0.30358368,-0.3475554,2.0090812182830544,9.10173002577935,LogParabola,0.021334838,0.055489853,3FGL J0425.8+5600,3FHL J0427.2+5533e,SNR,,SNR G150.3+04.5,,,,4,0.3954163701360329,0.604583629863971,0.9815992160996656,0.0184007839003333,0.9351029283169198,0.06489707168307925,0.9356761503521732,0.06432384964782657,0.0,0.0,0.0,0.0
4FGL J0500.3+4639e,160.36945,2.6909337,-19.576046240545967,2.3527281,0.074586496,0.24095973,5.837267,-0.28579748,-0.36577183,0.0023350036,-0.7095791,-0.63843805,-0.8515931,-0.5696059,1.7132421850435426,6.838710084697801,LogParabola,0.059158377,0.18323293,2FGL J0503.2+4643,,SNR,,HB 9,,,,0,0.259175417455957,0.7408245825440569,0.11630118137730547,0.8836988186226936,0.3694381343593029,0.6305618656406972,0.3568628666749363,0.6431371333250636,0.0,0.0,0.0,0.0
4FGL J0519.9-6845e,279.35507,-33.386795,-18.130395531480616,2.182243,0.027489206,0.1776847,13.204758,0.0068637184,-0.25001252,7.6892495E-4,-0.58752483,-0.6481806,-0.8370162,-0.19420335,2.1596574729568507,7.089206290294641,LogParabola,0.018672898,0.06206598,3FGL J0526.6-6825e,,GAL,,LMC,,,,512,0.024022086610642944,0.9759779133893365,0.11871954787100564,0.8812804521289948,0.015317454152638592,0.984682545847362,0.2679115237216375,0.7320884762783614,0.0,0.0,0.0,0.0
4FGL J0521.2+1637,187.42412,-11.330111,-21.881030703035968,2.3708375,0.23195834,0.14812626,1.176986,0.0012354794,-0.58992404,0.0033416725,-0.57069737,-0.55617744,-0.79349923,-0.9999998,3.8431019294159445,7.3544380153372115,PowerLaw,0.13227093,0.51533103,,,css,,3C 138,,0.99609286,0.99724627,0,0.9998552509432269,0.00014474905679720467,0.9990193017206681,0.0009806982793332008,0.9995414959055748,0.00045850409442594806,0.9946908726648604,0.005309127335139641,0.0,0.0,0.0,0.0
4FGL J0524.4-2413,226.91878,-29.202547,-22.911612676040246,2.8489308,0.18622966,0.01627709,0.16824341,-0.38931468,-0.73187876,0.004370993,-0.7787664,-0.7551149,-0.9999953,0.98095053,2.6146725412563305,6.041865793739214,PowerLaw,0.1013926,0.320514,,,glc,,NGC 1904,,0.9633442,0.8323558,256,0.9999028055956329,9.719440437931567e-05,0.9987162715545852,0.0012837284454150805,0.9998916425311554,0.00010835746884481319,0.9971859723867508,0.0028140276132489705,0.0,0.0,0.0,0.0
