Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC_FHL,CLASS1,CLASS2,ASSOC1,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
4FGL J0002.1+6721,118.20349,4.939485,1284.9344,-21.090783098356894,2.600463,0.21873616,0.3613416,3.6965556,-0.29938075,-0.59153795,0.0063787973,0.6666667,-0.5675548,-0.8072314,-0.999372,-0.98807925,1.7963351252440556,LogParabola,0.15034156,0.5716248,,,unk,,1RXS J000209.4+672503,,0.0,0.95309293,1
4FGL J0024.0-7204,305.90195,-44.891075,956.1161,-19.237246431612025,2.093778,0.04264318,0.37520304,18.37318,-0.09216029,-0.04993778,9.6446596E-4,0.6666667,-0.40568277,-0.64168835,-0.9533204,-0.7539374,1.6564917911373311,LogParabola,0.029846506,0.09288038,3FGL J0023.9-7203,3FHL J0024.2-7205,glc,,NGC 104,,0.99996454,0.98999244,0
4FGL J0025.3+6408,120.093605,1.421848,3490.1196,-20.8719543250056,2.1400595,0.08333566,0.010525173,0.29345292,0.9906323,-0.534741,1.8771969E-4,0.6666667,-0.4333221,-0.6122322,-0.5513473,-0.81964767,1.3920432426682223,PowerLaw,0.036932897,0.10219822,3FGL J0025.7+6404,3FHL J0025.5+6407,snr,,Tycho,,0.96434534,0.999139,4
4FGL J0043.2+4114,121.28495,-21.604197,887.61536,-22.002371934335592,2.5234964,0.29237235,0.43375424,2.9630277,-0.73780704,-0.3705683,0.0112998765,0.6666667,-0.4309573,-0.9094145,-0.99962103,-0.16713974,0.6738909678158944,LogParabola,0.25465333,0.88891643,3FGL J0042.5+4117,,gal,,M 31,,1.0,0.0,2
4FGL J0047.3+6943,122.57157,6.8534408,7182.9204,-22.497133432629767,1.8924123,0.3207617,0.22452478,0.9951572,-0.9998876,0.99746394,0.0014918336,0.6666667,-0.57375604,-0.3398513,-0.34198686,-0.5981328,1.8725245076514947,PowerLaw,0.16484576,0.73277193,,,unk,,1RXS J004724.5+694222,,0.0,0.9525476,0
4FGL J0047.5-2517,97.574394,-87.96936,1246.0215,-20.967883388706383,2.1412337,0.06347956,0.06680642,2.1227646,0.93683684,-0.30174148,5.0235994E-4,0.6666667,-0.570273,-0.6085724,-0.6834191,-0.5110912,1.670158749750352,PowerLaw,0.03397673,0.08580647,3FGL J0047.5-2516,3FHL J0047.6-2517,sbg,,NGC 253,,0.9993061,0.99712837,0
4FGL J0058.0-7245e,302.25146,-44.36958,668.8911,-19.56554881810005,2.2103305,0.03660867,0.09607346,5.579218,0.35465047,-0.43061408,2.2560866E-5,1.0,-0.62734485,-0.6059806,-0.6951379,-0.9993718,2.2012879700746795,PLSuperExpCutoff,0.019674852,0.045409948,3FGL J0059.0-7242e,,GAL,,SMC,,,,4
4FGL J0129.0+6312,127.15824,0.6493515,908.47736,-20.994013539157258,2.6639903,0.14883009,0.23745841,3.1423504,0.992846,-0.42510837,0.0042351456,0.6666667,-0.7505972,-0.69712466,-0.99973905,0.96537846,1.5877703594546169,LogParabola,0.10277525,0.3199964,3FGL J0128.4+6257,,spp,,2MASS J01283059+6306298,,0.8272173,0.0,2
4FGL J0138.6+6821,127.284904,5.8786836,987.35345,-21.530076954735286,2.6994045,0.11209629,0.061733,1.0013779,0.996168,-0.4854619,0.0011484515,0.6666667,-0.88301605,-0.7367484,-0.52255034,-0.6924381,0.3892659905122038,PowerLaw,0.0679488,0.0873777,,,unk,,87GB 013451.9+680621,,0.0,0.8131367,0
4FGL J0221.4+6241e,133.04836,1.599426,1543.3099,-19.424778086619504,2.4054542,0.15471672,0.48992616,5.694505,-0.64766484,-0.03939233,0.0051445183,0.6666667,-0.54536724,-0.84297484,-0.85657126,-0.8048553,0.8737746703983053,LogParabola,0.15438019,0.44946945,3FGL J0224.0+6235,,SNR,,HB 3,,,,4
4FGL J0222.4+6156e,133.41885,0.9361786,1458.3889,-18.205159872220534,2.4307818,0.030976178,0.22853066,14.274336,0.1583215,-0.32185888,0.001128353,0.6666667,-0.66550505,-0.75164276,-0.9112924,-0.6238322,1.989672457725362,LogParabola,0.024264878,0.09040477,3FGL J0223.6+6204,,snr,,W 3,HB 3 field,,,4
4FGL J0240.5+6113,135.68022,1.0876453,1177.757,-16.8655612810944,2.3717105,0.008191214,0.15187922,28.226702,-0.13987109,-0.4753456,1.2364417E-4,0.6666667,-0.64861304,-0.70558125,-0.8729564,-0.7386893,5.297133346781401,LogParabola,0.0053875674,0.012195752,3FGL J0240.5+6113,3FHL J0240.5+6113,HMB,,LSI +61 303,,1.0,0.9958602,0
4FGL J0242.6-0000,172.09357,-51.930832,836.02264,-21.272130838343468,2.3761196,0.06984864,0.03636767,0.9410782,-0.49752656,-0.5242195,9.1778196E-4,0.6666667,-0.726952,-0.7044718,-0.28194702,-0.99989873,2.4761819188414838,PowerLaw,0.04027592,0.107514046,3FGL J0242.7-0001,3FHL J0242.7-0002,sbg,,NGC 1068,,0.9995775,0.99712574,0
4FGL J0359.7+4445,154.47958,-6.2716684,2476.3506,-21.977277114639158,2.2757714,0.120240875,-0.05721055,1.1608398,-0.97031224,0.9947064,9.3643105E-4,0.6666667,-0.9490949,-0.029170379,-0.922533,0.7632518,2.030753889264676,PowerLaw,0.040437523,0.13543646,,,unk,,1RXS J040006.3+444512,,0.0,0.8784544,1
4FGL J0402.5+5402,148.71283,1.0319921,9200.324,-22.12607237179966,1.9700702,0.1996345,0.012072536,0.119218245,-0.9542407,0.9916611,3.1236964E-4,0.6666667,0.16275296,-0.6643018,-0.5085757,-0.22396924,2.5269435737071686,PowerLaw,0.08639765,0.23861699,,,unk,,TXS 0358+539,,0.0,0.86799777,0
4FGL J0427.2+5533e,150.24223,4.5783525,8970.799,-19.640341503387468,1.6904359,0.04843734,0.07336422,3.4200754,-0.9965278,0.9973207,7.3822615E-5,0.6666667,0.022041429,-0.21726425,-0.30358368,-0.3475554,2.0090812182830544,LogParabola,0.021334838,0.055489853,3FGL J0425.8+5600,3FHL J0427.2+5533e,SNR,,SNR G150.3+04.5,,,,4
4FGL J0500.3+4639e,160.36945,2.6909337,933.2845,-19.576046240545967,2.3527281,0.074586496,0.24095973,5.837267,-0.28579748,-0.36577183,0.0023350036,0.6666667,-0.7095791,-0.63843805,-0.8515931,-0.5696059,1.7132421850435426,LogParabola,0.059158377,0.18323293,2FGL J0503.2+4643,,SNR,,HB 9,,,,0
4FGL J0519.9-6845e,279.35507,-33.386795,1198.9558,-18.130395531480616,2.182243,0.027489206,0.1776847,13.204758,0.0068637184,-0.25001252,7.6892495E-4,0.6666667,-0.58752483,-0.6481806,-0.8370162,-0.19420335,2.1596574729568507,LogParabola,0.018672898,0.06206598,3FGL J0526.6-6825e,,GAL,,LMC,,,,512
4FGL J0521.2+1637,187.42412,-11.330111,1563.1183,-21.881030703035968,2.3708375,0.23195834,0.14812626,1.176986,0.0012354794,-0.58992404,0.0033416725,0.6666667,-0.57069737,-0.55617744,-0.79349923,-0.9999998,3.8431019294159445,PowerLaw,0.13227093,0.51533103,,,css,,3C 138,,0.99609286,0.99724627,0
4FGL J0524.4-2413,226.91878,-29.202547,420.6772,-22.911612676040246,2.8489308,0.18622966,0.01627709,0.16824341,-0.38931468,-0.73187876,0.004370993,0.6666667,-0.7787664,-0.7551149,-0.9999953,0.98095053,2.6146725412563305,PowerLaw,0.1013926,0.320514,,,glc,,NGC 1904,,0.9633442,0.8323558,256
4FGL J0524.8-6938,280.30667,-32.79878,4305.3696,-22.1820415167975,2.0746531,0.18368633,-2.828927E-4,0.0,-0.3783007,-0.5252061,4.991497E-4,0.6666667,-0.8634044,-0.5014743,-0.032536943,-0.6206067,2.045245368120914,PowerLaw,0.060336437,0.25368804,3FGL J0524.5-6937,,snr,,LMC SNR N 132D,LMC-Galaxy field,0.8,0.0,0
4FGL J0526.7+4254,166.15872,4.3091006,655.72253,-21.434278184727734,2.659573,0.1820713,0.21234687,2.3255284,-0.6410337,-0.3040222,0.004695828,0.6666667,-0.8056967,-0.7402494,-0.9982416,-0.87952024,1.609682881358648,PowerLaw,0.11833171,0.38580802,3FGL J0526.0+4253,,snr,,SNR G166.0+04.3,,0.8,0.8457636,0
4FGL J0534.5+2201s,184.55287,-5.781456,50.548336,-20.960084084650283,3.8646383,0.06282914,0.5210417,1.7930875,-0.60067636,-0.9388299,0.019771222,0.6666667,-0.911851,-0.9969491,0.3961471,-0.93417215,6.290011077813611,PowerLaw,0.118690744,0.26165476,3FGL J0534.5+2201s,3FHL J0534.5+2201,PWN,,Crab Nebula,,1.0,0.9998551,20
4FGL J0535.2-6736,277.75247,-32.160187,752.282,-21.161034453557892,2.624482,0.090004645,0.15324895,2.9743564,-0.049368676,-0.7845492,0.003025511,0.6666667,-0.6454642,-0.84569186,-0.96556413,-0.40421575,1.7008062534394184,LogParabola,0.060864482,0.21535945,,,HMB,,LMC P3,LMC-Galaxy field,1.0,0.9778559,0
4FGL J0537.8-6909,279.55023,-31.742825,5648.531,-20.52747249622286,2.0045516,0.06279695,-0.037493497,1.4733363,-0.9998355,0.992121,1.0407293E-4,0.6666667,-0.40342712,-0.6130444,-0.6470529,-0.14941165,1.4745854353336707,PowerLaw,0.020711595,0.088872194,0FGL J0538.4-6856,3FHL J0537.9-6909,pwn,,N 157B,LMC-Galaxy field,0.9998788,0.9954455,4
4FGL J0540.3+2756e,180.24426,-1.4998169,1107.1104,-18.7762994845757,2.1986804,0.055631332,0.124881044,4.463512,-0.52644295,-0.35393333,7.272519E-4,0.6666667,-0.5095046,-0.54472876,-0.78083557,-0.6160107,2.054523365636576,LogParabola,0.03126732,0.08962882,3FGL J0540.3+2756e,,SNR,,Sim 147,,,,4
4FGL J0608.6+1149,197.51508,-3.909119,3205.2861,-21.946418816479486,2.2113583,0.18688767,-0.009533196,0.106578134,0.9952768,-0.6609152,0.0014186411,0.6666667,-0.92136365,0.24368474,-0.6630582,-0.6608048,2.48791834352637,PowerLaw,0.08367809,0.18788368,,,unk,,NVSS J060835+114942,,0.0,0.8162799,0
4FGL J0608.8+2034c,189.86746,0.35267115,1711.7826,-20.82185119256474,2.5035691,0.19330128,0.24593559,2.9081452,-0.79330295,0.98025215,0.00429836,0.6666667,-0.72710353,-0.7275743,-0.81585705,-0.9991911,2.232217031676917,PowerLaw,0.1300282,0.5451563,2FGL J0608.3+2037,,unk,,NVSS J060900+203746,,0.0,0.81158346,32
4FGL J0617.2+2234e,189.04765,3.0334508,3665.2312,-16.706329463408395,2.056883,0.015746957,0.12396469,20.777721,0.31100628,-0.24356602,1.4078073E-4,0.6666667,-0.5481992,-0.5528164,-0.69399655,-0.65096515,2.2116676500416363,LogParabola,0.005873362,0.019310035,3FGL J0617.2+2234e,3FHL J0617.2+2234e,SNR,,IC 443,,,,0
4FGL J0618.1+7819,135.67383,24.865604,2314.3413,-22.543894871377148,2.1701653,0.10951475,-0.099867634,1.6801864,0.99998194,-0.6234372,4.4889198E-4,0.6666667,-0.7057972,-0.29045883,-0.8350089,0.21960782,1.0209501561064285,PowerLaw,0.03871525,0.21864551,3FGL J0618.0+7819,,sbg,,NGC 2146,,0.98871547,0.97111225,0
4FGL J0632.8+0550,205.61147,-1.4479226,16727.78,-22.299918275765293,1.883186,0.29710582,-0.097915374,1.8098494,0.99664974,-0.7567915,6.6190003E-4,0.6666667,-0.9419617,-0.30532157,-0.24132273,-0.5881465,2.0506344433417074,PowerLaw,0.062764056,0.14116468,,3FHL J0632.7+0550,hmb,,HESS J0632+057,Monoceros field,0.8,0.9237122,0
4FGL J0634.2+0436e,206.87491,-1.7003806,882.7264,-18.57239326100951,2.2745686,0.049197767,0.21472685,8.398416,-0.22390887,-0.23224363,0.0014076988,0.6666667,-0.5789766,-0.69440067,-0.7340929,-0.69972885,0.33719189953122475,LogParabola,0.036433537,0.109554686,3FGL J0634.1+0424,,snr,,Rosette,Monoceros field,,,4
4FGL J0639.4+0655e,205.40027,0.5034855,755.66,-18.343428455105176,2.2635696,0.086279474,0.2782915,7.823113,0.15073337,-0.38044348,0.0022123721,0.6666667,-0.6161301,-0.7518496,-0.79682565,-0.733148,1.8795206960872244,LogParabola,0.050736595,0.150137,3FGL J0640.9+0752,,SNR,,Monoceros,,,,4
4FGL J0647.7-4418,253.67218,-19.200987,1775.3699,-22.039728932916383,2.1913476,0.2429732,0.24422783,2.0523918,-0.80333453,-0.36062613,0.00293395,0.6666667,-0.5486745,-0.38640213,-0.8704826,-0.99963266,2.376707772059971,PowerLaw,0.15382117,0.4548465,3FGL J0647.1-4415,,hmb,,RX J0648.0-4418,,0.8513498,0.80371433,0
4FGL J0647.7+0031,212.05276,-0.57211107,884.1549,-21.157970912904425,2.5571864,0.11770544,0.071447216,1.1355928,0.9999041,0.09467661,0.0012395246,0.6666667,-0.8277371,-0.77152747,-0.52082795,-0.67575896,1.6665289151223703,PowerLaw,0.07986805,0.09520179,3FGL J0647.6+0032,,spp,,SNR G213.0-00.6,,0.8,0.0,258
4FGL J0650.6+2055,194.05469,9.203488,5243.5503,-21.50638663177718,1.7403374,0.11110891,0.093325414,1.9551245,0.98433596,-0.629751,3.5930585E-4,0.6666667,-0.14365885,-0.3472423,-0.37760496,-0.3885587,2.0099835862242075,PowerLaw,0.05121575,0.16082345,3FGL J0650.5+2055,3FHL J0650.6+2055,unk,,NVSS J065035+205556,,0.0,0.9463466,0
4FGL J0709.7-3009,241.97298,-9.645979,3772.7314,-22.27787471359981,1.9954093,0.16195838,0.032281943,0.47147113,0.9910213,-0.9671859,5.4665055E-4,0.6666667,0.63375586,-0.77591753,-0.27227283,-0.40882826,2.3047690048918525,PowerLaw,0.07201365,0.21982841,,3FHL J0709.7-3008,unk,,1RXS J070947.9-300901,,0.0,0.9446162,0
4FGL J0809.5-4714,262.72278,-7.6400313,1508.5957,-21.872492549501292,2.38827,0.21926966,0.13068742,1.3123947,-0.36397618,-0.53365684,0.0020405913,0.6666667,-0.7158996,-0.71665174,-0.5310323,-0.9999602,1.677619412062267,PowerLaw,0.12180061,0.29682782,,,unk,,Gamma02 Velorum,,0.0,0.8383361,0
4FGL J0822.1-4253e,260.30905,-3.3742685,1894.2987,-18.534654315102465,2.041768,0.033792682,0.10194356,5.8746843,-0.36550823,-0.313167,2.2321974E-4,0.6666667,-0.47648987,-0.42766535,-0.6523173,-0.5755602,1.892982887404212,LogParabola,0.017142283,0.048652463,3FGL J0822.6-4250e,3FHL J0822.1-4253e,SNR,,Puppis A,,,,0
