_RAJ2000,_DEJ2000,3FGL 3FGL,Sig,Flux,RAJ2000,DEJ2000,LR-P,LRPred,RF-P,RFPred,PSR-Out,AGN-Out,BLR-PSR-P,BLR-PSR-Pred,RF-PSR-P,RF-PSR-Pred,Simbad
0.038,65.7517,3FGL J0000.1+6545,6.81,1.0E-12,0.038,65.7517,0.38,PSR,0.19,PSR,203.05,10.79,0.22,MSP,0.52,YNG,Simbad
0.061,-37.6484,3FGL J0000.2-3738,5.09,1.9E-14,0.061,-37.6484,0.0,AGN,0.0,AGN,109.49,-0.63,0.0,,0.13,,Simbad
0.254,63.244,3FGL J0001.0+6314,6.16,8.6E-12,0.254,63.244,0.0,AGN,0.05,AGN,187.32,4.2,0.16,,0.41,,Simbad
0.321,-7.8159,3FGL J0001.2-0748,11.25,4.9E-13,0.321,-7.8159,0.02,AGN,0.01,AGN,81.14,2.64,0.0,,0.04,,Simbad
0.361,21.3379,3FGL J0001.4+2120,11.35,2.5E-11,0.361,21.3379,0.0,AGN,0.0,AGN,203.17,1.55,0.01,,0.32,,Simbad
0.404,35.5905,3FGL J0001.6+3535,4.2,2.9E-13,0.404,35.5905,0.0,AGN,0.04,AGN,194.12,0.33,0.0,,0.17,,Simbad
0.524,-67.3703,3FGL J0002.0-6722,5.89,4.8E-14,0.524,-67.3703,0.0,AGN,0.0,AGN,100.44,-0.72,0.0,,0.13,,Simbad
0.562,-41.8828,3FGL J0002.2-4152,5.16,7.3E-14,0.562,-41.8828,0.0,AGN,0.0,AGN,120.9,-0.78,0.0,,0.16,,Simbad
0.674,62.3006,3FGL J0002.6+6218,17.97,4.3E-12,0.674,62.3006,0.99,PSR,0.81,PSR,1.98,751.35,0.82,YNG,0.54,YNG,Simbad
0.815,-52.7771,3FGL J0003.2-5246,5.67,2.0E-14,0.815,-52.7771,0.0,AGN,0.0,AGN,148.05,-0.61,0.0,,0.13,,Simbad
0.858,31.0085,3FGL J0003.4+3100,6.29,2.0E-12,0.858,31.0085,0.15,PSR,0.08,AGN,181.42,15.5,0.01,MSP,0.17,MSP,Simbad
0.89,57.3597,3FGL J0003.5+5721,5.38,1.1E-13,0.89,57.3597,0.04,AGN,0.04,AGN,206.61,1.63,0.01,,0.24,,Simbad
0.959,-11.8627,3FGL J0003.8-1151,4.18,4.4E-14,0.959,-11.8627,0.0,AGN,0.02,AGN,109.97,0.04,0.0,,0.12,,Simbad
1.055,67.9593,3FGL J0004.2+6757,6.01,6.0E-13,1.055,67.9593,0.67,PSR,0.54,PSR,76.78,218.93,0.49,MSP,0.39,MSP,Simbad
1.057,8.7274,3FGL J0004.2+0843,4.72,3.5E-14,1.057,8.7274,0.0,AGN,0.07,AGN,85.61,1.58,0.0,,0.08,,Simbad
1.181,-47.6711,3FGL J0004.7-4740,14.52,2.1E-12,1.181,-47.6711,0.0,AGN,0.04,AGN,252.91,2.81,0.0,,0.14,,Simbad
1.572,1.5853,3FGL J0006.2+0135,5.52,9.8E-14,1.572,1.5853,0.0,AGN,0.0,AGN,128.35,-0.43,0.0,,0.12,,Simbad
1.612,38.4183,3FGL J0006.4+3825,10.55,6.1E-12,1.612,38.4183,0.0,AGN,0.01,AGN,171.38,0.59,0.0,,0.26,,Simbad
1.651,46.3054,3FGL J0006.6+4618,4.61,2.6E-13,1.651,46.3054,0.0,AGN,0.0,AGN,114.71,0.2,0.01,,0.25,,Simbad
1.766,73.0499,3FGL J0007.0+7302,288.75,7.6E-11,1.766,73.0499,1.0,PSR,0.99,PSR,-0.34,3368.41,0.99,YNG,0.8,YNG,Simbad
