Source_Name_3FGL,Flux_Density_log,Unc_EnergyFlux100_log,Spec_index,significant_curve_log,variability_log,hr12,hr23,hr34,hr45,GLAT_3FGL_3FGL,Pivot_Energy_1,Spectrum_Type,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict,RAJ2000,DEJ2000,GLON
3FGL J0903.0-4826,-27.95319835,-26.34852288,2.4668927,1.322348011,3.650246468,0.82024563,-0.821476353,-0.759325333,-0.999987634,-1.1786876,1416.0138,PowerLaw,0.097679881,0.902320119,0.202415779,0.797584221,0.263550101,0.736449899,0.392480163,0.607519837,1.0,0.987,1.0,0.97,135.7632,-48.4496,269.08405
3FGL J1722.7-0415,-28.41415327,-26.89910587,2.2949152,1.307441395,3.527200172,0.999484856,-0.52948319,-0.763442878,-0.999952253,17.516644,1589.2805,PowerLaw,0.178445716,0.821554284,0.337556211,0.662443789,0.231192355,0.768807645,0.45943408,0.54056592,1.0,0.924,1.0,0.781,260.6908,-4.2644,18.494955
3FGL J1739.9-3124c,-28.56768013,-25.94564908,2.289428,1.343811483,3.87572215,-0.44337263,-0.68206947,-0.730975961,-0.777302839,-0.2582347,2370.0752,PowerLaw,0.015067935,0.984932065,0.373143058,0.626856942,0.343808896,0.656191104,0.254213377,0.745786623,1.0,0.775,0.969,1.0,264.9902,-31.4029,357.2593
3FGL J1759.2-3848,-29.08739512,-27.1092327,2.2362862,1.25044434,3.480022271,0.826857995,-0.474116699,-0.510057201,-0.999997693,-7.426649,1873.4133,PowerLaw,0.408654799,0.591345201,0.214164861,0.785835139,0.410337793,0.589662207,0.488618335,0.511381665,0.94,0.997,0.918,0.593,269.8144,-38.8107,352.88678
3FGL J1827.7+1141,-29.32896161,-27.35791422,2.1120343,1.337207315,3.653289322,0.943907968,-0.544939136,-0.54886627,-0.999992388,10.517796,1960.7927,PowerLaw,0.124347561,0.875652439,0.241571437,0.758428563,0.378955443,0.621044557,0.4893908,0.5106092,1.0,0.987,0.969,0.58,276.9254,11.6971,40.781555
3FGL J1849.5-0124c,-29.52765322,-25.49173796,2.283632,1.11008018,3.604054957,-0.705722981,-0.57953031,-0.712450408,-0.877230833,-0.23266509,4057.3767,PowerLaw,0.001833873,0.998166127,0.379636332,0.620363668,0.22684179,0.77315821,0.214879347,0.785120653,1.0,0.731,0.998,1.0,282.3965,-1.4132,31.463547
3FGL J1857.8+0129c,-29.73838101,-25.45581336,2.3426893,1.185095657,3.725089872,-0.002223519,-0.738405394,-0.745587138,-0.850820843,-0.75110644,4155.211,PowerLaw,0.004941011,0.995058989,0.438138712,0.561861288,0.278451251,0.721548749,0.247710964,0.752289036,1.0,0.62,0.983,1.0,284.4712,1.4978,35.00044
3FGL J1931.1+1659,-27.8199025,-26.26878997,2.3731966,1.337261037,3.95262801,0.499071574,-0.618652542,-0.805020578,-0.999909224,-0.7662914,1507.544,PowerLaw,0.005339423,0.994660577,0.266823331,0.733176669,0.336557643,0.663442357,0.339405724,0.660594276,1.0,0.955,0.997,0.998,292.7789,16.9912,52.51871
3FGL J0008.5+6853,-26.18075166,-27.3970238,2.4229047,1.870403769,3.556326554,-0.156765758,-0.635909998,-0.940642661,-0.999925079,6.337629,820.26306,LogParabola,0.001345507,0.998654493,0.051745901,0.948254099,0.039183504,0.960816496,0.38551533,0.61448467,1.0,0.997,1.0,0.957,2.1409,68.887,119.06737
3FGL J0039.3+6256,-27.81531418,-27.49709381,1.8748002,2.004483997,4.057733135,0.999717808,0.006303454,-0.559091426,-0.999998267,0.10212196,1836.4304,LogParabola,0.036447649,0.963552351,0.047764412,0.952235588,0.204261907,0.795738093,0.120991342,0.879008658,1.0,0.997,1.0,1.0,9.8342,62.9415,121.55667
