RAJ2000,DEJ2000
135.7632,-48.4496
260.6908,-4.2644
264.9902,-31.4029
269.8144,-38.8107
276.9254,11.6971
282.3965,-1.4132
284.4712,1.4978
292.7789,16.9912
2.1409,68.887
9.8342,62.9415
33.0371,53.336
36.4722,61.987
49.5362,2.8695
54.0439,75.0153
66.6813,54.6168
85.2775,35.8975
129.9201,-41.5555
133.7108,-45.0616
133.855,-48.3163
135.4049,-47.0013
136.7539,-48.043
143.4812,-62.5338
148.4289,-15.1745
150.646,-57.1629
156.5597,-57.5166
158.926,-67.3335
159.789,-58.1572
161.8438,-60.0983
168.0168,-61.5842
169.9845,-22.0673
196.6146,-60.7317
199.4028,-63.2598
202.4678,-61.162
209.6435,-60.4298
211.3561,-61.3168
224.1955,-60.7768
234.8234,-33.4142
238.2121,-53.5131
246.2794,-0.3586
251.4482,-21.8241
253.419,-1.9801
262.6653,-3.9524
264.0189,-27.0201
265.125,-28.717
265.1345,-27.45
265.1366,-26.7115
265.665,-33.3562
266.0452,-76.3286
266.343,-29.063
266.7749,-28.4819
267.0925,-28.2589
267.3149,-29.1929
268.4044,-44.793
268.5004,-29.5059
268.5084,-25.6486
270.2216,-24.0351
272.0968,-33.9632
273.4234,-11.8084
275.8204,-13.6513
277.9421,-2.5007
279.848,-5.8816
280.7616,-3.9892
280.9282,-3.3772
282.1183,-1.6927
284.3095,0.9863
284.4888,3.9278
284.4902,2.1704
285.2048,3.623
285.2958,7.4756
286.6714,7.3339
290.3076,15.1095
291.3732,17.4632
292.2367,17.6567
306.7176,28.2313
308.1394,39.3589
308.6701,43.039
308.7577,36.5814
309.6248,42.2085
309.854,41.1982
309.918,-56.3121
318.1447,-30.7344
