Source_Name_3FGL,Flux_Density_log,Unc_Energy_Flux100_log,Spec_index,signif_curv_log,variability_index__log,hr12,hr23,hr34,hr45,GLAT_3FGL,Category_3FGL,Class_3FGL,Pivot_Energy,Spectrum_Type,Assoc1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times_in_Testing,GLON_3FGL,Flags_3FGL,Category_Prob
3FGL J0001.2-0748,-28.3538261,-27.6869849,2.1493483,0.641978984,3.90677351,-0.324667683,-0.599118156,-0.425146785,-0.908887539,-67.32425,AGN,bll,1263.8359,PowerLaw,PMN J0001-0746,0.903582241,0.0964177586,0.902242846,0.0977571535,0.896776517,0.103223483,0.896906376,0.103093624,301,89.0222,0,AGN
3FGL J0002.2-4152,-30.2450406,-28.0296727,2.0889208,-1.60807574,4.03160096,-0.807390796,-0.738067109,0.0674556213,-0.580624315,-72.14272,AGN,bcu,1956.0415,PowerLaw,1RXS J000135.5-415519,0.910863914,0.0891360858,0.90598481,0.0940151897,0.908430975,0.0915690247,0.909043625,0.090956375,287,334.0701,0,AGN
3FGL J0003.2-5246,-31.5436588,-27.907395,1.8952075,-0.0954506697,3.81287508,-0.999748774,0.991051089,-0.397129256,-0.454391092,-62.824707,AGN,bcu,3676.2268,PowerLaw,RBS 0006,0.909835734,0.0901642655,0.910370498,0.089629502,0.911324266,0.0886757344,0.907849205,0.0921507947,292,318.97614,0,AGN
3FGL J0003.8-1151,-30.7511429,-27.9731584,2.0235214,0.581936251,3.88139154,0.796120394,-0.389624007,-0.664556136,-0.449034661,-71.08423,AGN,bcu,2315.8784,PowerLaw,PMN J0004-1148,0.920220779,0.0797792208,0.911071071,0.0889289286,0.916584663,0.0834153373,0.914060208,0.0859397918,309,84.43189,0,AGN
3FGL J0004.7-4740,-26.8768287,-27.8457427,2.4035163,0.607582212,4.72679167,-0.532141432,-0.698347124,-0.635800504,-0.999992715,-67.51865,AGN,fsrq,722.59973,PowerLaw,PKS 0002-478,0.919446943,0.0805530574,0.916220461,0.0837795392,0.915255661,0.0847443395,0.91615186,0.0838481398,297,323.81558,0,AGN
3FGL J0006.4+3825,-25.8193489,-27.598428,2.6171293,0.823317268,4.38779124,-0.727468421,-0.714511877,-0.884553713,-0.639908862,-23.613312,AGN,fsrq,496.52658,PowerLaw,S4 0003+38,0.911039774,0.0889602255,0.912580605,0.0874193951,0.909230238,0.0907697623,0.911441006,0.0885589936,300,113.33189,0,AGN
3FGL J0008.0+4713,-28.1962982,-27.2371429,2.0209966,0.92186807,3.60314383,-0.128631386,-0.519058466,-0.418792941,-0.633187401,-15.002618,AGN,bll,1875.706,PowerLaw,MG4 J000800+4712,0.914740963,0.0852590366,0.916457304,0.0835426958,0.912547653,0.0874523475,0.915381027,0.0846189731,294,115.33255,0,AGN
3FGL J0008.6-2340,-32.7602046,-27.6848638,1.5989343,-0.1639293,3.857546,0.0325999931,0.999570207,-0.739576457,0.416237882,-79.75257,AGN,bll,7424.89,PowerLaw,RBS 0016,0.926693597,0.0733064034,0.919560366,0.0804396345,0.917576454,0.0824235457,0.91951232,0.0804876797,317,50.280113,0,AGN
3FGL J0009.1+0630,-29.0152069,-27.7109196,2.1793637,-0.996861512,4.11671714,-0.513312783,-0.599315647,-0.541871893,-0.517110066,-54.84626,AGN,bll,1548.9703,PowerLaw,CRATES J000903.95+062821.5,0.922205904,0.077794096,0.923562771,0.0764372293,0.921693791,0.0783062095,0.922316662,0.0776833384,312,104.4891,0,AGN
3FGL J0009.3+5030,-27.5358079,-26.9785278,1.9286355,0.759633273,4.59952367,-0.531442468,-0.471129138,-0.403181438,-0.563149301,-11.803292,AGN,bll,1656.9579,PowerLaw,NVSS J000922+503028,0.940328905,0.0596710951,0.925580629,0.0744193711,0.930890369,0.0691096305,0.93022828,0.0697717196,290,116.11642,0,AGN
3FGL J0009.6-3211,-28.8002771,-28.0248004,2.3097298,0.0270759166,3.75029336,-0.596740735,-0.623579577,-0.703260285,-0.637021066,-79.601845,AGN,bcu,1069.8146,PowerLaw,IC 1531,0.915009211,0.0849907887,0.914557944,0.0854420555,0.914616149,0.0853838513,0.911308901,0.0886910986,314,1.2516652,1,AGN
3FGL J0012.4+7040,-28.2276076,-27.2959122,2.4837499,-1.56607694,3.94305432,-0.59534088,-0.869545042,-0.568573316,-0.441835598,8.046483,AGN,bcu,1066.8414,PowerLaw,TXS 0008+704,0.926060985,0.0739390148,0.916623729,0.0833762711,0.923526731,0.0764732686,0.921537099,0.0784629006,300,119.68739,8,AGN
3FGL J0013.2-3954,-28.223898,-27.8588636,2.2117834,-1.88502292,4.01147139,-0.564600305,-0.626851708,-0.586269932,-0.350811907,-74.96217,AGN,bll,1139.5116,PowerLaw,PKS 0010-401,0.919588134,0.0804118658,0.911972652,0.0880273479,0.906680874,0.0933191261,0.908093833,0.0919061668,298,332.3238,0,AGN
3FGL J0013.9-1853,-31.1458156,-27.9947326,1.9351506,0.486400709,3.59618299,0.99911541,0.342174432,-0.420619201,-0.836871206,-78.0784,AGN,bll,2844.402,PowerLaw,RBS 0030,0.929417637,0.0705823627,0.920726427,0.0792735728,0.921038162,0.0789618381,0.922134839,0.0778651606,315,74.62692,0,AGN
3FGL J0014.0-5025,-31.1621834,-28.0085523,1.9238772,0.371497968,3.836813,-0.739192463,-0.278573801,-0.630847604,-0.448877519,-65.633064,AGN,bll,2914.0332,PowerLaw,RBS 0032,0.928073575,0.0719264247,0.911992576,0.0880074239,0.915509902,0.0844900981,0.916493596,0.0835064043,298,317.4511,0,AGN
3FGL J0014.6+6119,-31.2411051,-27.3197198,1.8874854,0.888861568,3.92760936,0.955237768,-0.0843742712,-0.277528749,-0.458452091,-1.2385842,AGN,bcu,5187.997,PowerLaw,4C +60.01,0.908860077,0.0911399229,0.899951871,0.100048129,0.896764462,0.103235538,0.902929374,0.0970706261,307,118.53034,0,AGN
3FGL J0014.7+5802,-32.0224643,-27.5716737,1.9128166,-0.3954289,3.67655558,0.923888966,0.82992441,-0.538831261,-0.539200917,-4.4827323,AGN,bll,5677.0996,PowerLaw,1RXS J001442.2+580201,0.898514015,0.101485985,0.898445985,0.101554015,0.894565638,0.105434362,0.899913739,0.100086261,308,118.07528,0,AGN
3FGL J0015.7+5552,-30.6519148,-27.5650533,2.1145282,0.0424504918,3.62892606,-0.612040553,-0.708852423,-0.58331449,-0.588342847,-6.6486773,AGN,bcu,3002.9968,PowerLaw,GB6 J0015+5551,0.935057072,0.0649429283,0.928835243,0.0711647571,0.929201405,0.0707985954,0.931717778,0.0682822223,303,117.90898,0,AGN
3FGL J0016.3-0013,-25.5007332,-27.7121846,2.6178546,1.22716597,5.0309504,-0.616784239,-0.795090013,-0.908771878,-0.355854503,-61.808758,AGN,fsrq,449.44128,PowerLaw,S3 0013-00,0.919842246,0.0801577541,0.913293176,0.0867068245,0.910405784,0.089594216,0.912367068,0.0876329321,312,104.078606,0,AGN
3FGL J0017.2-0643,-29.8271395,-27.8091679,2.1161962,-0.0533356945,3.62139184,0.0318759109,-0.167553473,-0.69133399,-0.771387465,-68.03635,AGN,bcu,1905.9727,PowerLaw,PMN J0017-0650,0.924729269,0.0752707315,0.914118596,0.0858814041,0.912484044,0.0875159561,0.912897963,0.0871020366,320,99.66854,0,AGN
3FGL J0017.6-0512,-27.0753891,-27.3903535,2.50629,0.61752695,5.43845215,-0.651864181,-0.716061772,-0.813044896,-0.500378042,-66.64299,AGN,FSRQ,861.1856,PowerLaw,PMN J0017-0512,0.916847025,0.0831529746,0.899387976,0.100612024,0.904383013,0.0956169871,0.903641016,0.0963589842,309,101.25842,0,AGN
3FGL J0018.4+2947,-32.1950904,-27.9788071,1.8645151,-2.43056546,4.030712,0.884908636,-0.839906357,-0.166074473,-0.173117601,-32.53204,AGN,bll,4720.1187,PowerLaw,RBS 0042,0.932693805,0.0673061948,0.920430493,0.0795695072,0.924533155,0.0754668445,0.919362031,0.0806379689,316,114.43213,0,AGN
3FGL J0018.9-8152,-29.6022225,-27.6622817,2.0754406,-1.17116701,4.45029615,-0.658769818,-0.658890441,-0.518360336,-0.27289898,-35.163124,AGN,bll,2187.517,PowerLaw,PMN J0019-8152,0.919874427,0.0801255729,0.913828292,0.0861717081,0.916571336,0.083428664,0.91989549,0.0801045099,282,304.3301,0,AGN
3FGL J0019.1-5645,-28.756365,-28.0212093,2.3909311,-0.64464422,4.14085123,-0.882274398,-0.48227178,-0.598547156,-0.279748388,-59.82244,AGN,bcu,1088.913,PowerLaw,PMN J0019-5641,0.888687686,0.111312314,0.88351962,0.11648038,0.87986253,0.12013747,0.87998212,0.12001788,273,311.7315,0,AGN
3FGL J0019.4+2021,-29.5845041,-27.88706,2.2486298,-0.557360433,4.02142739,0.406755556,-0.863557532,-0.410481412,-0.530666251,-41.877808,AGN,bll,1529.8136,PowerLaw,PKS 0017+200,0.936940522,0.0630594776,0.924748665,0.0752513346,0.931086632,0.0689133685,0.933256972,0.066743028,305,112.8436,0,AGN
