Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_Beta,LP_Sigcurv,hr12,hr23,Unc_PLEC_Expfactor,Unc_PLEC_Index,hr34,hr45,hr56,hr67,Variability_Index,Spectrum_Type,Unc_LP_beta,PLEC_Expfactor,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,FLAGS,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict,Category_Prob
4FGL J0000.3-7355,307.70898,-42.729538,2430.1826,-22.4838411,2.119125,0.25751528,0.08968772,0.6184386,-0.9960373,0.93898755,0.001688588,0.6666667,-0.58789384,-0.46454003,-0.6292898,-0.9996481,2.1592491,PowerLaw,0.14627089,0.39123338,,,,,0,0,0,0.99986336,0.000137,0.974687531,0.025312469,0.999512377,0.000488,0.997845764,0.002154236,0,0,0,0,AGN
4FGL J0003.3+2511,109.38164,-36.411484,1612.2313,-22.3553211,2.209443,0.31500685,0.41627398,2.120038,0.77953553,-0.5709804,0.009460228,0.6666667,-0.34649104,-0.693337,-0.68017524,-0.9834204,0.945922233,PowerLaw,0.32086015,1.0453527,,,,,0,0,0,0.999834358,0.000166,0.920956459,0.079043541,0.887820121,0.112179879,0.978269907,0.021730093,0,0.001,0,0,AGN
4FGL J0003.6+3059,111.004486,-30.771994,1367.2732,-21.5365105,2.2234128,0.2737722,0.6783473,4.395897,0.946137,-0.30623183,0.007885308,0.6666667,-0.18627536,-0.7547651,-0.85793644,-0.99782455,1.61192962,LogParabola,0.25180805,0.8389943,3FGL J0003.4+3100,,,,0,0,0,0.931842242,0.068157758,0.533177168,0.466822832,0.542040605,0.457959395,0.828091618,0.171908382,0,0.506,0.44,0,AGN
4FGL J0004.0+5715,116.52632,-5.0228662,1378.5641,-21.694961,2.4375134,0.23494162,0.27710062,2.2947636,0.99195033,0.2330916,0.004658108,0.6666667,-0.6546432,-0.5928602,-0.9882191,-0.9968712,2.41543434,PowerLaw,0.17424358,0.5546416,3FGL J0003.5+5721,,,,0,0,0,0.990510363,0.009489637,0.954438197,0.045561803,0.926113295,0.073886705,0.968918772,0.031081228,0,0,0,0,AGN
4FGL J0004.4-4001,336.9915,-73.84534,1243.006,-22.5513549,2.4249508,0.14729057,-0.027007917,0.3422165,-0.07757718,-0.781518,0.001022757,0.6666667,-0.56201136,-0.65176815,-0.7525004,-0.39933,2.91870222,PowerLaw,0.068658195,0.21702,,,,,0,0,4,0.999902283,9.77e-05,0.981092716,0.018907284,0.999903817,9.62e-05,0.997918368,0.002081632,0,0,0,0,AGN
4FGL J0005.6+6746c,118.60844,5.282127,1240.5938,-21.6309457,2.6314557,0.2878915,0.32071975,2.689085,0.9852871,0.9764428,0.006553203,0.6666667,-0.7463456,-0.8327146,-0.84040207,-0.9997997,1.80498437,PowerLaw,0.18199188,0.54935044,,,,,0,0,56,0.948037494,0.051962506,0.744062142,0.255937858,0.633848871,0.366151129,0.919633532,0.080366468,0,0.135,0.271,0,AGN
4FGL J0006.6+4618,114.92035,-15.869719,1215.221,-22.3129383,2.521416,0.12419312,-0.050101988,0.8819638,0.743678,-0.8633664,0.001205696,0.6666667,-0.7528888,-0.3601912,-0.7494455,-0.9999925,2.43202327,PowerLaw,0.048874963,0.15938121,3FGL J0006.6+4618,,,,0,0,0,0.99974221,0.000258,0.975574356,0.024425644,0.996547905,0.003452095,0.998396917,0.001603083,0,0,0,0,AGN
4FGL J0008.4+6926,119.14811,6.885729,3047.682,-21.8570452,2.3719156,0.22492553,0.10302104,1.0564419,0.9988942,0.99967754,0.002145583,0.6666667,-0.61695856,-0.7522733,-0.28375107,-0.9999608,2.38180275,PowerLaw,0.11486513,0.4245506,,,,,0,0,0,0.99968935,0.000311,0.969106256,0.030893744,0.987700112,0.012299888,0.987294152,0.012705848,0,0,0,0,AGN
4FGL J0008.9+2509,110.91511,-36.72459,369.76093,-22.7698215,2.8815272,0.213211,0.20584151,1.475534,-0.59508824,-0.50279725,0.012305561,0.6666667,-0.8196711,-0.98260194,-0.87082124,-0.99695784,2.35345836,PowerLaw,0.16841836,0.5522985,,,,,0,0,0,0.999722203,0.000278,0.984394812,0.015605188,0.994578809,0.005421191,0.989561598,0.010438402,0,0,0,0,AGN
4FGL J0009.1-5012,319.3951,-65.54536,1061.3572,-22.4779007,2.4078472,0.20013253,0.15148015,1.375943,0.97284263,-0.55746925,0.004305203,0.6666667,-0.72268534,-0.58767265,-0.96198916,-0.99504125,2.65937324,PowerLaw,0.13365895,0.4234309,,,,,0,0,0,0.999650003,0.00035,0.982000409,0.017999591,0.997381987,0.002618013,0.994887266,0.005112734,0,0,0,0,AGN
4FGL J0009.2+6847,119.10994,6.235327,1165.8625,-21.0065189,2.6165042,0.18635528,0.44023114,4.4789386,-0.46070874,-0.3841832,0.007880902,0.6666667,-0.71955353,-0.86081463,-0.9272294,-0.9983699,1.49005011,LogParabola,0.17097901,0.58146274,3FGL J0008.5+6853,,,,0,0,0,0.751607432,0.248392568,0.537509628,0.462490372,0.524591569,0.475408431,0.720913344,0.279086656,0,0.507,0.377,0,AGN
