Name,Mean,SD,Minimum,Maximum,nGood
Source_Name_3FGL,,,3FGL J0001.0+6314,3FGL J2359.5-2052,2013
GLON,183.3812,102.937126,0.1492011696100235,359.9555969238281,2013
GLAT,2.407066,40.172005,-87.95155334472656,86.36791229248047,2013
ln(Energy_Flux100),-25.273445,1.0997629,-27.1288687137115,-18.533840209033873,2013
ln(Unc_Energy_Flux100),-27.406715,0.55481035,-28.46542649817723,-24.4004010452621,2013
ln(Signif_Curve),0.27242267,1.1904882,-5.81269334713383,4.44233319479848,2013
ln(Variability_Index),4.329208,0.93194884,2.996203563693944,11.014257665680198,2013
500MeV_Index,2.1539812,0.38315377,-1.6103540430198002,5.7158942222595215,2013
HR12,-0.3950511,0.5091024,-0.999998495,0.999951964,2013
HR23,-0.530539,0.36297223,-0.999920481,0.999959074,2013
HR34,-0.5490094,0.24929522,-0.999994613,0.999937777,2013
HR45,-0.5965018,0.32724443,-0.999995688,0.99919982,2013
Category_3FGL,,,AGN,PSR,2013
CLASS_3FGL,,,BCU,ssrq,2013
Flags,22.492796,174.89062,0,2564,2013
