Flux_DEN,unc_energy_flux_100,Spectral_Index_old,Signif_curve_1,var,hr12,hr23,hr34,hr45,GLAT_1,class,CLASS1_1,Source_Name_1,Pivot_Energy_1,SpectrumType_1,ASSOC1_1,Flags,Source_Name,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Category_Prob
-28.3538261,-27.6869849,2.1493483,0.641978984,3.90677351,-0.324667683,-0.599118156,-0.425146785,-0.908887539,-67.32425,AGN,bll,3FGL J0001.2-0748,1263.8359,PowerLaw,PMN J0001-0746,0,3FGL J0001.2-0748,0.894187666,0.105812334,0.857403741,0.142596259,0.824210289,0.175789711,0.869530578,0.130469422,213,AGN
-30.2450406,-28.0296727,2.0889208,-1.60807574,4.03160096,-0.807390796,-0.738067109,0.0674556213,-0.580624315,-72.14272,AGN,bcu,3FGL J0002.2-4152,1956.0415,PowerLaw,1RXS J000135.5-415519,0,3FGL J0002.2-4152,0.886529451,0.113470549,0.842801202,0.157198798,0.808793584,0.191206416,0.876120301,0.123879699,202,AGN
-31.5436588,-27.907395,1.8952075,-0.0954506697,3.81287508,-0.999748774,0.991051089,-0.397129256,-0.454391092,-62.824707,AGN,bcu,3FGL J0003.2-5246,3676.2268,PowerLaw,RBS 0006,0,3FGL J0003.2-5246,0.913748441,0.0862515588,0.85708148,0.14291852,0.83602523,0.16397477,0.886444206,0.113555794,209,AGN
-30.7511429,-27.9731584,2.0235214,0.581936251,3.88139154,0.796120394,-0.389624007,-0.664556136,-0.449034661,-71.08423,AGN,bcu,3FGL J0003.8-1151,2315.8784,PowerLaw,PMN J0004-1148,0,3FGL J0003.8-1151,0.90956448,0.0904355196,0.869862429,0.130137571,0.842971809,0.157028191,0.89046946,0.10953054,219,AGN
-26.8768287,-27.8457427,2.4035163,0.607582212,4.72679167,-0.532141432,-0.698347124,-0.635800504,-0.999992715,-67.51865,AGN,fsrq,3FGL J0004.7-4740,722.59973,PowerLaw,PKS 0002-478,0,3FGL J0004.7-4740,0.894598226,0.105401774,0.8584785,0.1415215,0.831163997,0.168836003,0.880537892,0.119462108,215,AGN
-25.8193489,-27.598428,2.6171293,0.823317268,4.38779124,-0.727468421,-0.714511877,-0.884553713,-0.639908862,-23.613312,AGN,fsrq,3FGL J0006.4+3825,496.52658,PowerLaw,S4 0003+38,0,3FGL J0006.4+3825,0.891159247,0.108840753,0.844352657,0.155647343,0.827966807,0.172033193,0.867983148,0.132016852,216,AGN
-28.1962982,-27.2371429,2.0209966,0.92186807,3.60314383,-0.128631386,-0.519058466,-0.418792941,-0.633187401,-15.002618,AGN,bll,3FGL J0008.0+4713,1875.706,PowerLaw,MG4 J000800+4712,0,3FGL J0008.0+4713,0.928013559,0.0719864412,0.881693802,0.118306198,0.845143525,0.154856475,0.909364825,0.0906351748,198,AGN
-32.7602046,-27.6848638,1.5989343,-0.1639293,3.857546,0.0325999931,0.999570207,-0.739576457,0.416237882,-79.75257,AGN,bll,3FGL J0008.6-2340,7424.89,PowerLaw,RBS 0016,0,3FGL J0008.6-2340,0.936182376,0.0638176244,0.887251558,0.112748442,0.864597711,0.135402289,0.914634616,0.0853653844,215,AGN
-29.0152069,-27.7109196,2.1793637,-0.996861512,4.11671714,-0.513312783,-0.599315647,-0.541871893,-0.517110066,-54.84626,AGN,bll,3FGL J0009.1+0630,1548.9703,PowerLaw,CRATES J000903.95+062821.5,0,3FGL J0009.1+0630,0.912459904,0.0875400962,0.873885202,0.126114798,0.85429892,0.14570108,0.891150852,0.108849148,233,AGN
-27.5358079,-26.9785278,1.9286355,0.759633273,4.59952367,-0.531442468,-0.471129138,-0.403181438,-0.563149301,-11.803292,AGN,bll,3FGL J0009.3+5030,1656.9579,PowerLaw,NVSS J000922+503028,0,3FGL J0009.3+5030,0.927210188,0.0727898124,0.871414715,0.128585285,0.860320465,0.139679535,0.902528033,0.0974719669,207,AGN
-28.8002771,-28.0248004,2.3097298,0.0270759166,3.75029336,-0.596740735,-0.623579577,-0.703260285,-0.637021066,-79.601845,AGN,bcu,3FGL J0009.6-3211,1069.8146,PowerLaw,IC 1531,1,3FGL J0009.6-3211,0.885318162,0.114681838,0.858239214,0.141760786,0.841810855,0.158189145,0.87883945,0.12116055,236,AGN
-28.2276076,-27.2959122,2.4837499,-1.56607694,3.94305432,-0.59534088,-0.869545042,-0.568573316,-0.441835598,8.046483,AGN,bcu,3FGL J0012.4+7040,1066.8414,PowerLaw,TXS 0008+704,8,3FGL J0012.4+7040,0.900810539,0.0991894611,0.83698822,0.16301178,0.819560129,0.180439871,0.874805485,0.125194515,208,AGN
-28.223898,-27.8588636,2.2117834,-1.88502292,4.01147139,-0.564600305,-0.626851708,-0.586269932,-0.350811907,-74.96217,AGN,bll,3FGL J0013.2-3954,1139.5116,PowerLaw,PKS 0010-401,0,3FGL J0013.2-3954,0.927641288,0.0723587117,0.879899269,0.120100731,0.855001064,0.144998936,0.899218006,0.100781994,221,AGN
-31.1458156,-27.9947326,1.9351506,0.486400709,3.59618299,0.99911541,0.342174432,-0.420619201,-0.836871206,-78.0784,AGN,bll,3FGL J0013.9-1853,2844.402,PowerLaw,RBS 0030,0,3FGL J0013.9-1853,0.925909254,0.0740907455,0.882700354,0.117299646,0.860154087,0.139845913,0.899449327,0.100550673,221,AGN
-31.1621834,-28.0085523,1.9238772,0.371497968,3.836813,-0.739192463,-0.278573801,-0.630847604,-0.448877519,-65.633064,AGN,bll,3FGL J0014.0-5025,2914.0332,PowerLaw,RBS 0032,0,3FGL J0014.0-5025,0.916093811,0.0839061894,0.867217816,0.132782184,0.843719701,0.156280299,0.893919867,0.106080133,211,AGN
-31.2411051,-27.3197198,1.8874854,0.888861568,3.92760936,0.955237768,-0.0843742712,-0.277528749,-0.458452091,-1.2385842,AGN,bcu,3FGL J0014.6+6119,5187.997,PowerLaw,4C +60.01,0,3FGL J0014.6+6119,0.885610703,0.114389297,0.842302112,0.157697888,0.813018617,0.186981383,0.860134104,0.139865896,229,AGN
-32.0224643,-27.5716737,1.9128166,-0.3954289,3.67655558,0.923888966,0.82992441,-0.538831261,-0.539200917,-4.4827323,AGN,bll,3FGL J0014.7+5802,5677.0996,PowerLaw,1RXS J001442.2+580201,0,3FGL J0014.7+5802,0.90213553,0.0978644699,0.84605365,0.15394635,0.82682023,0.17317977,0.885979078,0.114020922,211,AGN
-30.6519148,-27.5650533,2.1145282,0.0424504918,3.62892606,-0.612040553,-0.708852423,-0.58331449,-0.588342847,-6.6486773,AGN,bcu,3FGL J0015.7+5552,3002.9968,PowerLaw,GB6 J0015+5551,0,3FGL J0015.7+5552,0.934479331,0.0655206694,0.89793766,0.10206234,0.872669638,0.127330362,0.910039045,0.0899609554,217,AGN
-25.5007332,-27.7121846,2.6178546,1.22716597,5.0309504,-0.616784239,-0.795090013,-0.908771878,-0.355854503,-61.808758,AGN,fsrq,3FGL J0016.3-0013,449.44128,PowerLaw,S3 0013-00,0,3FGL J0016.3-0013,0.902655029,0.0973449711,0.858731506,0.141268494,0.825260725,0.174739275,0.879355681,0.120644319,230,AGN
-29.8271395,-27.8091679,2.1161962,-0.0533356945,3.62139184,0.0318759109,-0.167553473,-0.69133399,-0.771387465,-68.03635,AGN,bcu,3FGL J0017.2-0643,1905.9727,PowerLaw,PMN J0017-0650,0,3FGL J0017.2-0643,0.904082009,0.0959179912,0.855831618,0.144168382,0.808854458,0.191145542,0.871340623,0.128659377,232,AGN
-27.0753891,-27.3903535,2.50629,0.61752695,5.43845215,-0.651864181,-0.716061772,-0.813044896,-0.500378042,-66.64299,AGN,FSRQ,3FGL J0017.6-0512,861.1856,PowerLaw,PMN J0017-0512,0,3FGL J0017.6-0512,0.899350497,0.100649503,0.848665211,0.151334789,0.825035032,0.174964968,0.878690888,0.121309112,210,AGN
-32.1950904,-27.9788071,1.8645151,-2.43056546,4.030712,0.884908636,-0.839906357,-0.166074473,-0.173117601,-32.53204,AGN,bll,3FGL J0018.4+2947,4720.1187,PowerLaw,RBS 0042,0,3FGL J0018.4+2947,0.902888885,0.0971111153,0.86082799,0.13917201,0.832369052,0.167630948,0.878224775,0.121775225,217,AGN
-29.6022225,-27.6622817,2.0754406,-1.17116701,4.45029615,-0.658769818,-0.658890441,-0.518360336,-0.27289898,-35.163124,AGN,bll,3FGL J0018.9-8152,2187.517,PowerLaw,PMN J0019-8152,0,3FGL J0018.9-8152,0.902931793,0.097068207,0.866070577,0.133929423,0.839231971,0.160768029,0.884767796,0.115232204,202,AGN
-28.756365,-28.0212093,2.3909311,-0.64464422,4.14085123,-0.882274398,-0.48227178,-0.598547156,-0.279748388,-59.82244,AGN,bcu,3FGL J0019.1-5645,1088.913,PowerLaw,PMN J0019-5641,0,3FGL J0019.1-5645,0.862965954,0.137034046,0.822060372,0.177939628,0.800274211,0.199725789,0.832523314,0.167476686,192,AGN
-29.5845041,-27.88706,2.2486298,-0.557360433,4.02142739,0.406755556,-0.863557532,-0.410481412,-0.530666251,-41.877808,AGN,bll,3FGL J0019.4+2021,1529.8136,PowerLaw,PKS 0017+200,0,3FGL J0019.4+2021,0.925860458,0.0741395418,0.881619385,0.118380615,0.859910994,0.140089006,0.903555346,0.0964446536,216,AGN
-28.9257567,-27.8048643,2.0992868,-1.74733161,4.27064698,-0.663635885,-0.479427086,-0.442544053,-0.601381609,-83.22444,AGN,bll,3FGL J0021.6-2553,1520.3076,PowerLaw,CRATES J002132.55-255049.3,0,3FGL J0021.6-2553,0.894101078,0.105898922,0.839500325,0.160499675,0.828775513,0.171224487,0.875487596,0.124512404,200,AGN
-27.010925,-27.9971022,2.6524696,-0.577948637,3.94837056,-0.653451758,-0.775366819,-0.749340352,-0.999916108,-48.299847,AGN,bcu,3FGL J0021.6-6835,532.6547,PowerLaw,PKS 0021-686,256,3FGL J0021.6-6835,0.920592907,0.0794070929,0.864593851,0.135406149,0.837155251,0.162844749,0.886867984,0.113132016,216,AGN
-29.689771,-27.3059324,1.7990181,0.89170234,4.21757054,0.958960662,-0.377814789,-0.258662286,-0.675488885,-79.38736,AGN,bll,3FGL J0022.1-1855,2653.591,PowerLaw,1RXS J002209.2-185333,0,3FGL J0022.1-1855,0.9256936,0.0743063999,0.882148291,0.117851709,0.863031493,0.136968507,0.903496285,0.0965037146,201,AGN
-29.1126105,-27.6803655,1.9874318,0.539554936,4.08447983,0.31534628,-0.404154307,-0.697587316,-0.252967591,-64.82614,AGN,bll,3FGL J0022.1-5141,1760.3436,PowerLaw,1RXS J002159.2-514028,0,3FGL J0022.1-5141,0.890494703,0.109505297,0.837251472,0.162748528,0.815015345,0.184984655,0.871235511,0.128764489,232,AGN
-27.2707295,-27.229757,2.073243,0.898164642,4.5560374,-0.390619162,-0.581622799,-0.512979611,-0.606588703,-56.008762,AGN,bll,3FGL J0022.5+0608,1265.673,PowerLaw,PKS 0019+058,0,3FGL J0022.5+0608,0.898169514,0.101830486,0.851637551,0.148362449,0.827935877,0.172064123,0.869304536,0.130695464,226,AGN
-26.725246,-27.7359434,2.5684931,-1.35564489,4.24438538,-0.748537858,-0.678308109,-0.773361581,-0.679655957,-17.68494,AGN,fsrq,3FGL J0023.5+4454,620.3807,PowerLaw,B3 0020+446,0,3FGL J0023.5+4454,0.905184755,0.0948152445,0.856160427,0.143839573,0.835531388,0.164468612,0.88277937,0.11722063,213,AGN
-28.7230543,-27.7452758,2.2782264,1.01588757,4.31683724,-0.528792,-0.71047057,-0.741809322,-0.658294945,-58.350433,AGN,fsrq,3FGL J0024.4+0350,1194.3387,PowerLaw,GB6 J0024+0349,0,3FGL J0024.4+0350,0.89825329,0.10174671,0.865114861,0.134885139,0.843105401,0.156894599,0.87405163,0.12594837,200,AGN
-28.8529239,-28.0621604,2.450339,-1.04521367,4.04049115,-0.584864002,-0.7991077,-0.484040888,-0.75564025,-70.44581,AGN,bll,3FGL J0026.7-4603,1009.74817,PowerLaw,1RXS J002636.3-460101,1,3FGL J0026.7-4603,0.877973075,0.122026925,0.827510719,0.172489281,0.803046322,0.196953678,0.861470339,0.138529661,226,AGN
-28.3160291,-27.5998318,2.3414557,-0.89772588,3.63061221,-0.696194307,-0.617722011,-0.439170963,-0.962001779,12.313124,AGN,bcu,3FGL J0028.6+7507,1172.9393,PowerLaw,GB6 J0028+7506,0,3FGL J0028.6+7507,0.926748815,0.0732511853,0.878980414,0.121019586,0.854302966,0.145697034,0.90015172,0.0998482796,219,AGN
-27.5777405,-27.7955897,2.4336774,0.680839501,3.75054283,-0.704530255,-0.518921722,-0.95900621,0.035745992,-42.702084,AGN,bcu,3FGL J0028.8+1951,761.7829,PowerLaw,TXS 0025+197,256,3FGL J0028.8+1951,0.909919225,0.0900807752,0.874625576,0.125374424,0.849948781,0.150051219,0.887643173,0.112356827,205,AGN
-28.3124208,-27.7588572,2.284518,-0.487918507,4.31071993,-0.763333389,-0.533356857,-0.500870624,-0.730750413,-46.258186,AGN,bll,3FGL J0029.1-7045,1257.5558,PowerLaw,PKS 0026-710,0,3FGL J0029.1-7045,0.90063405,0.0993659497,0.847828339,0.152171661,0.828947556,0.171052444,0.875331531,0.124668469,220,AGN
-31.7780677,-27.5618344,1.6471963,0.281945223,4.16352433,-0.987808381,0.999951193,-0.366078158,-0.412287328,-78.545784,AGN,bcu,3FGL J0030.2-1646,5034.0356,PowerLaw,1RXS J003019.6-164723,0,3FGL J0030.2-1646,0.930134725,0.0698652752,0.863788657,0.136211343,0.830462836,0.169537164,0.899055094,0.100944906,204,AGN
-24.7129738,-27.7358203,2.5805273,0.410798262,5.13444452,-0.682959962,-0.713184392,-0.799454799,-0.747700388,-74.13968,AGN,fsrq,3FGL J0030.3-4223,415.28687,PowerLaw,PKS 0027-426,0,3FGL J0030.3-4223,0.883799074,0.116200926,0.825044147,0.174955853,0.806605534,0.193394466,0.857944071,0.142055929,214,AGN
-26.5874349,-27.676105,2.3780944,1.1432792,5.86039498,-0.576075182,-0.681310358,-0.696414396,-0.999978231,-64.54405,AGN,bcu,3FGL J0030.7-0209,696.7064,PowerLaw,PKS B0027-024,0,3FGL J0030.7-0209,0.89540236,0.10459764,0.840240393,0.159759607,0.826415245,0.173584755,0.8785323,0.1214677,197,AGN
-32.046529,-27.8475098,1.8239038,0.0584904873,3.49701813,-0.961872399,0.872347007,-0.760217884,0.19281759,-55.11534,AGN,bcu,3FGL J0031.3+0724,4521.002,PowerLaw,NVSS J003119+072456,0,3FGL J0031.3+0724,0.874697955,0.125302045,0.840648451,0.159351549,0.815490369,0.184509631,0.851621954,0.148378046,214,AGN
-30.0282025,-28.0972033,2.1895173,-4.19954636,3.63803559,-0.351261112,-0.689113684,-0.551330558,-0.399522967,-85.441284,AGN,bll,3FGL J0032.3-2852,1646.3562,PowerLaw,PMN J0032-2849,0,3FGL J0032.3-2852,0.908766239,0.0912337608,0.887211541,0.112788459,0.853572173,0.146427827,0.885674158,0.114325842,215,AGN
