Flux_Density,Unc_Energy_Flux100,Spectral_Index,Signif_Curve,ln(Variability_Index),hr12,hr23,hr34,hr45,GLAT,class,CLASS1,Source_Name,SpectrumType,Pivot_Energy,ASSOC1,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
-25.47639486848784,-26.996604993524276,2.732786,-1.360942325754102,3.971194509710279,-0.7246513,-0.8780153,-0.44555563,-0.9656969,0.92570114,OTHER,spp,3FGL J0001.0+6314,PowerLaw,472.15625,,28,0.9857700408501424,0.01422995914985694,0.9647253426290857,0.035274657370913,0.9993996767992777,0.0006003232007213019,0.9197095762661907,0.08029042373380958,0.0,0.002,0.0,0.0
-25.66556409127903,-27.39913902765631,1.7730473,2.3389895687511206,3.621120522711261,-0.08380534,-0.4344012,-0.70631915,-0.94180804,-44.903366,OTHER,glc,3FGL J0023.9-7203,LogParabola,856.4519,47 Tuc,0,0.0032812309778600863,0.9967187690221406,0.003716965934548786,0.9962830340654504,0.0021015389602815305,0.9978984610397195,0.07119024410906448,0.9288097558909363,1.0,1.0,1.0,1.0
-30.737952156679786,-27.21064780696626,2.0867453,-0.13002563929498903,3.4433864223059514,0.8748904,-0.74927413,-0.6897258,-0.16747986,1.3377548,OTHER,snr,3FGL J0025.7+6404,PowerLaw,3518.6775,Tycho,0,0.9895534650281207,0.010446534971879152,0.9178026151561284,0.08219738484387192,0.9710172146351325,0.028982785364867862,0.9333911912932382,0.06660880870676207,0.0,0.003,0.0,0.0
-26.75180818778272,-27.778174350113105,2.5623276,0.6103808184156143,3.677519762467593,-0.553906,-0.58923995,-0.91297513,-0.5906225,-21.544806,OTHER,gal,3FGL J0042.5+4117,PowerLaw,572.78046,M31,0,0.9511334812144737,0.048866518785526517,0.5952002751189808,0.40479972488101945,0.5212834771634642,0.47871652283653526,0.8378263700660936,0.1621736299339064,0.0,0.222,0.364,0.0
-28.041658976556633,-27.71221941429488,2.169111,0.12669502853079476,4.051957954236285,-0.5747277,-0.65921307,-0.48312023,-0.6927539,-87.95155,OTHER,sbg,3FGL J0047.5-2516,PowerLaw,1149.6525,NGC 253,0,0.9995203056291948,0.00047969437080585034,0.993991976651874,0.006008023348125437,0.9772668509015285,0.022733149098471482,0.9885723522893273,0.011427647710673072,0.0,0.0,0.0,0.0
-25.2708008946213,-26.955253915698716,2.22098,0.9177176498961931,3.781899669450822,-0.4339719,-0.6432912,-0.6395211,-0.76817554,-44.41674,OTHER,GAL,3FGL J0059.0-7242e,PowerLaw,665.53204,SMC,4,0.8642525057803514,0.13574749421964927,0.7941795060426751,0.20582049395732407,0.4663281313941112,0.533671868605888,0.7022066677143043,0.2977933322856962,0.0,0.025,0.751,0.001
-26.251442363381432,-27.05557524306933,2.504486,0.8914698847818788,3.750335513709239,-0.5004157,-0.68228036,-0.67271966,-0.99997044,0.3920805,OTHER,spp,3FGL J0128.4+6257,PowerLaw,672.94214,,0,0.7572789093304748,0.24272109066952466,0.022164749847325554,0.9778352501526729,0.2033185083361456,0.7966814916638548,0.4859518974749585,0.5140481025250416,0.015,1.0,1.0,0.565
-30.36021303662356,-26.27639416624453,2.2950974,1.303892074371153,3.780477119453751,-0.49566734,-0.71492845,-0.71594435,-0.999454,0.9424945,OTHER,spp,3FGL J0220.1+6202c,PowerLaw,4001.0137,,48,0.017706238983031197,0.9822937610169686,0.0063973907205358525,0.9936026092794635,0.015570927061210878,0.9844290729387887,0.24406461808029073,0.7559353819197092,1.0,1.0,1.0,1.0
-28.961560816869746,-26.42553216795297,2.475545,0.637101835273835,3.8068450699439933,0.9557523,-0.7311285,-0.847135,-0.5881218,1.6175137,OTHER,spp,3FGL J0224.0+6235,PowerLaw,1949.5594,,16,0.9490809224003793,0.050919077599621304,0.5585760242550598,0.44142397574493986,0.6078624675943686,0.39213753240563054,0.4863980220138831,0.513601977986117,0.0,0.365,0.098,0.585
-21.998440535502567,-26.147503925085527,2.1896782,2.819967656550498,5.84159549763674,-0.4776806,-0.6705284,-0.71204525,-0.85391206,1.0862774,OTHER,HMB,3FGL J0240.5+6113,LogParabola,547.57886,LS I+61 303,0,0.44396959386600077,0.5560304061339993,0.11442123730085559,0.8855787626991435,0.3108581640289597,0.6891418359710393,0.6358637092981978,0.36413629070180237,0.658,0.982,0.964,0.017
