Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Pivot_Energy,Spectrum_Type,ASSOC1,Flags_3FGL,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,Flags_Catalog
3FGL J0001.0+6314,117.293091,0.925701141,-25.0638806,-26.996605,-1.36094233,3.97119451,2.73278594,-0.7246513,-0.8780153,-0.44555563,-0.9656969,OTHER,spp,472.15625,PowerLaw,,28,0.989934359,0.00990621507,0.0100656415,0.00990621507,0.992294487,0.0155870146,0.00770551251,0.0155870146,0.907994297,0.039441654,0.0920057033,0.039441654,0.999912848,7.44279573E-5,8.71516699E-5,7.44279573E-5,0.977441572,0.0303912391,0.0225584284,0.0303912391,0.957166994,0.0839412391,0.0428330063,0.0839412391,0.864317477,0.0582827204,0.135682523,0.0582827204,0.998656338,0.00116413114,0.00134366163,0.00116413114,0
3FGL J0001.2-0748,89.0222015,-67.3242493,-25.5746299,-27.6869849,0.641978973,3.9067735,2.14934826,-0.324667683,-0.599118156,-0.425146785,-0.908887539,AGN,bll,1263.8359,PowerLaw,PMN J0001-0746,0,0.979117449,0.020642337,0.0208825511,0.020642337,0.980018196,0.0620379905,0.019981804,0.0620379905,0.855719605,0.0495325731,0.144280395,0.0495325731,0.938921963,0.0141098207,0.0610780371,0.0141098207,0.872627749,0.108176351,0.127372251,0.108176351,0.862088439,0.172092397,0.137911561,0.172092397,0.805205335,0.0638619486,0.194794665,0.0638619486,0.705782126,0.0816852477,0.294217874,0.0816852477,0
3FGL J0001.4+2120,107.665428,-40.0471573,-25.5434771,-27.8078814,1.48468603,4.8701183,2.79917266,-0.614417901,-0.821568611,-0.999952801,0.103439906,AGN,fsrq,310.68167,LogParabola,TXS 2358+209,0,0.999917838,9.94950109E-5,8.21615324E-5,9.94950109E-5,0.992414278,0.0149863176,0.00758572216,0.0149863176,0.974735772,0.0182905468,0.0252642275,0.0182905468,0.994318979,0.00324084406,0.0056810206,0.00324084406,0.999907354,1.72136311E-4,9.26464653E-5,1.72136311E-4,0.960153827,0.0699606734,0.0398461732,0.0699606734,0.969487221,0.0232317603,0.0305127786,0.0232317603,0.956387336,0.0503432967,0.0436126638,0.0503432967,0
3FGL J0002.2-4152,334.070099,-72.1427231,-26.5263376,-28.0296727,-1.60807574,4.03160097,2.08892083,-0.807390796,-0.738067109,0.067455621,-0.580624315,AGN,bcu,1956.0415,PowerLaw,1RXS J000135.5-415519,0,0.999943645,4.48913914E-5,5.63549187E-5,4.48913914E-5,0.994789231,0.0157425468,0.00521076908,0.0157425468,0.997272189,0.00280871376,0.00272781095,0.00280871376,0.999997252,1.95373453E-6,2.74771984E-6,1.95373453E-6,0.999964258,3.14732662E-5,3.57418013E-5,3.14732662E-5,0.981715194,0.0540349521,0.0182848061,0.0540349521,0.996206727,0.00612081291,0.0037932727,0.00612081291,0.999982396,1.84306905E-5,1.76039125E-5,1.84306905E-5,0
3FGL J0003.2-5246,318.976135,-62.824707,-26.5300252,-27.907395,-0.0954506659,3.8128751,1.89520752,-0.999748774,0.991051089,-0.397129256,-0.454391092,AGN,bcu,3676.2268,PowerLaw,RBS 0006,0,0.999860087,9.91212513E-5,1.39912945E-4,9.91212513E-5,0.994092784,0.0147751151,0.00590721594,0.0147751151,0.993922316,0.00738573245,0.00607768389,0.00738573245,0.998517654,6.78914709E-4,0.00148234627,6.78914709E-4,0.999789832,2.31037433E-4,2.10167736E-4,2.31037433E-4,0.973859348,0.06217831,0.0261406519,0.06217831,0.99342418,0.00894272868,0.00657582018,0.00894272868,0.990014783,0.00567973947,0.00998521689,0.00567973947,0
3FGL J0003.8-1151,84.4318924,-71.0842285,-26.6738943,-27.9731584,0.58193625,3.88139153,2.02352142,0.796120394,-0.389624007,-0.664556136,-0.449034661,AGN,bcu,2315.8784,PowerLaw,PMN J0004-1148,0,0.999756189,2.34030117E-4,2.43810728E-4,2.34030117E-4,0.992608025,0.0164967846,0.00739197547,0.0164967846,0.988115527,0.00883035442,0.0118844734,0.00883035442,0.991945999,0.00255352907,0.00805400147,0.00255352907,0.999147025,8.18976117E-4,8.52975321E-4,8.18976117E-4,0.962027418,0.0851847456,0.0379725819,0.0851847456,0.962619377,0.0280969878,0.0373806233,0.0280969878,0.952155488,0.0256532822,0.0478445116,0.0256532822,0
3FGL J0004.7-4740,323.815582,-67.5186462,-25.4133022,-27.8457427,0.607582196,4.72679167,2.40351629,-0.532141432,-0.698347124,-0.635800504,-0.999992715,AGN,fsrq,722.59973,PowerLaw,PKS 0002-478,0,0.995128949,0.00837053147,0.0048710508,0.00837053147,0.993337193,0.0146112233,0.00666280712,0.0146112233,0.938789594,0.0359010075,0.061210406,0.0359010075,0.987011255,0.00401139174,0.0129887445,0.00401139174,0.998449137,0.00343878547,0.00155086339,0.00343878547,0.963373981,0.0716871621,0.036626019,0.0716871621,0.936322547,0.0364514781,0.0636774529,0.0364514781,0.917257592,0.0369543257,0.0827424076,0.0369543257,0
3FGL J0006.4+3825,113.331886,-23.6133118,-25.2907524,-27.598428,0.823317278,4.38779126,2.61712933,-0.727468421,-0.714511877,-0.884553713,-0.639908862,AGN,fsrq,496.52658,PowerLaw,S4 0003+38,0,0.999882201,2.47990052E-4,1.17799208E-4,2.47990052E-4,0.988542671,0.0182679007,0.0114573288,0.0182679007,0.990734239,0.00962892335,0.00926576062,0.00962892335,0.974067887,0.00612638201,0.0259321129,0.00612638201,0.999436557,6.38681683E-4,5.63442903E-4,6.38681683E-4,0.926649322,0.0771496408,0.0733506781,0.0771496408,0.982481543,0.0150437706,0.0175184568,0.0150437706,0.783780108,0.0733871058,0.216219892,0.0733871058,0
3FGL J0007.0+7302,119.662102,10.460557,-21.5776667,-26.2817652,3.12018788,3.83229996,1.5566728,-0.198218614,-0.39802603,-0.517464686,-0.827138516,PSR,PSR,913.7095,PLSuperExpCutoff,LAT PSR J0007+7303,0,0.00456734237,0.0263462804,0.995432658,0.0263462804,0.0489569044,0.131229815,0.951043096,0.131229815,0.115694619,0.0569740783,0.884305381,0.0569740783,2.28090269E-4,1.42825688E-4,0.99977191,1.42825688E-4,0.00745347208,0.0491078307,0.992546528,0.0491078307,0.0197884798,0.0615286448,0.98021152,0.0615286448,0.0240804534,0.0241330603,0.975919547,0.0241330603,4.26698922E-5,4.52296476E-5,0.99995733,4.52296476E-5,0
3FGL J0008.0+4713,115.33255,-15.0026178,-24.5445205,-27.237143,0.921868068,3.60314383,2.02099657,-0.128631386,-0.519058466,-0.418792941,-0.633187401,AGN,bll,1875.706,PowerLaw,MG4 J000800+4712,0,0.980102428,0.0244952586,0.0198975717,0.0244952586,0.698322489,0.208764706,0.301677511,0.208764706,0.969818526,0.0184922366,0.0301814735,0.0184922366,0.729047349,0.0475571515,0.270952651,0.0475571515,0.896894175,0.0942184482,0.103105825,0.0942184482,0.253402166,0.21144612,0.746597834,0.21144612,0.908533157,0.0513254167,0.0914668429,0.0513254167,0.253043512,0.0617560793,0.746956488,0.0617560793,0
