Source_Name,AGN_BDT_SMOTE,AGN_BDT_STD_SMOTE,AGN_NN_SMOTE,AGN_NN_STD_SMOTE,AGN_RF_SMOTE,AGN_RF_STD_SMOTE,AGN_LR_SMOTE,AGN_LR_STD_SMOTE,Source_Name_4FGL,AGN_BDT_O,AGN_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,diffBDT,diffNN,diffRF,diffLR
4FGL J0001.2+4741,0.9788989643380027,0.016072090134075297,0.9692857495705021,0.04497070374770927,0.8958281765031335,0.025739521878736276,0.964224954160967,0.012877588582405479,4FGL J0001.2+4741,0.991334047,0.00648928702,0.98798901,0.0186625868,0.963764044,0.017079453,0.983019332,0.00503339845,0.7737066279657708,0.41589877121837554,2.6393601177568553,1.4594640695938688
4FGL J0001.2-0747,0.9938740091452141,0.0034257270077572826,0.9775733896654517,0.02841455879033368,0.948211672944171,0.015037494966682345,0.9621731592753365,0.013199641417508826,4FGL J0001.2-0747,0.996865973,0.00176903489,0.990261384,0.0109727487,0.987370393,0.00544535808,0.976024408,0.00608055807,0.8733807008004111,0.4465314569256861,2.604072030786415,1.0493655309674035
4FGL J0001.5+2113,0.9929588342407544,0.007438015274851598,0.9677069884580987,0.03929563709732704,0.8472093531341685,0.0636828041721635,0.9975415261882372,0.0018832807829929912,4FGL J0001.5+2113,0.981687298,0.0263089501,0.987100768,0.0126954896,0.899818364,0.0538383818,0.998039341,0.00114854255,-0.4284297244060069,0.4935351854422678,0.8261101493521794,0.26433382438685543
4FGL J0001.6-4156,0.9745544303823023,0.013499694157013546,0.9709327638376904,0.02950639765890815,0.8371644980243043,0.048083261170418994,0.9053424275604248,0.025643096421805175,4FGL J0001.6-4156,0.98778889,0.0601222949,0.988251183,0.0116285709,0.969461822,0.014030969,0.951741761,0.0106876304,0.2201256562097359,0.5869377672770927,2.751421612332017,1.809427873933362
4FGL J0002.1-6728,0.9666151904183911,0.01917667884075604,0.9355272579078916,0.05459661899667553,0.8704373250683839,0.03415969712419594,0.8877540009494373,0.027417862888062614,4FGL J0002.1-6728,0.993995635,0.00259170638,0.978645939,0.0210512666,0.974806031,0.00862683375,0.942139783,0.0123934462,1.4277990891424586,0.7897683388550841,3.0553170759142882,1.9835893947168848
4FGL J0002.3-0815,0.9989364355682163,9.557570423536051E-4,0.9593801769487255,0.0441748317503991,0.8741246360206166,0.030482954407040134,0.9057605965186409,0.03669552965003082,4FGL J0002.3-0815,0.990983167,0.00695818247,0.982304381,0.0185003414,0.952508954,0.0204909835,0.943932348,0.0179156405,-1.143009485955076,0.5189426454593656,2.5714147301050416,1.0402289283029067
4FGL J0002.4-5156,0.9896514370142699,0.010337232108135442,0.9666448685440717,0.041840764448166604,0.8289241147477137,0.049689043549252784,0.9532235355532188,0.03205150168540744,4FGL J0002.4-5156,0.989701806,0.0139466616,0.985119047,0.0188910847,0.910677439,0.0425885627,0.971076656,0.0134124468,0.0036115442659106303,0.4415353949571004,1.6452988106170885,0.5570135409570989
4FGL J0003.1-5248,0.9440501783281676,0.029507752000022557,0.946694869767927,0.053920172610100174,0.8233829418424615,0.04221556482179523,0.7897477316922106,0.05114901759410702,4FGL J0003.1-5248,0.979514611,0.0104705911,0.97890891,0.0229513663,0.962283202,0.0147730004,0.898479339,0.0237996876,1.2018683318134604,0.597439486424024,3.290261796659094,2.1257809518577457
4FGL J0003.2+2207,0.9018959007165067,0.07055221757687656,0.6847531843916076,0.2453793720412592,0.6947749349100932,0.05538448621633383,0.42526943418593754,0.20434604928085937,4FGL J0003.2+2207,0.87677695,0.0966576891,0.857558724,0.161631234,0.840521574,0.0578742621,0.616552294,0.151696039,-0.25987534929082756,0.7042382502280432,2.5183325679051176,0.9360731978290294
4FGL J0003.3-1928,0.9690617718233375,0.019164207799003418,0.9586920976941848,0.04699600453488745,0.7226565683575358,0.07075595784445057,0.9306221942134634,0.02316231248884379,4FGL J0003.3-1928,0.97383426,0.0169883689,0.985707219,0.01519241,0.926391736,0.0365527882,0.969153535,0.00750122432,0.2490313310477987,0.5748386819939242,2.8794065383208336,1.6635360050986012
