Source_Name_4FGL,GLAT,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,GLON,Flags,AGN_BDT_O,AGN_BDT_O_STD,PSR_BDT_O,PSR_BDT_O_STD,AGN_NN_O,AGN_NN_O_STD,PSR_NN_O,PSR_NN_O_STD,AGN_RF_O,AGN_RF_O_STD,PSR_RF_O,PSR_RF_O_STD,AGN_LR_O,AGN_LR_O_STD,PSR_LR_O,PSR_LR_O_STD,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,Category_Prob
4FGL J0001.2+4741,-14.338059,-22.671496,2.1983633,0.22415973,0.02462352,0.20407747,-0.9792905,0.9973279,0.000818,-0.6361753,-0.6589638,-0.7605767,-0.124010414,2.85004914,7.76890642,AGN,bcu,PowerLaw,,B3 2358+474,114.250198,0,0.999761834,0.000209,0.000238,0.000209,0.995117915,0.008008937,0.004882085,0.008008937,0.991046695,0.011171416,0.008953305,0.011171416,0.997331828,0.001646076,0.002668172,0.001646076,0.999960627,0.000111,3.94e-05,0.000111,0.997087115,0.002144074,0.002912885,0.002144074,0.995371086,0.007712098,0.004628914,0.007712098,0.99959876,0.000146,0.000401,0.000146,AGN
4FGL J0001.2-0747,-67.30501,-20.8979273,2.1483262,0.06558173,0.04727811,1.417618,-0.10349428,-0.44158757,0.000833,-0.6502833,-0.43597096,-0.78199154,-0.5599956,2.82548912,7.14862707,AGN,bll,PowerLaw,3FGL J0001.2-0748,PMN J0001-0746,89.0327225,0,0.999516654,0.000411,0.000483,0.000411,0.997783163,0.005003129,0.002216837,0.005003129,0.996487115,0.007868094,0.003512885,0.007868094,0.990101674,0.004256379,0.009898326,0.004256379,0.999904101,7.02e-05,9.59e-05,7.02e-05,0.99578805,0.003035128,0.00421195,0.003035128,0.998432607,0.004127291,0.001567393,0.004127291,0.997978017,0.00063,0.002021983,0.00063,AGN
4FGL J0001.5+2113,-40.167652,-20.7558644,2.6801705,0.04493158,0.14800178,5.0912256,-0.24777053,-0.6425761,0.001910791,-0.78641707,-0.87753016,-0.9997511,-0.89316,6.82510973,5.93064112,AGN,fsrq,LogParabola,3FGL J0001.4+2120,TXS 2358+209,107.649353,0,0.997242844,0.002707695,0.002757156,0.002707695,0.997850003,0.004269649,0.002149997,0.004269649,0.967750278,0.026586369,0.032249722,0.026586369,0.999235828,0.000428,0.000764,0.000428,0.996382646,0.003278595,0.003617354,0.003278595,0.995444382,0.003233168,0.004555618,0.003233168,0.971125582,0.020117457,0.028874418,0.020117457,0.999909773,5.23e-05,9.02e-05,5.23e-05,AGN
4FGL J0001.6-4156,-72.02855,-21.9930466,1.8335938,0.13819773,0.025063045,0.40303585,-0.5563565,-0.81565475,0.000362,-0.31606382,-0.27268785,-0.55835617,-0.14999126,2.62107773,8.15360958,AGN,bcu,PowerLaw,3FGL J0002.2-4152,2MASS J00013275-4155252,334.226349,0,0.999950319,3.65e-05,4.97e-05,3.65e-05,0.999089609,0.001574676,0.00091,0.001574676,0.99977452,0.000514,0.000225,0.000514,0.999924267,4.32e-05,7.57e-05,4.32e-05,0.999967846,2.14e-05,3.22e-05,2.14e-05,0.99711359,0.00241324,0.00288641,0.00241324,0.999726681,0.000213,0.000273,0.000213,0.999933217,2.75e-05,6.68e-05,2.75e-05,AGN
4FGL J0002.1-6728,-48.963467,-22.1989923,1.8019888,0.14996767,0.1313003,2.0598197,-0.92863077,-0.5799706,0.000853,-0.12173295,-0.43336454,-0.26409936,-0.6256855,2.30441628,8.38499508,AGN,bcu,PowerLaw,3FGL J0002.0-6722,SUMSS J000215-672653,310.08493,0,0.999838632,0.000207,0.000161,0.000207,0.998834096,0.002208745,0.001165904,0.002208745,0.997937644,0.003975215,0.002062356,0.003975215,0.999791718,0.000136,0.000208,0.000136,0.999938579,4.43e-05,6.14e-05,4.43e-05,0.996579667,0.003752332,0.003420333,0.003752332,0.999206776,0.001778808,0.000793,0.001778808,0.999819134,7.45e-05,0.000181,7.45e-05,AGN
4FGL J0002.8+6217,-0.051036116,-19.7798126,2.4731266,0.07613683,0.42859668,9.461157,0.99266785,0.001857055,0.00188578,-0.56998783,-0.7318594,-0.98968166,-0.9980955,1.54794853,7.19036182,PSR,PSR,PLSuperExpCutoff,3FGL J0002.6+6218,PSR J0002+6216,117.320412,0,0.003527383,0.056367534,0.996472617,0.056367534,0.000292,0.000498,0.99970767,0.000498,0.0078329,0.002134227,0.9921671,0.002134227,5.72e-05,3.49e-05,0.999942777,3.49e-05,0.000297,0.000529,0.999703362,0.000529,0.05254879,0.034250105,0.94745121,0.034250105,0.013486987,0.012081192,0.986513013,0.012081192,0.004486567,0.002163489,0.995513433,0.002163489,PSR
4FGL J0003.1-5248,-62.788944,-21.9245588,1.845431,0.12932381,0.07142608,1.2588248,0.98467094,-0.7529764,0.00053,-0.41107345,-0.37620062,-0.43967292,-0.4608528,1.71700755,8.27412394,AGN,bcu,PowerLaw,3FGL J0003.2-5246,RBS 0006,318.989899,0,0.999821795,0.000105,0.000178,0.000105,0.998216982,0.002743008,0.001783018,0.002743008,0.99965516,0.000836,0.000345,0.000836,0.998033694,0.000866,0.001966306,0.000866,0.999908292,4.35e-05,9.17e-05,4.35e-05,0.995125326,0.003667965,0.004874674,0.003667965,0.999142375,0.00229893,0.000858,0.00229893,0.998788987,0.000383,0.001211013,0.000383,AGN
4FGL J0003.2+2207,-39.380795,-22.6531538,2.275706,0.5404578,0.99964654,1.7167195,-0.38511583,-0.81497735,0.00241974,-0.94270766,0.5786159,-0.900051,-0.9999937,1.55500653,7.75749715,AGN,bll,PowerLaw,,2MASX J00032450+2204559,108.438545,0,0.959212318,0.040273508,0.040787682,0.040273508,0.941123538,0.105841701,0.058876462,0.105841701,0.940355211,0.033203534,0.059644789,0.033203534,0.584930933,0.207339364,0.415069067,0.207339364,0.988973006,0.011041694,0.011026994,0.011041694,0.983438026,0.015381271,0.016561974,0.015381271,0.952452438,0.025204159,0.047547562,0.025204159,0.936007974,0.031708196,0.063992026,0.031708196,AGN
4FGL J0003.3-1928,-76.580986,-21.6641473,2.2405226,0.16471803,0.3160174,3.3564024,0.9891295,0.009595376,0.006443805,-0.54012406,-0.62971777,-0.8879328,-0.99895203,3.74103098,6.9700802,AGN,bcu,LogParabola,,PKS 0000-197,65.1977844,0,0.989777913,0.012920064,0.010222087,0.012920064,0.981545936,0.04576519,0.018454064,0.04576519,0.762830097,0.073921314,0.237169903,0.073921314,0.980976471,0.009311589,0.019023529,0.009311589,0.996484121,0.003464882,0.003515879,0.003464882,0.988699435,0.010085028,0.011300565,0.010085028,0.943833349,0.024615973,0.056166651,0.024615973,0.996484028,0.001342644,0.003515972,0.001342644,AGN
4FGL J0003.3-5905,-56.965885,-22.7540262,2.3632457,0.21061169,0.025621843,0.2801407,0.8072822,-0.820896,0.003027135,-0.5377211,-0.48551217,-0.9999003,-0.38655543,1.23574757,7.12353297,AGN,bcu,PowerLaw,,PMN J0003-5905,314.239044,4,0.996427189,0.002528912,0.003572811,0.002528912,0.993394968,0.00742763,0.006605032,0.00742763,0.988305494,0.010916721,0.011694506,0.010916721,0.988840024,0.005677059,0.011159976,0.005677059,0.998343062,0.001159803,0.001656938,0.001159803,0.993789849,0.004077157,0.006210151,0.004077157,0.990453272,0.0076622,0.009546728,0.0076622,0.997078667,0.001034113,0.002921333,0.001034113,AGN
