Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,CLASS2,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
4FGL J0000.3-7355,307.70898,-42.729538,-22.483841131359625,2.119125,0.25751528,0.08968772,0.6184386,-0.9960373,0.93898755,0.0016885875,-0.58789384,-0.46454003,-0.6292898,-0.9996481,2.159249104310168,7.7957216775443445,PowerLaw,0.14627089,0.39123338,,,,0.0,0.0,0,0.9995836993653351,0.00041630063466537926,0.986230033634065,0.013769966365935818,0.9982126548571347,0.0017873451428638938,0.9949193665322467,0.00508063346775398,0.0,0.0,0.0,0.0
4FGL J0003.3+2511,109.38164,-36.411484,-22.355321090591,2.209443,0.31500685,0.41627398,2.120038,0.77953553,-0.5709804,0.009460228,-0.34649104,-0.693337,-0.68017524,-0.9834204,0.9459222329364977,7.385374399125749,PowerLaw,0.32086015,1.0453527,,,,0.0,0.0,0,0.9993068144989905,0.0006931855010098541,0.8169936491489342,0.18300635085106498,0.7643666531512779,0.23563334684872228,0.9536013146827543,0.0463986853172459,0.0,0.03,0.0,0.0
4FGL J0003.6+3059,111.004486,-30.771994,-21.536510484875254,2.2234128,0.2737722,0.6783473,4.395897,0.946137,-0.30623183,0.007885308,-0.18627536,-0.7547651,-0.85793644,-0.99782455,1.6119296175686424,7.220573670450081,LogParabola,0.25180805,0.8389943,3FGL J0003.4+3100,,,0.0,0.0,0,0.56115530612904,0.4388446938709595,0.10624281795732372,0.8937571820426765,0.1707092863549682,0.8292907136450325,0.22917434345420054,0.7708256565458004,0.382,0.989,1.0,1.0
4FGL J0004.0+5715,116.52632,-5.0228662,-21.69496100500525,2.4375134,0.23494162,0.27710062,2.2947636,0.99195033,0.2330916,0.0046581076,-0.6546432,-0.5928602,-0.9882191,-0.9968712,2.415434339865422,7.228797729201412,PowerLaw,0.17424358,0.5546416,3FGL J0003.5+5721,,,0.0,0.0,0,0.9135731715895538,0.0864268284104458,0.7486136288692868,0.2513863711307127,0.4746112118589863,0.5253887881410139,0.6207375109161463,0.3792624890838539,0.0,0.113,0.718,0.034
4FGL J0004.4-4001,336.9915,-73.84534,-22.55135493570753,2.4249508,0.14729057,-0.027007917,0.3422165,-0.07757718,-0.781518,0.0010227567,-0.56201136,-0.65176815,-0.7525004,-0.39933,2.9187022183482143,7.125287918530437,PowerLaw,0.068658195,0.21702,,,,0.0,0.0,4,0.9997871287309222,0.00021287126907644095,0.997886140030668,0.002113859969332822,0.9998202092602483,0.00017979073975165114,0.997012888819807,0.0029871111801941046,0.0,0.0,0.0,0.0
4FGL J0005.6+6746c,118.60844,5.282127,-21.6309456537906,2.6314557,0.2878915,0.32071975,2.689085,0.9852871,0.9764428,0.006553203,-0.7463456,-0.8327146,-0.84040207,-0.9997997,1.8049843705876478,7.123345414944714,PowerLaw,0.18199188,0.54935044,,,,0.0,0.0,56,0.7598521893266859,0.24014781067331553,0.21942698342158323,0.7805730165784157,0.08625847130252233,0.9137415286974789,0.5243982136993866,0.4756017863006133,0.002,0.9,1.0,0.34
4FGL J0006.6+4618,114.92035,-15.869719,-22.31293827876488,2.521416,0.12419312,-0.050101988,0.8819638,0.743678,-0.8633664,0.0012056957,-0.7528888,-0.3601912,-0.7494455,-0.9999925,2.432023270474068,7.102681232238237,PowerLaw,0.048874963,0.15938121,3FGL J0006.6+4618,,,0.0,0.0,0,0.9994192125803842,0.0005807874196158313,0.9967533971808944,0.0032466028191057384,0.9867791586684661,0.013220841331534712,0.996610230756008,0.003389769243992559,0.0,0.0,0.0,0.0
4FGL J0008.4+6926,119.14811,6.885729,-21.85704524533681,2.3719156,0.22492553,0.10302104,1.0564419,0.9988942,0.99967754,0.0021455833,-0.61695856,-0.7522733,-0.28375107,-0.9999608,2.3818027522036784,8.022136580655049,PowerLaw,0.11486513,0.4245506,,,,0.0,0.0,0,0.9988532109410595,0.0011467890589400235,0.9784771990139879,0.02152280098601164,0.9467877411977006,0.05321225880229981,0.9707717065399171,0.02922829346008347,0.0,0.0,0.0,0.0
4FGL J0008.9+2509,110.91511,-36.72459,-22.769821532915714,2.8815272,0.213211,0.20584151,1.475534,-0.59508824,-0.50279725,0.012305561,-0.8196711,-0.98260194,-0.87082124,-0.99695784,2.3534583630035915,5.912856661667867,PowerLaw,0.16841836,0.5522985,,,,0.0,0.0,0,0.9998160959220578,0.00018390407794311272,0.983561761986497,0.016438238013502953,0.9796893225678486,0.020310677432151515,0.9531044375890703,0.04689556241092802,0.0,0.0,0.0,0.0
4FGL J0009.1-5012,319.3951,-65.54536,-22.477900703638415,2.4078472,0.20013253,0.15148015,1.375943,0.97284263,-0.55746925,0.0043052034,-0.72268534,-0.58767265,-0.96198916,-0.99504125,2.6593732412030335,6.967303745480511,PowerLaw,0.13365895,0.4234309,,,,0.0,0.0,0,0.9987812622262888,0.001218737773710894,0.9940614308988371,0.005938569101162941,0.9947024240779478,0.005297575922052974,0.9754408305618417,0.02455916943815836,0.0,0.0,0.0,0.0
4FGL J0009.2+6847,119.10994,6.235327,-21.006518903532992,2.6165042,0.18635528,0.44023114,4.4789386,-0.46070874,-0.3841832,0.007880902,-0.71955353,-0.86081463,-0.9272294,-0.9983699,1.4900501056673268,7.061216435428492,LogParabola,0.17097901,0.58146274,3FGL J0008.5+6853,,,0.0,0.0,0,0.15190724997786087,0.8480927500221392,0.008531883459301283,0.9914681165406984,0.0096754508458902,0.9903245491541107,0.14212480003201314,0.8578751999679866,0.997,1.0,1.0,1.0
4FGL J0009.2+1745,108.90927,-43.96513,-22.677626051553574,2.5332298,0.28011072,0.24630912,1.7144711,-0.71931475,-0.6300978,0.0066710543,-0.58815855,-0.8256248,-0.99990636,0.6616946,2.588713472670378,6.747864539823314,PowerLaw,0.19021377,0.5856498,,agn,WISE J000848.06+175048.8,0.31,0.0,0,0.9994013058176168,0.0005986941823836882,0.9940662083329603,0.005933791667040332,0.9884311925869392,0.011568807413061682,0.9763850963438265,0.023614903656172588,0.0,0.0,0.0,0.0
