GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
307.70898,-42.729538,-22.674803289616904,2.194066,0.18717964,-0.058960535,0.42251143,-0.997849,0.89577097,0.0015352876,-0.60281223,-0.52624077,-0.6204299,-0.99942964,2.640693205126705,7.695119860663033,,4FGL J0000.3-7355,PowerLaw,0.085666224,0.3714021,,,0.0,0.0,0,0.9998469396597616,0.00015306034021577377,0.998292353113623,0.0017076468863774987,0.9995676025043417,0.0004323974956581355,0.9979164485378399,0.0020835514621609344,0.0,0.0,0.0,0.0
101.65648,-53.029457,-22.47750954562722,2.3933158,0.38618642,0.4827665,2.5362675,0.98903227,-0.057248823,0.0057355133,-0.5050396,-0.7062645,-0.9999864,0.39188698,2.874533379239511,6.932861172014039,,4FGL J0000.5+0743,PowerLaw,0.26493418,0.60500515,,,0.0,0.0,0,0.9993603498259062,0.0006396501740939442,0.9930900491894915,0.006909950810509162,0.9928600985138805,0.0071399014861186225,0.981502037610176,0.018497962389825068,0.0,0.0,0.0,0.0
109.38164,-36.411484,-22.327734317486186,2.322378,0.25379533,0.3215461,2.257501,0.9930084,-0.51994723,0.006072323,-0.52332675,-0.7363795,-0.9987986,-0.9933853,0.9946115148089241,7.151102788813083,,4FGL J0003.3+2511,PowerLaw,0.20529069,0.63528544,,,0.0,0.0,0,0.9945228582809008,0.005477141719108385,0.8343845337458615,0.165615466254139,0.7720384444372181,0.22796155556278194,0.9619245429220764,0.03807545707792304,0.0,0.006,0.0,0.0
111.004486,-30.771994,-21.540533970395806,2.198683,0.22232746,0.76952976,4.9781256,-0.81660074,-0.4883601,0.010437739,-0.047854107,-0.7507247,-0.8001265,-1.0,1.8189670142839716,7.349621230710069,,4FGL J0003.6+3059,LogParabola,0.2417567,0.5353294,3FGL J0003.4+3100,,0.0,0.0,0,0.8576387158292725,0.14236128417070706,0.5223533067175719,0.4776466932824283,0.6651845145316743,0.3348154854683256,0.6586172346827609,0.3413827653172374,0.0,0.443,0.0,0.002
116.52632,-5.0228662,-21.75143606470999,2.4234326,0.19627067,0.21672615,2.326301,-0.107881784,0.97506714,0.002997306,-0.7008091,-0.5856442,-0.83654135,-0.999656,2.3457603803473592,7.174689087163998,,4FGL J0004.0+5715,PowerLaw,0.12877293,0.3648133,3FGL J0003.5+5721,,0.0,0.0,0,0.9829447427349287,0.017055257265093826,0.9634481019627704,0.03655189803723044,0.9459967361658903,0.054003263834110644,0.9723946290776323,0.027605370922367263,0.0,0.0,0.0,0.0
336.9915,-73.84534,-22.15177340988071,2.1451225,0.1340621,0.07936162,1.0656834,-0.38364682,-0.5637575,0.0010308938,-0.48629096,-0.46952993,-0.79586095,-0.047917493,3.545133498587175,7.575859639386199,,4FGL J0004.4-4001,PowerLaw,0.08198707,0.20073663,,,0.0,0.0,0,0.9996850943249525,0.0003149056750296797,0.9986638165521173,0.001336183447882513,0.9999294431969405,7.055680306111105e-05,0.9976278852259521,0.0023721147740477177,0.0,0.0,0.0,0.0
118.60844,5.282127,-21.66957252404061,2.619722,0.24218635,0.24600372,2.6173093,-0.6132371,0.93979615,0.0057397927,-0.71999305,-0.7784815,-0.863141,-0.99990046,2.368906586191837,7.167432089323753,,4FGL J0005.6+6746c,PowerLaw,0.1464791,0.5484323,,,0.0,0.0,56,0.9883969395799277,0.011603060420096366,0.9052502916350097,0.09474970836499014,0.8791542296857108,0.12084577031428885,0.960658159083806,0.039341840916193645,0.0,0.0,0.0,0.0
114.92035,-15.869719,-22.73321512251922,2.067589,0.4580926,0.57534486,2.3926308,-0.011914012,-0.99921906,0.0046647983,0.91955614,-0.27789238,-0.56709397,-0.999892,2.2812373426097556,8.228710932233763,,4FGL J0006.6+4618,PowerLaw,0.374682,1.0117233,3FGL J0006.6+4618,,0.0,0.0,0,0.9997070014125943,0.00029299858741798707,0.995841859944622,0.0041581400553773375,0.9893950092544143,0.010604990745586147,0.9882263382738156,0.011773661726183956,0.0,0.0,0.0,0.0
119.14811,6.885729,-21.899176557260425,2.278677,0.20341907,0.09394212,1.0881668,-0.93205386,0.9998599,0.0017610596,-0.6641403,-0.686155,-0.41157237,-0.9978722,2.3301806586675986,8.01319302115589,,4FGL J0008.4+6926,PowerLaw,0.10024288,0.37532642,,,0.0,0.0,0,0.9982188707425622,0.0017811292574357348,0.9950545411551646,0.004945458844835205,0.98521016259944,0.014789837400560302,0.9886098988387749,0.011390101161224683,0.0,0.0,0.0,0.0
110.91511,-36.72459,-22.9890361857337,2.8734019,0.24850172,0.19087088,1.3017763,0.9768444,-0.4749888,0.010654308,-0.8208391,-0.9215696,-0.9998313,-0.9844427,2.6106904824272448,6.024348518724643,,4FGL J0008.9+2509,PowerLaw,0.17424163,0.55716914,,,0.0,0.0,0,0.9984322280611181,0.001567771938890889,0.993775398310915,0.006224601689086273,0.9953802274654516,0.004619772534548503,0.9876471859765554,0.012352814023444783,0.0,0.0,0.0,0.0
319.3951,-65.54536,-22.334973824051417,2.6022162,0.1045461,-0.016354477,0.28924423,0.9999299,-0.37439325,0.0015780475,-0.75760627,-0.6550698,-0.82338476,-0.9999412,3.379553261858949,6.531538560864949,,4FGL J0009.1-5012,PowerLaw,0.05362257,0.17146917,,,0.0,0.0,2,0.9997647100352638,0.00023528996474253696,0.9983289815180887,0.0016710184819100663,0.999817169331149,0.00018283066885177774,0.9942045313656529,0.0057954686343462975,0.0,0.0,0.0,0.0
119.10994,6.235327,-21.100905104689495,2.6082954,0.19642895,0.526011,5.1032934,-0.4559371,-0.4866686,0.008751649,-0.7085404,-0.89524436,-0.99994725,-0.99882,1.8857447414267587,6.98420470778551,,4FGL J0009.2+6847,LogParabola,0.19096941,0.605247,3FGL J0008.5+6853,,0.0,0.0,0,0.8244141387658603,0.17558586123413922,0.2254086852551413,0.7745913147448584,0.29204682033296564,0.7079531796670343,0.7171336525555316,0.282866347444468,0.0,0.976,1.0,0.0
108.90927,-43.96513,-22.567626023287808,2.495962,0.3052743,0.3591845,2.4615598,0.69736284,-0.7029846,0.005799833,-0.54691327,-0.85579145,-0.9997177,-0.89260113,2.5075475655912682,6.760753451774023,,4FGL J0009.2+1745,PowerLaw,0.20925014,0.52407104,,,0.31,0.0,0,0.9989056927150782,0.0010943072849365597,0.9875020724209457,0.012497927579053039,0.9844851776138819,0.015514822386118269,0.9862780530980357,0.013721946901965385,0.0,0.0,0.0,0.0
83.705765,-73.91203,-22.216025768516776,2.4657612,0.11727818,0.11756131,1.5849361,0.9998706,-0.34324774,0.0019675337,-0.8094941,-0.7947528,-0.3452183,-1.0,2.5243615502608803,6.645426283892674,,4FGL J0009.7-1418,PowerLaw,0.08407623,0.18476738,3FGL J0010.5-1425,,0.0,0.0,0,0.9994383598077821,0.0005616401922017941,0.9964865836102443,0.0035134163897570176,0.9980922867827876,0.0019077132172111173,0.9931783929433231,0.006821607056677043,0.0,0.0,0.0,0.0
46.329575,-80.37431,-22.99274425409488,2.0859656,0.36592653,0.16561562,0.9225691,0.9936864,-0.7304911,0.0031372525,-0.68142575,-0.124819696,-0.7512936,-0.99994785,2.312831716581849,7.816189831735942,,4FGL J0010.2-2431,PowerLaw,0.22213733,0.6460013,,,0.0,0.0,0,0.9995259934467822,0.00047400655323492875,0.9967508032690194,0.003249196730980509,0.9980510668712177,0.001948933128783525,0.9940795650585168,0.0059204349414834455,0.0,0.0,0.0,0.0
320.38864,-69.86521,-23.030687205892708,2.7844908,0.1496063,0.019687874,0.2401689,0.996615,-0.83115613,0.0034535609,-0.7683185,-0.73014414,-0.9998222,-0.7415703,1.9216569317024284,6.184117240952092,,4FGL J0017.1-4605,PowerLaw,0.086792774,0.25288075,,,0.0,0.0,16,0.9993357605846148,0.0006642394153599816,0.9928929650484261,0.0071070349515741215,0.9988376501504593,0.001162349849542074,0.9863460500984482,0.013653949901552276,0.0,0.0,0.0,0.0
309.86963,-57.381134,-22.172636109339347,2.4455292,0.12934808,0.03234201,0.5456326,0.9996536,-0.79322946,0.0016615334,-0.66681516,-0.6648398,-0.66460323,-0.99973434,2.7926833412159664,7.2035737361008225,,4FGL J0022.0-5921,PowerLaw,0.06274625,0.22251946,,,0.0,0.0,0,0.9998979043474496,0.00010209565254424113,0.9978038316786519,0.002196168321348136,0.9991541723286547,0.0008458276713452967,0.9978448215768083,0.0021551784231914088,0.0,0.0,0.0,0.0
321.8499,-73.93347,-22.921912715273315,2.051701,0.16861032,-0.029386755,0.40885162,0.87558043,-0.8147525,3.6401808E-4,-0.22646931,-0.61539286,-0.99989355,0.99966276,2.998082210288587,7.97078712466631,,4FGL J0023.6-4209,PowerLaw,0.06329365,0.21587077,,,0.72,0.0,256,0.9991929653778033,0.0008070346221865099,0.9983251668494243,0.001674833150576481,0.9999043381899456,9.566181005473628e-05,0.9902759334119547,0.009724066588044322,0.0,0.0,0.0,0.0
114.974655,-38.41322,-22.28246168734412,2.1399548,0.1335543,-0.004189503,0.06582008,-0.859533,0.7441788,9.865402E-4,-0.813438,-0.1373151,-0.48889515,-1.0,2.9173543210729225,7.717272408372501,,4FGL J0024.1+2402,PowerLaw,0.05752357,0.24457437,,,0.0,0.0,0,0.9998245879109156,0.0001754120890749008,0.9985476819953711,0.001452318004629325,0.9996855242328601,0.00031447576713848987,0.9975393487669364,0.0024606512330628224,0.0,0.0,0.0,0.0
314.39056,-67.90782,-22.424380811955082,2.1414979,0.24364264,0.26861224,1.8691654,-0.5982862,-0.7469175,0.002527476,-0.27468997,-0.71317464,-0.5359963,-0.9999599,2.674779002436457,7.677457075506096,,4FGL J0025.4-4838,PowerLaw,0.17258146,0.46031895,,,0.0,0.0,16,0.9986199431421315,0.00138005685784504,0.9977718134474985,0.0022281865525018148,0.999150809706767,0.0008491902932326545,0.9945801773062379,0.005419822693762955,0.0,0.0,0.0,0.0
