Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,AGN_BDT_O,PSR_BDT_O,AGN_NN_O,PSR_NN_O,AGN_LR_O,PSR_LR_O,AGN_RF_O,PSR_RF_O,Times in Testing,Times in Testing_O,Flags,AGN_BDT_STD,PSR_BDT_STD,AGN_NN_STD,PSR_NN_STD,AGN_LR_STD,PSR_LR_STD,AGN_RF_STD,PSR_RF_STD,AGN_BDT_O_STD,PSR_BDT_O_STD,AGN_NN_O_STD,PSR_NN_O_STD,AGN_LR_O_STD,PSR_LR_O_STD,AGN_RF_O_STD,PSR_RF_O_STD
4FGL J0002.1+6721c,118.20349,4.939485,-21.13605439617941,2.6199028,0.20384708,0.35043678,3.956527,0.37815735,-0.70862716,0.006103688,-0.58189505,-0.78467,-0.9999994,0.8016469,2.136878382033303,7.1090217423938595,OTHER,unk,LogParabola,,1RXS J000209.4+672503,0.734112240958553,0.265887759041446,0.910394267502512,0.089605732497488,0.8048731792868609,0.19512682071313878,0.7965955787743529,0.2034044212256466,0.43625183165910697,0.5637481683408944,0.7283649690534622,0.2716350309465384,0.11761176840857716,0.8823882315914232,0.22786806396208115,0.7721319360379181,0,0,41,4.806819535492657E-15,3.7922060136683185E-15,0.048306737437427,0.048306737437427,0.015302416380167522,0.015302416380167523,0.040864552479322615,0.04086455247932262,0.09946171764204917,0.09946171764204913,0.23050328321961486,0.2305032832196148,0.017218369523491348,0.017218369523491345,0.048030714032165744,0.04803071403216568
4FGL J0002.7+7220,119.208755,9.829275,-22.115863139937183,2.4353676,0.25371093,0.07171249,0.72741395,0.9559326,-0.34862667,0.0031954239,-0.6574484,-0.64294577,-0.9865447,0.59027827,2.7852902156673114,7.848670016215193,OTHER,spp,PowerLaw,,SNR G119.5+10.2,0.9995602168581859,4.397831418078296E-4,0.9980145757755639,0.0019854242244348296,0.9925261874915088,0.007473812508492483,0.9883271115218721,0.011672888478127301,0.9989904303019599,0.001009569698039871,0.994699403002044,0.00530059699795559,0.9349177811379628,0.06508221886203683,0.9721652433605429,0.027834756639456722,0,0,0,6.328271240363392E-15,7.920173305519889E-18,0.0012840865205253921,0.001284086520525393,7.610836719650168E-4,7.610836719650156E-4,0.009850347969184629,0.009850347969184643,4.1717348382267573E-4,4.1717348382267264E-4,0.008215181384593047,0.008215181384593019,0.010223080904999859,0.010223080904999855,0.019078556274652166,0.019078556274652193
4FGL J0013.6+4051,115.2578,-21.451033,-22.533070607672517,2.1912282,0.125686,-0.05117838,0.8209412,-0.83213615,-0.2558227,3.0009384E-4,-0.67766905,-0.5710642,-0.8586353,0.49964562,2.482016560834649,7.7213374866695315,OTHER,agn,PowerLaw,,4C +40.01,0.9989683340980658,0.0010316659019584667,0.9986534353458623,0.0013465646541385497,0.9992549215277133,7.450784722858761E-4,0.9918982703582547,0.008101729641745728,0.9971727265797872,0.002827273420212232,0.9964080141736742,0.003591985826324899,0.996004719084934,0.003995280915066817,0.9904238370819045,0.009576162918095472,0,0,0,2.4313884239290928E-14,5.9355845850649854E-18,8.682089472575601E-4,8.682089472575598E-4,1.044155967827473E-4,1.0441559678274717E-4,0.00768647317296121,0.007686473172961207,0.001235386764176638,0.0012353867641766339,0.0040801657858474455,0.004080165785847417,0.001124950460765653,0.0011249504607656413,0.008963615767959135,0.00896361576795912
4FGL J0024.0-7204,305.90195,-44.891075,-19.2281523405947,2.0958216,0.037899427,0.35821497,20.062511,0.4765868,-0.06136567,8.06321E-4,-0.41994908,-0.62575454,-0.9346523,-0.86440825,1.6574247063690168,6.86818181722038,OTHER,glc,LogParabola,3FGL J0023.9-7203,NGC 104,0.002009956386103128,0.9979900436138898,0.07145981018149274,0.9285401898185075,1.1301479647254631E-4,0.9998869852035276,0.01313570142310381,0.986864298576897,0.00249874147898555,0.9975012585210136,0.0021391744043472373,0.9978608255956531,6.720102196208222E-7,0.99999932798978,0.009436458260669864,0.9905635417393288,0,0,0,8.673617379884035E-19,7.105427357601002E-15,0.05168563023487581,0.05168563023487581,2.122637823069132E-5,2.122637823069133E-5,0.011296712445793548,0.011296712445793543,8.244412650776413E-4,8.244412650776163E-4,0.003930659317640063,0.003930659317640085,3.759905932541971E-7,3.7599059325077427E-7,0.004121155357954829,0.0041211553579547896
4FGL J0025.3+6408,120.093605,1.421848,-20.87334969750476,2.1818187,0.074476324,0.012063479,0.34814614,0.9999286,-0.2031737,1.6122893E-4,-0.44662127,-0.6815428,-0.54934645,-0.74619144,1.443907677031756,8.066923324350435,OTHER,snr,PowerLaw,3FGL J0025.7+6404,Tycho,0.9958201239437859,0.004179876056197073,0.9833164132274262,0.016683586772573363,0.8976264737427608,0.10237352625723734,0.9774381728003161,0.02256182719968427,0.9763645896387528,0.023635410361246913,0.8869971919820618,0.11300280801793804,0.5415385572777269,0.45846144272227324,0.9610127004105975,0.03898729958940157,0,0,0,1.6986412276764895E-14,4.026931793371179E-18,0.011272194809642252,0.011272194809642245,0.003987111279620633,0.003987111279620632,0.01512351388743945,0.015123513887439448,0.009634893184532372,0.009634893184532381,0.11757253249140444,0.11757253249140447,0.035660794887914724,0.03566079488791474,0.02224002218201793,0.022240022182017885
4FGL J0043.2+4114,121.28495,-21.604197,-22.03668452774183,2.5048692,0.330557,0.6972687,3.9127028,-0.47291672,-0.05609514,0.012366055,-0.3715284,-0.95680994,-0.99996805,0.57930875,1.427877737715237,6.794572840580534,OTHER,gal,LogParabola,3FGL J0042.5+4117,M 31,0.9912055279419015,0.008794472058115246,0.815496354339075,0.18450364566092536,0.7525929845489768,0.24740701545102314,0.8604990618377472,0.1395009381622526,0.9891653846122687,0.010834615387729936,0.7001917630557472,0.2998082369442536,0.1052553160003981,0.8947446839996028,0.505739875555111,0.49426012444488904,0,0,4,1.687538997430238E-14,8.714010037667201E-17,0.10608620937464368,0.10608620937464365,0.012971925884418882,0.012971925884418884,0.03389396230647653,0.03389396230647653,0.0083620393279794,0.008362039327979394,0.23142653610318822,0.23142653610318822,0.016359057785794124,0.016359057785794107,0.06269763616495157,0.06269763616495157
4FGL J0047.3+6943,122.57157,6.8534408,-22.412658519254023,1.9921043,0.20398684,0.039431635,0.48153985,-0.9999593,0.99905175,0.0014704398,-0.68178725,-0.4309534,-0.3757932,-0.603265,1.807396570007454,8.629663883752517,OTHER,unk,PowerLaw,,1RXS J004724.5+694222,0.9994546209513593,5.453790486577791E-4,0.9962844888127429,0.003715511187258893,0.991743376140032,0.008256623859968015,0.9971196628866456,0.0028803371133538794,0.9966044827880182,0.0033955172119811013,0.9708513989994291,0.029148601000571837,0.9518922505175207,0.0481077494824778,0.9926844756213288,0.00731552437867145,0,0,0,1.709743457922741E-14,5.28722280885651E-18,0.002181276996126232,0.002181276996126232,6.820172981440757E-4,6.820172981440734E-4,0.002333399980924933,0.0023333999809249267,0.0011072992355423603,0.001107299235542348,0.03528480261934693,0.035284802619346876,0.009309090063816855,0.009309090063816881,0.005788273024546287,0.005788273024546278
4FGL J0047.5-2517,97.574394,-87.96936,-20.957350095124248,2.1376503,0.072187655,0.10618303,3.1337867,0.91318977,-0.22942093,6.1774644E-4,-0.5350043,-0.6243514,-0.7095057,-0.55876535,2.540453144814203,6.936550391628749,OTHER,sbg,LogParabola,3FGL J0047.5-2516,NGC 253,0.999638424883442,3.6157511654257154E-4,0.9923195248011599,0.007680475198840645,0.9896466133202686,0.010353386679729897,0.9933574667193945,0.006642533280605535,0.9968886977055794,0.003111302294420234,0.9758393502461288,0.024160649753869664,0.9462996088170516,0.05370039118294962,0.9682600201270538,0.031739979872944045,0,0,0,1.5432100042289676E-14,2.491768099923734E-18,0.005846097230398638,0.00584609723039864,6.11476521135759E-4,6.114765211357599E-4,0.006864202144935293,0.006864202144935291,0.0020541227273726333,0.0020541227273726662,0.04488107484631418,0.04488107484631427,0.008671063414202367,0.0086710634142024,0.022087208020869328,0.022087208020869258
4FGL J0058.0-7245e,302.25146,-44.36958,-19.688150940467644,2.200094,0.042312916,0.091392405,5.236902,0.9798089,-0.43790832,2.1624921E-5,-0.5998293,-0.6060651,-0.71643245,-0.9999105,2.414486957304494,6.80918598402696,OTHER,GAL,PLSuperExpCutoff,3FGL J0059.0-7242e,SMC,0.9846566928160657,0.015343307183943836,0.885092061360233,0.11490793863976528,0.8856193672840303,0.11438063271596983,0.9167972604054156,0.08320273959458459,0.9093998109806328,0.0906001890193681,0.7724460386774938,0.22755396132250463,0.3793608391874958,0.6206391608125048,0.8958613584359594,0.1041386415640402,0,0,4,9.856888647164777E-15,2.7541999819162305E-16,0.0733230511783139,0.07332305117831382,0.004096204391512026,0.004096204391512026,0.03457978806253526,0.034579788062535234,0.03982329457602776,0.03982329457602782,0.18359857021006204,0.1835985702100621,0.02736980632496862,0.02736980632496862,0.0418213378156786,0.04182133781567863
4FGL J0059.7-7210,302.0373,-44.934067,-22.27889548268871,2.5565722,0.33583862,0.8559406,3.761818,-0.96252596,0.6870791,0.0027306362,-0.7387642,-0.93445283,-0.9996142,0.5985763,2.4668246513605983,6.808066647733751,OTHER,sfr,LogParabola,,NGC 346,0.9371664048441313,0.06283359515585264,0.9469687522661913,0.05303124773380859,0.9641628339911994,0.03583716600880023,0.882870072427258,0.11712992757274207,0.6893259949601283,0.31067400503987164,0.805706493398952,0.1942935066010483,0.48220320499655295,0.5177967950034472,0.39384601987558165,0.6061539801244183,0,0,16,1.509685661436533E-14,9.899017385500684E-16,0.03598680596187923,0.035986805961879226,0.002606723045560497,0.002606723045560498,0.03337379326643525,0.03337379326643526,0.1324898447705089,0.1324898447705089,0.17222481923140423,0.17222481923140423,0.04853417724999045,0.04853417724999042,0.06766053509537784,0.06766053509537782
