Source_Name_4FGL,cos(GLON),GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC1,Flags_4FGL,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,OTHER_BDT,OTHER_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,OTHER_NN,OTHER_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,OTHER_RF,OTHER_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,OTHER_LR,OTHER_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,OTHER_BDT_O,OTHER_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,OTHER_NN_O,OTHER_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,OTHER_RF_O,OTHER_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,OTHER_LR_O,OTHER_LR_STD_O,Missing_Values_Catalog,OTHER_T,PSR_T,AGN_T,OTHER_T_STD
4FGL J1646.5-4406,0.0472652983,0.80478513,-24.8854576,-26.3156931,7.78513676,2.4622278,0.19312252,0.15005527,1.795027,2.11101385,0.9998726,-0.6747978,-0.5047818,-0.7004395,-0.77923596,-0.99750745,UNAS,None,,,8,0.0283015509,0.0183907667,0.0105428883,0.00953311479,0.961155561,0.0232416633,0.121603679,0.117578927,0.0365739705,0.0329051933,0.84182235,0.124339116,0.149670246,0.047815148,0.102744604,0.0448851106,0.74758515,0.0646122783,0.109328915,0.0273656247,0.0303849561,0.00681440032,0.860286128,0.0307428157,0.0178940538,0.010513669,0.00911346928,0.00851853739,0.972992477,0.0164664021,0.060152706,0.0562447589,0.0356568219,0.0428699944,0.904190472,0.0753757435,0.115743061,0.0393511783,0.0983946265,0.0428051612,0.785862313,0.0591537954,0.0368567857,0.0135410819,0.0325244854,0.010369232,0.930618729,0.0196285992,0,7.00451318,0.35593582197999996,0.6395509973999999,0.17594702733484535
4FGL J1321.1-6239,0.0302816452,0.016051572,-25.2740246,-26.2409258,7.56634501,2.451125,0.1830384,0.2846131,3.5918963,1.96795172,-0.8425465,0.99068093,-0.63474387,-0.69519633,-0.8914182,-0.99526346,UNAS,None,,,5,0.00987656977,0.00791157798,0.0256764833,0.0380750173,0.964446947,0.0401054959,0.111576203,0.0978324148,0.076627073,0.055725162,0.811796724,0.10441369,0.110872311,0.036119042,0.118636124,0.043590045,0.770491564,0.0555464055,0.0563113608,0.0211383666,0.0502521937,0.0153216932,0.893436446,0.0317368464,0.00837014364,0.00652314518,0.0264584795,0.03885099,0.965171377,0.0419090125,0.0437058033,0.0441760387,0.0946301121,0.0889834079,0.861664085,0.0964162376,0.0684441275,0.019675782,0.114597009,0.0448317011,0.816958864,0.0500125463,0.0200432932,0.0105935543,0.0593649268,0.0291742599,0.92059178,0.036008201,0,7.0045577869999995,0.5662424014,0.42919981221,0.17735163256231812
4FGL J1620.8-4958c,0.858756389,0.028379135,-24.4520926,-25.6414023,7.93928641,2.5351307,0.16560596,0.27750653,4.3757415,1.98966326,-0.94324,0.98239994,-0.56336176,-0.737305,-0.8140367,-0.7524151,UNAS,None,,,48,0.00517668534,0.00548578231,0.0142617095,0.021138811,0.980561605,0.0239729294,0.0560339904,0.0726229912,0.130460529,0.103424363,0.81350548,0.118394195,0.0732716632,0.0320185242,0.154849085,0.0504856925,0.771879252,0.0593388364,0.0138720757,0.00559245264,0.0477482308,0.0152064743,0.938379693,0.0183515466,0.00657791242,0.0289158486,0.0288113681,0.0360485206,0.964610719,0.0477111432,0.0240566601,0.0319139116,0.169232473,0.137135707,0.806710867,0.136691313,0.051529815,0.0197788453,0.157257792,0.0546572335,0.791212393,0.0587783244,0.0044131758,0.00249091095,0.0577354647,0.0269981472,0.93785136,0.0282340945,0,7.004711368999999,0.7603566521,0.23493197795999998,0.20895618504426897
4FGL J1618.0-5119,0.74586003,-0.6312988,-24.3801171,-26.021008,8.34110048,2.4545627,0.1614364,0.09895767,1.7922524,2.45087391,0.837948,0.7583008,0.19100673,-0.66866857,-0.78966963,-0.3901869,UNAS,None,,,272,0.037743202,0.0254332276,0.0175502705,0.0191539773,0.944706528,0.036291689,0.104576858,0.099713889,0.0532033991,0.0469771947,0.842219743,0.10939489,0.0796490617,0.0344073263,0.112415218,0.0528632065,0.807935721,0.0617747343,0.10309946,0.0310676226,0.0463329677,0.017509366,0.850567572,0.0385513295,0.0225863629,0.0135484735,0.0202238613,0.0205583672,0.957189776,0.0284575086,0.0617130067,0.061701905,0.0635123483,0.0835431731,0.874774645,0.102444795,0.061058393,0.0254400938,0.112692653,0.0543352478,0.826248954,0.0614378546,0.0426593167,0.0187052044,0.0527310316,0.0297269546,0.904609652,0.0381976408,0,7.008252591,0.47866174949999996,0.513085661,0.1874168802735913
4FGL J1904.7+0615,-0.674377874,-0.09347409,-24.7642206,-25.9781713,7.04134523,2.8392694,0.30599213,0.5396042,4.161475,2.34083604,-0.84890467,-0.003804312,-0.7121453,-0.9274697,-0.93303657,-0.12391474,UNAS,None,,,13,0.0443370202,0.0403088335,0.0139560757,0.0288191922,0.941706904,0.0515585335,0.0959794199,0.0898967871,0.0821679851,0.0569895043,0.821852595,0.101401734,0.132736959,0.0494080111,0.100598425,0.0385325219,0.766664616,0.062864193,0.0367485091,0.0126221491,0.0560578788,0.0158540981,0.907193612,0.0247167388,0.0149515008,0.0154184814,0.014040618,0.0233234825,0.971007881,0.0325061648,0.0403646108,0.0417298643,0.100274312,0.0845957832,0.859361078,0.091234762,0.0848223608,0.032120789,0.105726591,0.0411958579,0.809451048,0.0562794899,0.00884282239,0.00396677095,0.0593077071,0.0234691241,0.931849471,0.0253081049,0,7.009087205,0.5321295927,0.45878320299,0.17519055818611076
4FGL J1742.0-3020,0.96714734,-0.068418086,-24.3910125,-25.6285292,7.41052195,2.871719,0.6839967,0.281529,2.9710546,1.91412967,0.81070966,-0.33212036,-0.7717285,-0.749244,-0.8333957,-0.29250336,UNAS,None,,,28,0.0312194543,0.0337733969,0.00876176552,0.0137765677,0.96001878,0.0395911493,0.119272071,0.0993496365,0.0571588622,0.0503980674,0.823569066,0.104981669,0.124860526,0.0477870648,0.14060625,0.0531158869,0.734533224,0.0689232258,0.0288657267,0.0105560485,0.0232571769,0.01458204,0.947877096,0.0212783299,0.0332472184,0.0559551447,0.0197980658,0.03617344,0.946954716,0.0746689034,0.0513700174,0.0544399924,0.0765818414,0.0710876129,0.872048141,0.0835863998,0.0858946917,0.0325868967,0.165434555,0.0719605032,0.748670753,0.0787561378,0.0088701649,0.00476529021,0.0155436838,0.020516758,0.975586151,0.0211163179,0,7.009257927000001,0.50714220062,0.48359987039999996,0.192359943325636
4FGL J1650.9-4420c,-0.287865349,0.038772736,-24.3402871,-25.6000044,7.31366316,2.8333175,0.2293109,0.35438684,4.393948,2.02272459,0.9990184,-0.54282945,-0.5848823,-0.7715958,-0.9999367,0.98612624,UNAS,None,,,60,0.0285880876,0.0450930445,0.0124379908,0.0235083494,0.958973922,0.0550205237,0.0985415708,0.103830732,0.0813582828,0.0632385594,0.820100146,0.116785089,0.127996834,0.0510164401,0.140726634,0.0529442579,0.731276532,0.0719569366,0.0141374638,0.00679158162,0.0403691441,0.0146608574,0.945493392,0.0194694407,0.0168985417,0.0683017763,0.0180075036,0.0276542318,0.965093955,0.0760331553,0.0378161319,0.0450925327,0.0891768597,0.0787697834,0.873007008,0.0879595568,0.0787842491,0.031515453,0.137622687,0.0540870368,0.783593064,0.0648898121,0.00301644949,0.00185961627,0.0466932298,0.0231431538,0.950290321,0.0241848854,0,7.027828340000001,0.5663923318,0.40577932838999997,0.20133652331481786
4FGL J1855.8+0150,-0.870055806,-0.13642293,-24.6333065,-25.7280398,8.18792712,2.482715,0.19047289,0.25002167,3.9298859,1.84024512,-0.67281556,-0.81683165,-0.30927292,-0.66781753,-0.65334177,-1.0,UNAS,None,,,4,0.0970248104,0.169345638,0.0155165156,0.0233737303,0.887458674,0.173372948,0.0512331385,0.0791137456,0.0555564816,0.0615985621,0.89321038,0.0997235863,0.104689614,0.0420702267,0.160402407,0.0529915702,0.734907979,0.0649018345,0.00884952572,0.00375956251,0.0119331698,0.0050679293,0.979217304,0.00743274726,0.0683017047,0.206595746,0.0130434801,0.0190790057,0.918654815,0.205369456,0.0294698637,0.0456397664,0.065718882,0.0769467316,0.904811254,0.0889041083,0.0873497111,0.0361369134,0.169247988,0.0575970227,0.743402301,0.0667429256,0.00221824179,0.00128519933,0.0133807321,0.00756643354,0.984401026,0.00807679998,0,7.046063733,0.5047996561999999,0.44913660991,0.31443739179995567
4FGL J1756.6-2352,0.785428437,0.46642014,-24.5796648,-26.184394,7.95567887,2.6302936,0.38200092,0.16877659,2.446681,2.06462935,0.91618365,-0.91394126,-0.22044802,-0.76367384,-0.68613523,-0.6328466,UNAS,None,,,24,0.053875998,0.0433562212,0.0167929678,0.0185162908,0.929331034,0.0527736121,0.0900766922,0.102417105,0.0428441427,0.0401030071,0.867079165,0.113424705,0.119500855,0.0528318107,0.121020012,0.049453462,0.759479133,0.0696242181,0.0808305024,0.0187365602,0.0313599104,0.0107244737,0.887809587,0.0232659867,0.0292247186,0.0230942064,0.0125079304,0.0158575159,0.958267351,0.0335363356,0.0477466533,0.0521884858,0.050169706,0.0565995744,0.902083641,0.0806736641,0.080548917,0.0338799624,0.11460707,0.0501522284,0.804844013,0.0613882111,0.0245460797,0.00861873461,0.0247302134,0.0169861933,0.950723707,0.0185636096,0,7.059617631,0.4140319527,0.5263504162,0.18106656695760834
4FGL J1353.5-6128,-0.736393188,0.51583296,-25.0924975,-26.2657536,8.06543008,2.4809787,0.2790548,0.26011452,2.198641,2.0466374,0.9786452,-0.4011466,-0.71262777,-0.7393237,-0.8752327,-0.7641168,UNAS,None,,,28,0.0286052285,0.0286026042,0.020213118,0.0219374416,0.951181654,0.0438492977,0.0558540273,0.0803532017,0.0440982717,0.0440873927,0.900047701,0.094599577,0.186240691,0.0574884205,0.112545522,0.0398284296,0.701213787,0.0665049043,0.0408793058,0.0100128227,0.0357640694,0.00986463754,0.923356625,0.0155690471,0.0249879155,0.0217988916,0.0166328392,0.0180931633,0.958379245,0.0357147959,0.0304083953,0.0414573825,0.0463949459,0.0582291111,0.923196659,0.0723902704,0.109896019,0.0350365103,0.124599558,0.0453209716,0.765504424,0.0575686247,0.0107726995,0.00410953058,0.0339446563,0.0143365308,0.955282644,0.0150485943,0,7.078162739,0.4341929804999999,0.48764428190000003,0.15998013325389984
