Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_4FGL,Category_3FGL,CLASS_3FGL,Flags,ASSOC_FGL
3FGL J0000.2-3738,345.41052,-74.946754,-26.753427924051426,-28.030842998052268,0.40310006230909823,3.8032191870813907,1.866731882095337,0.15227417333511517,0.038811723602553985,-0.3213200255739348,-0.6481892737318573,AGN,UNAS,None,0,3FGL J0000.2-3738
3FGL J0002.0-6722,310.13892,-49.061836,-26.432553755848524,-27.90451112375519,0.31386218817238465,3.8313551023606913,1.946061372756958,0.09151793144612758,-0.5227559458577041,-0.4222493439699922,-0.49795186771472183,AGN,UNAS,None,0,3FGL J0002.0-6722
3FGL J0004.2+0843,103.59949,-52.363342,-26.538472908843623,-27.860310766476555,-0.2352994291649611,3.8140060482343277,2.0504424571990967,-0.7551261770419344,-0.4776703196090242,5.80084168077114E-4,-0.8706377580490783,AGN,UNAS,None,0,3FGL J0004.2+0843
3FGL J0006.2+0135,100.400505,-59.296867,-26.40539274430946,-27.89754942572694,-1.778628108341052,3.8191673912776904,2.1869003772735596,-0.6114317251042083,-0.5631399832009076,-0.6454714127750065,-0.3951725265506454,AGN,UNAS,None,0,3FGL J0006.2+0135
3FGL J0007.9+4006,113.97717,-22.007206,-26.355610947661376,-27.81125328323451,-0.020848937980927476,3.79300492396931,2.275604486465454,-0.23640781773404712,-0.7857580082559009,-0.4598722314558544,-0.5895593077013017,AGN,UNAS,None,0,3FGL J0007.9+4006
3FGL J0008.3+1456,107.67859,-46.658096,-26.043447025783802,-27.81236559416826,0.4497952698105705,3.5392097785596297,2.2695491313934326,-0.49492585804791145,-0.5450800398095748,-0.6665679906146269,-0.6761528719520202,AGN,UNAS,None,0,3FGL J0008.3+1456
3FGL J0014.3-0455,99.59009,-66.09583,-25.756977092622158,-27.448810736173087,0.06123590847495353,3.9960421948830125,2.5040531158447266,-0.5965988060456026,-0.8271707467049291,-0.512704790395914,-0.7306166513081951,AGN,UNAS,None,16,3FGL J0014.3-0455
3FGL J0016.5+1713,111.14098,-44.850296,-26.43181645036967,-27.871782762489993,0.813639428522965,3.968095476418074,2.4381189346313477,-0.5651304706865975,-0.6487431672129087,-0.9146185519314425,-0.33892222501269914,AGN,UNAS,None,0,3FGL J0016.5+1713
3FGL J0020.9+0323,108.19788,-58.60079,-26.541562522967354,-27.72890089945561,0.4327127201500953,3.9966331379873834,1.639902114868164,-0.9988298584244456,0.9996047432273832,-0.20042441311169254,-0.47608342748093824,AGN,UNAS,None,0,3FGL J0020.9+0323
3FGL J0032.3-5522,308.61932,-61.548527,-25.221963495496567,-27.77464221150478,0.31779643354180054,6.235901803402848,2.274585247039795,-0.3680129111065578,-0.6797331303190822,-0.6563712039536023,-0.6243560767805013,AGN,UNAS,None,0,3FGL J0032.3-5522
3FGL J0049.0+4224,122.45456,-20.456451,-26.429257886959668,-27.82127874200839,-0.4755638163191846,3.5725180987362792,1.7653671503067017,0.6103714599423058,-0.7441126672416805,-0.21849052193571153,-0.2857654268078691,AGN,UNAS,None,0,3FGL J0049.0+4224
3FGL J0102.1+0943,127.330734,-53.052097,-25.98769374112786,-27.712073612030004,-0.7310816757674657,3.731490374894761,2.065023422241211,-0.3020753274453917,-0.6902051409815396,-0.5073783832090867,-0.29987821906091255,AGN,UNAS,None,256,3FGL J0102.1+0943
