Flux_Density,Unc_Energy_Flux100,Spectral_Index,Signif_Curve,ln(Variability_Index),hr12,hr23,hr34,hr45,GLAT,class,CLASS1,Source_Name,SpectrumType,Pivot_Energy,ASSOC1,Flags
-25.47639486848784,-26.996604993524276,2.732786,-1.360942325754102,3.971194509710279,-0.7246513,-0.8780153,-0.44555563,-0.9656969,0.92570114,OTHER,spp,3FGL J0001.0+6314,PowerLaw,472.15625,,28
-25.66556409127903,-27.39913902765631,1.7730473,2.3389895687511206,3.621120522711261,-0.08380534,-0.4344012,-0.70631915,-0.94180804,-44.903366,OTHER,glc,3FGL J0023.9-7203,LogParabola,856.4519,47 Tuc,0
-30.737952156679786,-27.21064780696626,2.0867453,-0.13002563929498903,3.4433864223059514,0.8748904,-0.74927413,-0.6897258,-0.16747986,1.3377548,OTHER,snr,3FGL J0025.7+6404,PowerLaw,3518.6775,Tycho,0
-26.75180818778272,-27.778174350113105,2.5623276,0.6103808184156143,3.677519762467593,-0.553906,-0.58923995,-0.91297513,-0.5906225,-21.544806,OTHER,gal,3FGL J0042.5+4117,PowerLaw,572.78046,M31,0
-28.041658976556633,-27.71221941429488,2.169111,0.12669502853079476,4.051957954236285,-0.5747277,-0.65921307,-0.48312023,-0.6927539,-87.95155,OTHER,sbg,3FGL J0047.5-2516,PowerLaw,1149.6525,NGC 253,0
-25.2708008946213,-26.955253915698716,2.22098,0.9177176498961931,3.781899669450822,-0.4339719,-0.6432912,-0.6395211,-0.76817554,-44.41674,OTHER,GAL,3FGL J0059.0-7242e,PowerLaw,665.53204,SMC,4
-26.251442363381432,-27.05557524306933,2.504486,0.8914698847818788,3.750335513709239,-0.5004157,-0.68228036,-0.67271966,-0.99997044,0.3920805,OTHER,spp,3FGL J0128.4+6257,PowerLaw,672.94214,,0
-30.36021303662356,-26.27639416624453,2.2950974,1.303892074371153,3.780477119453751,-0.49566734,-0.71492845,-0.71594435,-0.999454,0.9424945,OTHER,spp,3FGL J0220.1+6202c,PowerLaw,4001.0137,,48
-28.961560816869746,-26.42553216795297,2.475545,0.637101835273835,3.8068450699439933,0.9557523,-0.7311285,-0.847135,-0.5881218,1.6175137,OTHER,spp,3FGL J0224.0+6235,PowerLaw,1949.5594,,16
-21.998440535502567,-26.147503925085527,2.1896782,2.819967656550498,5.84159549763674,-0.4776806,-0.6705284,-0.71204525,-0.85391206,1.0862774,OTHER,HMB,3FGL J0240.5+6113,LogParabola,547.57886,LS I+61 303,0
