Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,Flags,Category_4FGL,Class_4FGL
4FGL J0000.3-7355,307.70898,-42.729538,-22.483841131359625,2.119125,0.25751528,0.08968772,0.6184386,-0.9960373,0.93898755,0.0016885875,-0.58789384,-0.46454003,-0.6292898,-0.9996481,2.159249104310168,7.7957216775443445,PowerLaw,0.14627089,0.39123338,,0,UNASS,None
4FGL J0003.3+2511,109.38164,-36.411484,-22.355321090591,2.209443,0.31500685,0.41627398,2.120038,0.77953553,-0.5709804,0.009460228,-0.34649104,-0.693337,-0.68017524,-0.9834204,0.9459222329364977,7.385374399125749,PowerLaw,0.32086015,1.0453527,,0,UNASS,None
4FGL J0003.6+3059,111.004486,-30.771994,-21.536510484875254,2.2234128,0.2737722,0.6783473,4.395897,0.946137,-0.30623183,0.007885308,-0.18627536,-0.7547651,-0.85793644,-0.99782455,1.6119296175686424,7.220573670450081,LogParabola,0.25180805,0.8389943,3FGL J0003.4+3100,0,UNASS,None
4FGL J0004.0+5715,116.52632,-5.0228662,-21.69496100500525,2.4375134,0.23494162,0.27710062,2.2947636,0.99195033,0.2330916,0.0046581076,-0.6546432,-0.5928602,-0.9882191,-0.9968712,2.415434339865422,7.228797729201412,PowerLaw,0.17424358,0.5546416,3FGL J0003.5+5721,0,UNASS,None
4FGL J0004.4-4001,336.9915,-73.84534,-22.55135493570753,2.4249508,0.14729057,-0.027007917,0.3422165,-0.07757718,-0.781518,0.0010227567,-0.56201136,-0.65176815,-0.7525004,-0.39933,2.9187022183482143,7.125287918530437,PowerLaw,0.068658195,0.21702,,4,UNASS,None
4FGL J0005.6+6746c,118.60844,5.282127,-21.6309456537906,2.6314557,0.2878915,0.32071975,2.689085,0.9852871,0.9764428,0.006553203,-0.7463456,-0.8327146,-0.84040207,-0.9997997,1.8049843705876478,7.123345414944714,PowerLaw,0.18199188,0.54935044,,56,UNASS,None
4FGL J0006.6+4618,114.92035,-15.869719,-22.31293827876488,2.521416,0.12419312,-0.050101988,0.8819638,0.743678,-0.8633664,0.0012056957,-0.7528888,-0.3601912,-0.7494455,-0.9999925,2.432023270474068,7.102681232238237,PowerLaw,0.048874963,0.15938121,3FGL J0006.6+4618,0,UNASS,None
4FGL J0008.4+6926,119.14811,6.885729,-21.85704524533681,2.3719156,0.22492553,0.10302104,1.0564419,0.9988942,0.99967754,0.0021455833,-0.61695856,-0.7522733,-0.28375107,-0.9999608,2.3818027522036784,8.022136580655049,PowerLaw,0.11486513,0.4245506,,0,UNASS,None
4FGL J0008.9+2509,110.91511,-36.72459,-22.769821532915714,2.8815272,0.213211,0.20584151,1.475534,-0.59508824,-0.50279725,0.012305561,-0.8196711,-0.98260194,-0.87082124,-0.99695784,2.3534583630035915,5.912856661667867,PowerLaw,0.16841836,0.5522985,,0,UNASS,None
4FGL J0009.1-5012,319.3951,-65.54536,-22.477900703638415,2.4078472,0.20013253,0.15148015,1.375943,0.97284263,-0.55746925,0.0043052034,-0.72268534,-0.58767265,-0.96198916,-0.99504125,2.6593732412030335,6.967303745480511,PowerLaw,0.13365895,0.4234309,,0,UNASS,None
