Source_Name,GLON,GLAT,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,Unc_LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Variability_Index,ASSOC_FGL,ASSOC_FHL,ASSOC1,HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,Flags
4FGL J0001.2+4741,114.2502,-14.338059,4.092253,2514.9417,1.2159239E-10,3.2066936E-11,1.4067559E-12,4.079498E-13,1.9206343E-14,5.0458142E-15,2.2221549,0.19758435,1.893531E-14,6.1774896E-15,2.2337143,0.21654156,-0.008456561,0.09970732,0.083895184,1.9271533E-14,5.279825E-15,2.212329,0.25715718,3.3885543E-5,6.6367077E-4,0.6666667,0.0,20.01873,,,B3 2358+474,-0.85069644,0.7712544,-0.54936385,-0.77652246,-0.40827432,-0.46956557,AGN,bcu,0
4FGL J0001.2-0747,89.03272,-67.30501,23.369343,1612.6141,8.2320506E-10,5.6777423E-11,9.171432E-12,6.173061E-13,3.3465656E-13,2.2101219E-14,2.1049428,0.05002799,3.5833494E-13,2.758293E-14,2.0718932,0.06357407,0.04876986,0.032234523,1.6251894,3.5504648E-13,2.6432188E-14,1.9449391,0.113792025,0.001001274,6.851742E-4,0.6666667,1.8712065,33.22868,3FGL J0001.2-0748,3FHL J0001.2-0748,PMN J0001-0746,0.9979668,-0.55250275,-0.613866,-0.42176375,-0.75065684,-0.4770866,AGN,bll,0
4FGL J0001.5+2113,107.64935,-40.167652,44.134697,355.78442,1.3590526E-9,6.8598856E-11,2.6142106E-11,7.895439E-13,3.9051106E-11,1.0993135E-12,2.659308,0.023107337,4.532746E-11,1.4992415E-12,2.5481505,0.033263642,0.15877607,0.023532344,7.324853,4.387551E-11,1.4050426E-12,2.2009296,0.07229804,0.009049197,0.0014264813,0.6666667,7.4466844,1564.4176,3FGL J0001.4+2120,,TXS 2358+209,-0.24750143,-0.63743556,-0.773471,-0.8885871,-0.999998,0.003516696,AGN,fsrq,0
4FGL J0001.6-4156,334.22635,-72.02855,15.6107,4009.3838,3.0486913E-10,3.4296448E-11,3.9125105E-12,4.799278E-13,2.0757042E-14,2.312259E-15,1.7558894,0.07441355,2.3474046E-14,3.1244729E-15,1.6675872,0.10731147,0.06975478,0.04937743,1.480155,2.2536538E-14,2.7535112E-15,1.5633279,0.14414461,5.0784374E-4,3.695554E-4,0.6666667,1.5424256,16.148964,3FGL J0002.2-4152,3FHL J0001.9-4155,2MASS J00013275-4155252,0.9294002,-0.64590997,-0.2701383,-0.28014797,-0.44513792,-0.2451851,AGN,bcu,2
4FGL J0002.1-6728,310.08493,-48.963467,13.141449,3689.1895,2.4168523E-10,3.0690155E-11,2.888272E-12,3.7892164E-13,1.8744873E-14,2.354849E-15,1.846469,0.084931985,2.3711413E-14,3.516983E-15,1.6778738,0.14089996,0.16372891,0.07705595,2.5449402,2.2562415E-14,3.1363942E-15,1.3356626,0.215343,0.0017496648,7.553017E-4,0.6666667,2.6395152,13.479138,3FGL J0002.0-6722,3FHL J0002.1-6728,SUMSS J000215-672653,-0.96591765,0.24309166,-0.33000058,-0.3219046,-0.43773,-0.65706414,AGN,bcu,0
4FGL J0002.3-0815,89.04345,-67.84833,5.012555,3959.9126,1.1693464E-10,3.32925E-11,1.3097837E-12,3.6248055E-13,7.564005E-15,2.0782775E-15,1.9895958,0.18045619,9.510118E-15,2.9807674E-15,1.9282347,0.2657542,0.15012589,0.1555762,1.2064753,8.778299E-15,2.6244848E-15,1.6707319,0.38516793,0.0012198334,0.0014246973,0.6666667,0.9383612,11.524589,,,WISEA J000236.06-081532.4,-0.9999972,0.9998278,-0.46852386,-0.41293314,-0.9998832,0.9992958,AGN,bcu,0
4FGL J0002.4-5156,319.99948,-63.539017,4.2994423,4530.31,7.621813E-11,2.2970199E-11,8.839152E-13,2.5397707E-13,3.954719E-15,1.1357721E-15,1.897161,0.19413483,6.36572E-15,2.2518345E-15,1.3496544,0.5441837,0.6414554,0.49992764,1.9662828,5.696219E-15,1.9771477E-15,0.38595793,1.2824715,0.0054652826,0.0051993737,0.6666667,1.9415523,18.140957,,,WISE J000229.20-515227.4,0.82168174,-0.9299943,-0.7689135,0.47733453,-0.54054445,-0.9996274,AGN,bcu,0
4FGL J0003.1-5248,318.9899,-62.788944,15.321319,3772.3918,3.1529795E-10,3.654255E-11,3.701321E-12,4.3186838E-13,2.3296884E-14,2.6519644E-15,1.8750632,0.0814981,2.5519082E-14,3.4584605E-15,1.810078,0.11355117,0.05651087,0.052148808,1.1941826,2.5426721E-14,3.2103684E-15,1.6413232,0.18479311,6.892622E-4,5.2519917E-4,0.6666667,1.677836,5.088118,3FGL J0003.2-5246,3FHL J0003.3-5248,RBS 0006,-0.8084972,-0.032542385,-0.5601663,-0.4222626,-0.26994476,-0.6357848,AGN,bcu,0
4FGL J0003.2+2207,108.438545,-39.380795,4.466363,2572.9114,1.3514474E-10,3.3926677E-11,1.5547366E-12,4.3405272E-13,2.0326285E-14,5.071356E-15,2.210459,0.20792037,2.4485845E-14,9.283884E-15,0.7698703,0.54521567,0.99968916,0.021697927,2.524255,2.7240888E-14,8.553592E-15,7.3854135E-5,0.011519297,0.011001482,0.0026882524,0.6666667,2.470398,5.1751347,,,2MASX J00032450+2204559,-0.63229907,-0.91275555,-0.76434726,0.25363842,-0.9812373,-0.99977446,AGN,bll,0
4FGL J0003.3-1928,65.197784,-76.580986,14.550161,953.7989,4.0164658E-10,4.4221696E-11,2.9884508E-12,4.3337507E-13,4.970213E-13,4.7971948E-14,2.2775729,0.07475444,6.135522E-13,7.050593E-14,2.0584412,0.13078499,0.24640359,0.1037209,3.2834492,6.052635E-13,7.936979E-14,1.3642532,0.5402587,0.009419617,0.006033979,0.6666667,3.2614768,45.88706,,,PKS 0000-197,0.989867,-0.23987928,-0.5789871,-0.6367852,-0.8652741,-0.9999968,AGN,bcu,0
4FGL J0003.3-5905,314.23904,-56.965885,6.8768315,1040.6666,1.3030604E-10,2.5059215E-11,1.8340858E-12,3.310798E-13,1.7268618E-13,2.8564174E-14,2.4606173,0.15367769,1.6223572E-13,3.0617087E-14,2.5030756,0.13562056,-0.045128092,0.05502868,0.68722254,1.7308938E-13,2.9472318E-14,2.4647636,0.20476533,-2.728296E-5,9.4946264E-4,0.6666667,0.01883461,4.4944234,,,PMN J0003-5905,0.9977469,-0.7594614,-0.6808105,-0.5068701,-0.8270633,-0.99723655,AGN,bcu,4
4FGL J0003.9-1149,84.59542,-71.0751,12.366488,1677.4374,3.505177E-10,4.4482935E-11,2.2186916E-12,3.6102217E-13,1.08234236E-13,1.3287634E-14,2.0871086,0.086440966,1.464613E-13,2.1149306E-14,1.9320688,0.1586458,0.27118722,0.11264896,3.3432026,1.4036194E-13,2.0378432E-14,1.2639301,0.3703427,0.0060309917,0.002860975,0.6666667,3.2589183,4.358574,3FGL J0003.8-1151,,PMN J0004-1148,0.833287,0.99420655,-0.3809477,-0.603182,-0.6146128,-0.9999936,AGN,bll,0
4FGL J0004.0+0840,103.49598,-52.397846,6.8997116,2554.3271,1.9185711E-10,3.5494694E-11,2.133496E-12,3.9527997E-13,2.969869E-14,5.4953134E-15,2.035315,0.1281966,4.5140107E-14,9.874137E-15,1.6673219,0.2954434,0.46910653,0.24483436,2.8967838,4.2795398E-14,9.479799E-15,0.56690615,0.82216865,0.008089959,0.0049865237,0.6666667,2.8517587,11.35256,3FGL J0004.2+0843,,SDSS J000359.23+084138.1,-0.6549203,-0.87394583,0.053723566,-0.40610647,-0.9265024,-0.6266245,AGN,bll,0
