Source_Name,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC_FHL,ASSOC1,Flags
4FGL J0001.2+4741,114.2502,-14.338059,-27.28973484491096,-28.527632274670022,7.83000488162479,2.2337143,0.21654156,-0.008456561,0.083895184,2.9966683434825128,-0.85069644,0.7712544,-0.54936385,-0.77652246,-0.40827432,-0.46956557,AGN,bcu,,,B3 2358+474,0
4FGL J0001.2-0747,89.03272,-67.30501,-25.414927697558603,-28.113411352363947,7.385611828020631,2.0718932,0.06357407,0.04876986,1.6251894,3.5034133481128413,0.9979668,-0.55250275,-0.613866,-0.42176375,-0.75065684,-0.4770866,AGN,bll,3FGL J0001.2-0748,3FHL J0001.2-0748,PMN J0001-0746,0
4FGL J0001.5+2113,107.64935,-40.167652,-24.367473850871068,-27.867320975679746,5.874324996387354,2.5481505,0.033263642,0.15877607,7.324853,7.355268894760695,-0.24750143,-0.63743556,-0.773471,-0.8885871,-0.999998,0.003516696,AGN,fsrq,3FGL J0001.4+2120,,TXS 2358+209,0
4FGL J0001.6-4156,334.22635,-72.02855,-26.266841874686072,-28.36514075292734,8.296392839929425,1.6675872,0.10731147,0.06975478,1.480155,2.7818558945595417,0.9294002,-0.64590997,-0.2701383,-0.28014797,-0.44513792,-0.2451851,AGN,bcu,3FGL J0002.2-4152,3FHL J0001.9-4155,2MASS J00013275-4155252,2
4FGL J0002.1-6728,310.08493,-48.963467,-26.57036268646307,-28.601446968264504,8.213162052505965,1.6778738,0.14089996,0.16372891,2.5449402,2.6011431846229143,-0.96591765,0.24309166,-0.33000058,-0.3219046,-0.43773,-0.65706414,AGN,bcu,3FGL J0002.0-6722,3FHL J0002.1-6728,SUMSS J000215-672653,0
4FGL J0002.3-0815,89.04345,-67.84833,-27.361159136064956,-28.645805567887887,8.283977232706025,1.9282347,0.2657542,0.15012589,1.2064753,2.444482890622969,-0.9999972,0.9998278,-0.46852386,-0.41293314,-0.9998832,0.9992958,AGN,bcu,,,WISEA J000236.06-081532.4,0
4FGL J0002.4-5156,319.99948,-63.539017,-27.754415293746444,-29.0015324098802,8.41854566174047,1.3496544,0.5441837,0.6414554,1.9662828,2.8981721929463893,0.82168174,-0.9299943,-0.7689135,0.47733453,-0.54054445,-0.9996274,AGN,bcu,,,WISE J000229.20-515227.4,0
4FGL J0003.1-5248,318.9899,-62.788944,-26.322331350862747,-28.47065552642827,8.23546452109999,1.810078,0.11355117,0.05651087,1.1941826,1.6269080325933234,-0.8084972,-0.032542385,-0.5601663,-0.4222626,-0.26994476,-0.6357848,AGN,bcu,3FGL J0003.2-5246,3FHL J0003.3-5248,RBS 0006,0
4FGL J0003.2+2207,108.438545,-39.380795,-27.189714979369388,-28.465610386081927,7.852793368219112,0.7698703,0.54521567,0.99968916,2.524255,1.6438653598396504,-0.63229907,-0.91275555,-0.76434726,0.25363842,-0.9812373,-0.99977446,AGN,bll,,,2MASX J00032450+2204559,0
4FGL J0003.3-1928,65.197784,-76.580986,-26.53626597328293,-28.46717282990995,6.860452841216933,2.0584412,0.13078499,0.24640359,3.2834492,3.826183122147505,0.989867,-0.23987928,-0.5789871,-0.6367852,-0.8652741,-0.9999968,AGN,bcu,,,PKS 0000-197,0
4FGL J0003.3-5905,314.23904,-56.965885,-27.024474941338006,-28.73641693454598,6.947616773307231,2.5030756,0.13562056,-0.045128092,0.68722254,1.5028373814827305,0.9977469,-0.7594614,-0.6808105,-0.5068701,-0.8270633,-0.99723655,AGN,bcu,,,PMN J0003-5905,4
4FGL J0003.9-1149,84.59542,-71.0751,-26.83410346618227,-28.649837036971682,7.425022537555702,1.9320688,0.1586458,0.27118722,3.3432026,1.47214491981468,0.833287,0.99420655,-0.3809477,-0.603182,-0.6146128,-0.9999936,AGN,bll,3FGL J0003.8-1151,,PMN J0004-1148,0
4FGL J0004.0+0840,103.49598,-52.397846,-26.873259133960886,-28.55918208859607,7.845544120964703,1.6673219,0.2954434,0.46910653,2.8967838,2.4294432729726756,-0.6549203,-0.87394583,0.053723566,-0.40610647,-0.9265024,-0.6266245,AGN,bll,3FGL J0004.2+0843,,SDSS J000359.23+084138.1,0
4FGL J0004.3+4614,114.48897,-15.854909,-26.256663663316072,-28.09779609536982,6.821241314661459,2.526971,0.15878025,0.06729238,0.8891839,3.803553005382811,0.78436494,0.28394482,-0.71331286,-0.69412714,-0.99994564,-0.8453689,AGN,fsrq,,,MG4 J000421+4615,0
4FGL J0004.4-4737,323.986,-67.53783,-25.912197070362865,-28.55087153060594,6.819560762728515,2.3042858,0.07818232,0.09203692,2.147012,4.935358770862845,-0.35318813,-0.6425631,-0.68792325,-0.5983481,-0.79795176,-0.9999849,AGN,fsrq,3FGL J0004.7-4740,,PKS 0002-478,0
4FGL J0005.9+3824,113.23228,-23.613338,-25.610653327212486,-28.060848693223072,6.109386936660931,2.5520496,0.08891583,0.18990411,3.11948,3.2872637771002617,-0.21210183,-0.5759856,-0.8141681,-0.85213053,-0.8250857,-0.99999815,AGN,fsrq,3FGL J0006.4+3825,,S4 0003+38,0
4FGL J0006.3-0620,93.64702,-66.62518,-27.184139652186577,-28.6771973610042,7.678885317312921,2.1056306,0.22726855,0.16953455,1.3159934,3.016151308026524,-0.7247152,-0.09081931,-0.6298404,-0.46428668,-0.7571772,-0.19542092,AGN,bll,,,PKS 0003-066,0
4FGL J0006.4+0135,100.47745,-59.29749,-27.10769306963642,-28.65942497483073,7.864101711848643,1.7409216,0.33404583,0.32114387,1.7532287,1.834925972759431,0.7859185,0.014901766,-0.33946154,-0.45800528,-0.67855245,-0.9975516,AGN,bll,3FGL J0006.2+0135,,NVSS J000626+013611,0
4FGL J0007.7+4008,113.93701,-21.972776,-26.116379408079514,-28.398832289302675,7.533464556965771,1.9425657,0.1552492,0.17945859,2.3599446,3.24895351350841,0.9754525,-0.45553756,-0.6128516,-0.38939533,-0.82312024,-0.71462035,AGN,bcu,3FGL J0007.9+4006,,NVSS J000741+400830,0
4FGL J0008.0+4711,115.31625,-15.033559,-24.725129147220493,-27.653287993650398,7.217121053212357,1.9286299,0.04325207,0.07913111,3.960164,1.861597098196967,-0.49768177,-0.36878565,-0.5170913,-0.42894265,-0.6222457,-0.6937647,AGN,bll,3FGL J0008.0+4713,3FHL J0007.9+4711,MG4 J000800+4712,0
4FGL J0008.0-3937,335.9962,-74.58333,-26.738460861247678,-28.46991671053655,6.704233925946502,2.5210016,0.2322572,0.4068936,2.4667616,2.5269071488176866,0.96521664,-0.5599435,-0.81050414,-0.84634143,-0.949194,-0.9996388,AGN,bcu,,,PMN J0008-3945,16
4FGL J0008.4-2339,50.26514,-79.690834,-26.782806228256867,-28.483349852765837,8.789054061984848,1.3491105,0.26736003,0.27816898,2.683634,2.627168459151227,-0.997901,0.99924535,-0.17414077,-0.18504943,-0.035520542,-0.78427786,AGN,bll,3FGL J0008.6-2340,3FHL J0008.4-2339,RBS 0016,0
4FGL J0008.4+1455,107.72407,-46.6767,-26.291193257586812,-28.40006075930732,7.65805829633878,1.9389116,0.15499178,0.1600625,2.1714606,2.102049926660531,0.9982614,0.12763087,-0.42588946,-0.52930766,-0.5766764,-0.9999996,AGN,bcu,3FGL J0008.3+1456,,NVSS J000825+145635,0
4FGL J0009.1+0628,104.480736,-54.868298,-25.961373857544366,-28.284653007122493,7.539831876483307,2.0630696,0.08882379,0.046000473,1.111143,2.568481610216756,0.98877126,-0.22092612,-0.62225765,-0.48536688,-0.55182934,-0.49851298,AGN,bll,3FGL J0009.1+0630,3FHL J0009.1+0628,TXS 0006+061,0
4FGL J0009.3+5030,116.12437,-11.803588,-24.42693253891698,-27.58319869741935,7.18279215459088,1.8976711,0.03283008,0.06228566,4.1640167,5.000582183913622,0.08271766,-0.46098366,-0.51481646,-0.4436469,-0.6030336,-0.55101514,AGN,bll,3FGL J0009.3+5030,3FHL J0009.4+5030,NVSS J000922+503028,0
4FGL J0009.7-3217,0.6727207,-79.58928,-27.05387938687127,-28.766699112965057,7.571433104593955,2.0901954,0.18395445,0.12845568,1.4798275,2.72692054818927,-0.8800698,0.9998189,-0.4720295,-0.72473025,-0.3973133,-0.99999607,AGN,rdg,3FGL J0009.6-3211,,IC 1531,0
4FGL J0009.8-4317,327.77505,-71.76617,-26.798761673370702,-28.748918567342564,7.66107235942199,2.046758,0.1232077,0.022229282,0.39822197,2.828636919950673,0.9996603,-0.6025286,-0.512441,-0.6109618,-0.20934854,-0.9995643,AGN,bll,,3FHL J0009.7-4319,SUMSS J000949-431654,0
4FGL J0009.8+1340,107.75219,-47.971355,-27.3400462773632,-28.623120096647806,7.8023699011718115,1.9495059,0.45761642,0.21887067,1.0791031,2.3738766764148487,0.9963938,-0.86354387,-0.582831,-0.37203237,-0.7122069,-0.9998007,AGN,bcu,,,RX J0009.9+1341,0
4FGL J0010.6+2043,110.21874,-41.12827,-26.878342867582067,-28.506093486475564,7.234349525360378,2.249444,0.20487434,0.08393108,0.8106672,3.2943288534622988,0.9937699,-0.51681966,-0.6943825,-0.6397762,-0.999752,0.9967195,AGN,fsrq,,,TXS 0007+205,0
4FGL J0010.6-3025,10.263708,-80.482315,-26.0436702800679,-28.543752807411348,6.600833726301159,2.3925977,0.09198754,0.106107526,2.040114,4.517369868161211,0.014605773,-0.57178926,-0.6632103,-0.846694,-0.5830918,-0.9999959,AGN,fsrq,,,PKS 0008-307,0
4FGL J0010.8-2154,60.28118,-79.400505,-27.20298203633519,-28.731361085557964,7.104038166054543,2.4288561,0.15470818,-0.05275942,0.6962736,2.577463846197772,0.99603367,-0.4782088,-0.68945205,-0.6409936,-0.52018094,-0.624447,AGN,bcu,,,PKS 0008-222,0
4FGL J0011.4-4110,330.75208,-73.720406,-27.268311386312956,-28.699268428137156,6.615596485456074,2.5198011,0.26279616,0.15830652,1.0063382,1.6039230846389883,0.7368393,-0.73915875,-0.79110783,-0.64824104,-0.99964046,0.6274354,AGN,bcu,,,PMN J0011-4105,0
4FGL J0011.4+0057,102.407234,-60.302692,-25.955425576350567,-28.30733275298395,7.074708697520947,2.2857835,0.108864665,0.047320575,0.84353405,4.27632983930193,-0.46836224,-0.6844149,-0.6825522,-0.4243361,-0.8740306,-0.999994,AGN,fsrq,2FGL J0011.3+0054,,RX J0011.5+0058,0
4FGL J0011.8-3142,2.5585456,-80.23526,-27.307412679940338,-28.825422408089267,8.113245291140966,1.9186677,0.22159815,0.06783949,0.66387033,3.014903200676694,0.40856227,-0.8704807,-0.5781315,-0.31427428,-0.41365862,-0.57473737,AGN,bcu,,,SUMSS J001141-314220,0
4FGL J0012.0+7043,119.6611,8.111637,-26.01990228619663,-27.75467843207923,7.5133009981530865,2.4050107,0.120379955,0.012992526,0.24992618,2.8820588785728796,0.9802247,-0.72021985,-0.7204695,-0.64089274,-0.5467862,-0.9996062,AGN,bcu,3FGL J0012.4+7040,,TXS 0008+704,0
4FGL J0013.1-3955,332.33987,-74.936165,-26.088811997151364,-28.46141443175078,7.684876993252432,1.9179044,0.09594044,0.11524172,2.4875875,2.4963189894214746,-0.93991286,0.44254082,-0.5231515,-0.4966849,-0.44742048,-0.9962501,AGN,bll,3FGL J0013.2-3954,3FHL J0013.0-3956,PKS 0010-401,0
4FGL J0013.4+0950,107.64184,-51.902443,-26.99259431658555,-28.35046344650916,8.078232320450072,2.250888,0.14281824,-0.06723811,0.7470528,2.5922454405610624,-0.70172024,-0.79003656,-0.5812402,-0.33014557,-0.6775567,-0.18903436,AGN,bcu,,,1RXS J001328.4+094942,0
4FGL J0013.6+4051,115.2578,-21.451033,-27.0065136788621,-28.617372907474618,7.721337466064526,2.2282302,0.125686,-0.05117838,0.8209412,2.482016579601169,-0.83213615,-0.2558227,-0.67766905,-0.5710642,-0.8586353,0.49964562,AGN,agn,,,4C +40.01,0
4FGL J0013.6-0424,99.6602,-65.55318,-26.932826294943087,-28.223113223592453,7.601054242456067,2.2944312,0.15297037,-0.06943933,0.897069,2.3057024632867202,-0.882761,-0.60712713,-0.81394285,-0.43385383,-0.40011236,-0.9999999,AGN,fsrq,,,PKS 0011-046,0
4FGL J0013.9-1854,74.58781,-78.09192,-26.428636566295374,-28.52212056974199,7.823359349377,1.9552113,0.11752892,0.037264645,0.6974277,1.4782489410850428,-0.8395637,-0.15334669,-0.45917833,-0.45926666,-0.5496858,-0.44182596,AGN,bll,3FGL J0013.9-1853,3FHL J0013.8-1855,RBS 0030,0
4FGL J0014.1+1910,110.88994,-42.826824,-26.642487196977566,-28.51367391570932,7.281590381328256,2.1284394,0.1951286,0.1974029,2.0738826,3.6851981793880126,-0.22796527,-0.45049578,-0.6108588,-0.59192926,-0.9306525,-0.9990277,AGN,bll,2FGL J0013.8+1907,,MG3 J001356+1910,0
4FGL J0014.1-5022,317.45294,-65.69481,-26.575515580037877,-28.6161431118099,7.885557830907723,1.9675819,0.13312161,0.03362283,0.5129989,0.7413293742283021,0.97364044,-0.7979238,-0.3927917,-0.5582394,-0.51264375,-0.5137554,AGN,bll,3FGL J0014.0-5025,3FHL J0014.0-5024,RBS 0032,0
4FGL J0014.2+0854,107.61855,-52.85195,-26.774607791334148,-28.14447300084263,7.109550996110795,2.5028715,0.15705143,-0.036627624,0.43241048,2.248696346540889,-0.97572166,0.9992082,-0.6857422,-0.5994001,-0.99999696,0.99996555,AGN,bll,,,MS 0011.7+0837,0
4FGL J0014.3-0500,99.509476,-66.18239,-25.99269708521592,-27.952512508870758,7.465577117792806,2.3549309,0.1206246,0.035951767,0.65076977,3.094198810479346,0.8615024,-0.4079027,-0.77104783,-0.441135,-0.65951854,-1.0,AGN,bcu,3FGL J0014.3-0455,,GALEXASC J001420.46-045929.1,0
4FGL J0014.7+5801,118.074745,-4.4981065,-26.550361206555337,-28.335725967357735,9.161558210704415,1.5530362,0.17107075,0.17607784,2.0137968,2.691941510331101,-0.9962467,0.9973335,-0.30460748,0.05819872,-0.3259488,-0.4858182,AGN,bll,3FGL J0014.7+5802,3FHL J0014.7+5801,1RXS J001442.2+580201,0
4FGL J0014.8+6118,118.5573,-1.257189,-25.45800643792648,-27.840649286567682,8.274419067095456,1.9009732,0.106652595,0.1399983,2.553188,1.8158574635843787,-0.8563634,-0.039780136,-0.6148493,-0.39928746,-0.47377905,-0.75293636,AGN,bcu,3FGL J0014.6+6119,3FHL J0014.9+6118,4C +60.01,0
