GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
114.2502,-14.338059,-22.830346730591675,2.2221549,0.21654156,-0.008456561,0.083895184,-0.85069644,0.7712544,6.6367077E-4,-0.54936385,-0.77652246,-0.40827432,-0.46956557,2.9966683353114543,7.830004901350645,bcu,4FGL J0001.2+4741,PowerLaw,0.09970732,0.25715718,,B3 2358+474,0.99609655,0.93856317,0
89.03272,-67.30501,-20.91781578468319,2.1049428,0.06357407,0.04876986,1.6251894,0.9979668,-0.55250275,6.851742E-4,-0.613866,-0.42176375,-0.75065684,-0.4770866,3.5034133584357785,7.3856118058565015,bll,4FGL J0001.2-0747,PowerLaw,0.032234523,0.113792025,3FGL J0001.2-0748,PMN J0001-0746,0.99701446,0.93293214,0
107.64935,-40.167652,-20.416477997596324,2.659308,0.033263642,0.15877607,7.324853,-0.24750143,-0.63743556,0.0014264813,-0.773471,-0.8885871,-0.999998,0.0035166957,7.355268893137686,5.874324985627678,fsrq,4FGL J0001.5+2113,LogParabola,0.023532344,0.07229804,3FGL J0001.4+2120,TXS 2358+209,0.9980486,0.95818156,0
334.22635,-72.02855,-21.911138513370357,1.7558894,0.10731147,0.06975478,1.480155,0.9294002,-0.64590997,3.695554E-4,-0.2701383,-0.28014797,-0.44513792,-0.2451851,2.7818558990042446,8.296392842657399,bcu,4FGL J0001.6-4156,PowerLaw,0.04937743,0.14414461,3FGL J0002.2-4152,2MASS J00013275-4155252,0.9963356,0.85456926,2
310.08493,-48.963467,-22.143384938898908,1.846469,0.14089996,0.16372891,2.5449402,-0.96591765,0.24309166,7.553017E-4,-0.33000058,-0.3219046,-0.43773,-0.65706414,2.6011431568519536,8.213162065212007,bcu,4FGL J0002.1-6728,PowerLaw,0.07705595,0.215343,3FGL J0002.0-6722,SUMSS J000215-672653,0.9966394,0.9044934,0
118.20349,4.939485,-21.13605439617941,2.6199028,0.20384708,0.35043678,3.956527,0.37815735,-0.70862716,0.006103688,-0.58189505,-0.78467,-0.9999994,0.8016469,2.136878382033303,7.1090217423938595,unk,4FGL J0002.1+6721c,LogParabola,0.13357945,0.56387854,,1RXS J000209.4+672503,0.0,0.95309293,41
89.04345,-67.84833,-22.869405969702683,1.9895958,0.2657542,0.15012589,1.2064753,-0.9999972,0.9998278,0.0014246973,-0.46852386,-0.41293314,-0.9998832,0.9992958,2.444482926641616,8.283977233297893,bcu,4FGL J0002.3-0815,PowerLaw,0.1555762,0.38516793,,WISEA J000236.06-081532.4,0.98085976,0.0,0
319.99948,-63.539017,-23.297421755026786,1.897161,0.5441837,0.6414554,1.9662828,0.82168174,-0.9299943,0.0051993737,-0.7689135,0.47733453,-0.54054445,-0.9996274,2.8981721996350047,8.418545648806752,bcu,4FGL J0002.4-5156,PowerLaw,0.49992764,1.2824715,,WISE J000229.20-515227.4,0.97965854,0.0,0
119.208755,9.829275,-22.115863139937183,2.4353676,0.25371093,0.07171249,0.72741395,0.9559326,-0.34862667,0.0031954239,-0.6574484,-0.64294577,-0.9865447,0.59027827,2.7852902156673114,7.848670016215193,spp,4FGL J0002.7+7220,PowerLaw,0.12577988,0.6068855,,SNR G119.5+10.2,0.8,0.0,0
117.32041,-0.051036116,-19.788983489216815,2.4565814,0.059589725,0.44354206,10.631234,0.13850111,-0.17568366,0.0017345655,-0.5468337,-0.7269191,-0.97733164,-0.99997544,1.7934320030965092,7.21648435123621,PSR,4FGL J0002.8+6217,PLSuperExpCutoff,0.03249271,0.17848769,3FGL J0002.6+6218,PSR J0002+6216,1.0,0.0,0
318.9899,-62.788944,-21.87750305114304,1.8750632,0.11355117,0.05651087,1.1941826,-0.8084972,-0.032542385,5.2519917E-4,-0.5601663,-0.4222626,-0.26994476,-0.6357848,1.6269080175927941,8.235464508984832,bcu,4FGL J0003.1-5248,PowerLaw,0.052148808,0.18479311,3FGL J0003.2-5246,RBS 0006,0.9830022,0.85980093,0
108.438545,-39.380795,-22.724674763682316,2.210459,0.54521567,0.99968916,2.524255,-0.63229907,-0.91275555,0.0026882524,-0.76434726,0.25363842,-0.9812373,-0.99977446,1.6438653677981918,7.85279337717662,bll,4FGL J0003.2+2207,PowerLaw,0.021697927,0.011519297,,2MASX J00032450+2204559,,0.0,0
65.197784,-76.580986,-21.635448568221115,2.2775729,0.13078499,0.24640359,3.2834492,0.989867,-0.23987928,0.006033979,-0.5789871,-0.6367852,-0.8652741,-0.9999968,3.8261831601090432,6.860452852581848,bcu,4FGL J0003.3-1928,LogParabola,0.1037209,0.5402587,,PKS 0000-197,0.9972004,0.91010976,0
314.23904,-56.965885,-22.7611352783057,2.4606173,0.13562056,-0.045128092,0.68722254,0.9977469,-0.7594614,9.4946264E-4,-0.6808105,-0.5068701,-0.8270633,-0.99723655,1.5028373838334625,6.947616748345767,bcu,4FGL J0003.3-5905,PowerLaw,0.05502868,0.20476533,,PMN J0003-5905,0.97976094,0.9494421,4
84.59542,-71.0751,-21.771609911442216,2.0871086,0.1586458,0.27118722,3.3432026,0.833287,0.99420655,0.002860975,-0.3809477,-0.603182,-0.6146128,-0.9999936,1.4721449396435924,7.425022550712862,bll,4FGL J0003.9-1149,LogParabola,0.11264896,0.3703427,3FGL J0003.8-1151,PMN J0004-1148,0.9983225,0.97085786,0
103.49598,-52.397846,-22.374270239719014,2.035315,0.2954434,0.46910653,2.8967838,-0.6549203,-0.87394583,0.0049865237,0.053723566,-0.40610647,-0.9265024,-0.6266245,2.4294432691554784,7.845544102001783,bll,4FGL J0004.0+0840,PowerLaw,0.24483436,0.82216865,3FGL J0004.2+0843,SDSS J000359.23+084138.1,0.9922678,0.0,0
114.48897,-15.854909,-22.146486582006876,2.584969,0.15878025,0.06729238,0.8891839,0.78436494,0.28394482,0.0028312765,-0.71331286,-0.69412714,-0.99994564,-0.8453689,3.803552993627565,6.821241312808688,fsrq,4FGL J0004.3+4614,PowerLaw,0.081770286,0.32934788,,MG4 J000421+4615,0.9988646,0.87434393,0
323.986,-67.53783,-21.553466491096803,2.36556,0.07818232,0.09203692,2.147012,-0.35318813,-0.6425631,0.0014095416,-0.68792325,-0.5983481,-0.79795176,-0.9999849,4.9353587933249745,6.819560758718091,fsrq,4FGL J0004.4-4737,PowerLaw,0.047545202,0.14479707,3FGL J0004.7-4740,PKS 0002-478,0.9971799,0.97325,0
113.23228,-23.613338,-21.578585183604098,2.6721156,0.08891583,0.18990411,3.11948,-0.21210183,-0.5759856,0.0039724554,-0.8141681,-0.85213053,-0.8250857,-0.99999815,3.2872637774285853,6.109386906391712,fsrq,4FGL J0005.9+3824,LogParabola,0.06959758,0.21417004,3FGL J0006.4+3825,S4 0003+38,0.9926908,0.9090593,0
93.64702,-66.62518,-22.6910338480467,2.127844,0.22726855,0.16953455,1.3159934,-0.7247152,-0.09081931,0.0025130922,-0.6298404,-0.46428668,-0.7571772,-0.19542092,3.0161513284666817,7.678885339534126,bll,4FGL J0006.3-0620,PowerLaw,0.17283614,0.3847199,,PKS 0003-066,0.9901411,0.9994688,0
100.47745,-59.29749,-22.607720565864394,2.0524669,0.33404583,0.32114387,1.7532287,0.7859185,0.014901766,0.003991583,-0.33946154,-0.45800528,-0.67855245,-0.9975516,1.8349259772274589,7.864101721456002,bll,4FGL J0006.4+0135,PowerLaw,0.24654034,0.7428972,3FGL J0006.2+0135,NVSS J000626+013611,0.99729097,0.8214364,0
119.66263,10.46168,-16.524121716373617,2.0276394,0.008064565,0.2808079,69.318665,-0.031809665,-0.19659352,0.0032670076,-0.390042,-0.52529836,-0.8291276,-0.93905044,1.6339654382276647,7.295049627573326,PSR,4FGL J0007.0+7303,PLSuperExpCutoff,0.0053019724,0.028280621,3FGL J0007.0+7302,PSR J0007+7303,1.0,0.0,0
113.93701,-21.972776,-21.631346117016143,2.1588902,0.1552492,0.17945859,2.3599446,0.9754525,-0.45553756,0.0014919636,-0.6128516,-0.38939533,-0.82312024,-0.71462035,3.248953521586931,7.53346453920602,bcu,4FGL J0007.7+4008,PowerLaw,0.09027822,0.2628168,3FGL J0007.9+4006,NVSS J000741+400830,0.9971315,0.0,0
115.31625,-15.033559,-20.00382074760791,2.0470488,0.04325207,0.07913111,3.960164,-0.49768177,-0.36878565,3.4965607E-4,-0.5170913,-0.42894265,-0.6222457,-0.6937647,1.8615970971411373,7.217121076003773,bll,4FGL J0008.0+4711,LogParabola,0.020301295,0.064725034,3FGL J0008.0+4713,MG4 J000800+4712,0.99995524,0.9736737,0
335.9962,-74.58333,-22.62595811827918,2.5832374,0.2322572,0.4068936,2.4667616,0.96521664,-0.5599435,0.008537701,-0.81050414,-0.84634143,-0.949194,-0.9996388,2.5269071495980167,6.704233946534623,bcu,4FGL J0008.0-3937,PowerLaw,0.23803687,0.5882011,,PMN J0008-3945,0.9207396,0.8798844,16
