Source_Name_1,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index2,Unc_LP_Index2,LP_beta2,LP_SigCurv2,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,CLASS1,ASSOC1,Flags_4FGL,ASSOC_FGL
4FGL J0429.0-0006,194.94923,-31.261189,-27.055337626832824,-28.129600476064077,6.603698165141311,2.19111,0.192029,0.21288,2.8791,3.60301934869382,0.9517862,-0.79777056,-0.62469757,-0.9434373,-0.9998134,-0.99385744,AGN,bcu,TXS 0426-002,4096,
4FGL J0534.5+2201i,184.55273,-5.781481,-21.616884352732978,-27.59468918668116,9.210340371976184,1.75,0.192029,0.07999999821186066,0.0,4.7762959700213115,0.21169086,-0.063939564,-0.2535099,-0.19412395,-0.47232622,-0.16702877,OTHER,PWN,Crab Nebula,2048,3FGL J0534.5+2201i
4FGL J0850.4-2558,250.1726,11.386075,-27.26178407938289,-28.318128165538337,7.495263856176314,2.19111,0.192029,0.21288,2.8791,1.5977701862995437,-0.5803994,-0.89585215,-0.7137,-0.3451444,-0.89210737,-0.9945814,UNAS,,,4096,
4FGL J1039.7-1540,262.24796,36.589237,-27.086668393928587,-28.355185283206776,6.089809114414684,2.7259368896484375,0.30862957239151,0.16743668913841248,1.063211441040039,2.845175756150512,0.93399197,-0.87981266,-0.6180715,-0.99286044,-0.9992189,0.940622,AGN,fsrq,PKS B1036-154,4096,
4FGL J1202.9-5717,296.39612,4.9595027,-26.897405908419614,-27.786108067021974,7.835195730447221,2.19111,0.192029,0.21288,2.8791,2.29410358207409,-0.7206933,0.99068224,-0.3837773,-0.71598953,-0.99998635,0.5528617,UNAS,,,4120,
4FGL J1209.9-5923,297.66248,3.0545275,-26.447064575225234,-27.236886117397205,7.6046315208913065,2.19111,0.192029,0.21288,2.8791,1.545339154612508,-0.97414213,0.99868035,-0.6067614,-0.96333927,-0.9992077,-0.80988586,UNAS,,,4376,
4FGL J1320.5-6256c,306.23532,-0.26012644,-26.02253298581294,-26.762901152900607,8.673479702570322,2.4403114318847656,0.39393576979637146,0.28004559874534607,0.0,2.404794400944295,0.68963665,-0.9999594,0.99864185,-0.43556812,-0.57650346,-0.8886766,UNAS,,,4128,1FGL J1320.6-6258c
4FGL J1622.8-4454,337.36658,3.3590698,-26.249724060893232,-27.285985898261266,7.675399620739869,2.307352304458618,0.3247752785682678,0.2516779899597168,1.9068197011947632,1.9327263370453456,-0.9666059,0.9998677,-0.8642114,-0.47332665,-0.96698165,0.1368157,UNAS,,,4112,
4FGL J1758.3-1920,9.738242,2.3856268,-26.010545757496672,-26.797462516291773,8.519566447234244,2.787498950958252,0.4574325382709503,0.1891225278377533,1.6801910400390625,1.8876221795248689,-0.90796846,0.99667776,-0.6951436,-0.718184,-0.75774604,-0.9999877,UNAS,,,4120,
4FGL J1838.0-0516,26.710873,0.56137925,-24.803110343798856,-25.93598078924785,7.5368301057732845,2.7749452590942383,1.5789331197738647,0.357316255569458,2.766744375228882,2.036975072025184,-0.77909404,0.94440025,-0.6246353,-0.81516105,-0.99995166,-0.42249325,UNAS,,,4120,
4FGL J1841.3-4442,350.8926,-17.032507,-27.32079133387612,-28.482316326148297,7.684683251492305,2.210803508758545,0.2440061867237091,0.057649631053209305,0.49135881662368774,2.2550332327021345,0.828783,0.98025995,-0.512856,-0.7117736,-0.70611274,-0.16997553,UNAS,,,4096,
4FGL J2048.4-2517,20.160492,-36.010777,-27.618017331345502,-28.54881128859045,7.861435025689141,2.19111,0.192029,0.21288,2.8791,1.7843327979921946,0.22142668,-0.959945,0.1334613,-0.8255121,-0.26406127,-0.9999701,UNAS,,,4112,
4FGL J2106.9+2455,71.751,-14.9333725,-26.91772001149252,-28.199229223444533,6.437683483350626,2.19111,0.192029,0.21288,2.8791,3.233345296583872,0.9999999,-0.57000476,-0.8308037,-0.80098593,-0.9995902,0.08932301,AGN,bcu,MG3 J210642+2501,4096,3FGL J2106.1+2505
4FGL J2325.9+6206c,113.11826,0.8723348,-25.735982343661707,-26.97048372493957,6.802719756623718,2.828655242919922,0.33782464265823364,0.13757596909999847,1.4313844442367554,2.184077216800472,0.7341043,0.95130736,-0.87786597,-0.65649,-0.99886745,-0.9995662,AGN,bcu,NVSS J232543+620829,4144,
