GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
307.70898,-42.729538,-22.674803289616904,2.194066,0.18717964,-0.058960535,0.42251143,-0.997849,0.89577097,0.0015352876,-0.60281223,-0.52624077,-0.6204299,-0.99942964,2.640693205126705,7.695119860663033,,4FGL J0000.3-7355,PowerLaw,0.085666224,0.3714021,,,0.0,0.0,0
101.65648,-53.029457,-22.47750954562722,2.3933158,0.38618642,0.4827665,2.5362675,0.98903227,-0.057248823,0.0057355133,-0.5050396,-0.7062645,-0.9999864,0.39188698,2.874533379239511,6.932861172014039,,4FGL J0000.5+0743,PowerLaw,0.26493418,0.60500515,,,0.0,0.0,0
109.38164,-36.411484,-22.327734317486186,2.322378,0.25379533,0.3215461,2.257501,0.9930084,-0.51994723,0.006072323,-0.52332675,-0.7363795,-0.9987986,-0.9933853,0.9946115148089241,7.151102788813083,,4FGL J0003.3+2511,PowerLaw,0.20529069,0.63528544,,,0.0,0.0,0
111.004486,-30.771994,-21.540533970395806,2.198683,0.22232746,0.76952976,4.9781256,-0.81660074,-0.4883601,0.010437739,-0.047854107,-0.7507247,-0.8001265,-1.0,1.8189670142839716,7.349621230710069,,4FGL J0003.6+3059,LogParabola,0.2417567,0.5353294,3FGL J0003.4+3100,,0.0,0.0,0
116.52632,-5.0228662,-21.75143606470999,2.4234326,0.19627067,0.21672615,2.326301,-0.107881784,0.97506714,0.002997306,-0.7008091,-0.5856442,-0.83654135,-0.999656,2.3457603803473592,7.174689087163998,,4FGL J0004.0+5715,PowerLaw,0.12877293,0.3648133,3FGL J0003.5+5721,,0.0,0.0,0
336.9915,-73.84534,-22.15177340988071,2.1451225,0.1340621,0.07936162,1.0656834,-0.38364682,-0.5637575,0.0010308938,-0.48629096,-0.46952993,-0.79586095,-0.047917493,3.545133498587175,7.575859639386199,,4FGL J0004.4-4001,PowerLaw,0.08198707,0.20073663,,,0.0,0.0,0
118.60844,5.282127,-21.66957252404061,2.619722,0.24218635,0.24600372,2.6173093,-0.6132371,0.93979615,0.0057397927,-0.71999305,-0.7784815,-0.863141,-0.99990046,2.368906586191837,7.167432089323753,,4FGL J0005.6+6746c,PowerLaw,0.1464791,0.5484323,,,0.0,0.0,56
114.92035,-15.869719,-22.73321512251922,2.067589,0.4580926,0.57534486,2.3926308,-0.011914012,-0.99921906,0.0046647983,0.91955614,-0.27789238,-0.56709397,-0.999892,2.2812373426097556,8.228710932233763,,4FGL J0006.6+4618,PowerLaw,0.374682,1.0117233,3FGL J0006.6+4618,,0.0,0.0,0
119.14811,6.885729,-21.899176557260425,2.278677,0.20341907,0.09394212,1.0881668,-0.93205386,0.9998599,0.0017610596,-0.6641403,-0.686155,-0.41157237,-0.9978722,2.3301806586675986,8.01319302115589,,4FGL J0008.4+6926,PowerLaw,0.10024288,0.37532642,,,0.0,0.0,0
110.91511,-36.72459,-22.9890361857337,2.8734019,0.24850172,0.19087088,1.3017763,0.9768444,-0.4749888,0.010654308,-0.8208391,-0.9215696,-0.9998313,-0.9844427,2.6106904824272448,6.024348518724643,,4FGL J0008.9+2509,PowerLaw,0.17424163,0.55716914,,,0.0,0.0,0
319.3951,-65.54536,-22.334973824051417,2.6022162,0.1045461,-0.016354477,0.28924423,0.9999299,-0.37439325,0.0015780475,-0.75760627,-0.6550698,-0.82338476,-0.9999412,3.379553261858949,6.531538560864949,,4FGL J0009.1-5012,PowerLaw,0.05362257,0.17146917,,,0.0,0.0,2
