Source_Name_3FGL,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_68_PosAng,Conf_95_SemiMajor,Conf_95_SemiMinor,Conf_95_PosAng,ROI_num,Signif_Avg,Pivot_Energy,Flux_Density,Unc_Flux_Density,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,Signif_Curve,SpectrumType,Spectral_Index,Unc_Spectral_Index,beta,Unc_beta,Cutoff,Unc_Cutoff,Exp_Index,Unc_Exp_Index,PowerLaw_Index,Flux30_100,Unc_Flux30_100,nuFnu30_100,Sqrt_TS30_100,Flux100_300,nuFnu100_300,Sqrt_TS100_300,Flux300_1000,nuFnu300_1000,Sqrt_TS300_1000,Flux1000_3000,nuFnu1000_3000,Sqrt_TS1000_3000,Flux3000_10000,nuFnu3000_10000,Sqrt_TS3000_10000,Flux10000_100000,nuFnu10000_100000,Sqrt_TS10000_100000,Variability_Index,Signif_Peak,Flux_Peak,Unc_Flux_Peak,Time_Peak,Peak_Interval,Extended_Source_Name,0FGL_Name,1FGL_Name,2FGL_Name,1FHL_Name,Flags,ASSOC_GAM1,ASSOC_GAM2,ASSOC_GAM3,TEVCAT_FLAG,ASSOC_TEV,CLASS1,ASSOC1,ASSOC2,500MeV_Index
3FGL J0000.1+6545,0.037700001150369644,65.75170135498047,117.69387817382812,3.4029576778411865,0.06284450739622116,0.04810472950339317,41.029998779296875,0.10189999639987946,0.07800000160932541,41.029998779296875,185,6.813125133514404,1159.081298828125,1.005343052730423e-12,1.4910648941674626e-13,1.0159622032546167e-09,1.575921199092889e-10,1.3569529180856854e-11,2.0731738808316136e-12,3.3966150283813477,PowerLaw,2.4109559059143066,0.08232081681489944,-inf,-inf,-inf,-inf,-inf,-inf,2.4109559059143066,,,,,1.808316341112004e-08,4.175285551327734e-12,2.168754816055298,6.940733321414427e-09,4.543647142557505e-12,5.269711017608643,1.2366493384874389e-09,2.8553431320743616e-12,6.022240161895752,5.7805201597593836e-11,3.7841312115066694e-13,1.5091934204101562,2.839629399675747e-11,4.317204146259135e-13,2.421168565750122,40.753517150878906,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,2FGL J2359.6+6543c,                  ,4,               ,              ,               ,N,                     ,     ,                          ,                          ,2.4109559059143066
3FGL J0000.2-3738,0.06120000034570694,-37.648399353027344,345.4105224609375,-74.9467544555664,0.04508276656270027,0.04169076308608055,-88.55000305175781,0.0731000006198883,0.06759999692440033,-88.55000305175781,589,5.091285705566406,3296.329345703125,1.9419782080164205e-14,5.147464536727061e-15,2.0386604904221173e-10,5.4225336026947346e-11,2.4051041106615267e-12,6.70439452652577e-13,1.4964566230773926,PowerLaw,1.866731882095337,0.1793947070837021,-inf,-inf,-inf,-inf,-inf,-inf,1.866731882095337,,,,,9.876650886031513e-11,2.4048505428784367e-14,0.0,1.3424870937139843e-10,9.363737812472656e-14,0.5540817379951477,1.4509034251819486e-10,3.5327822481626137e-13,2.941159963607788,7.452388706141733e-11,5.197979633525529e-13,4.153500080108643,1.5907337946874378e-11,2.991649896560977e-13,3.4690897464752197,44.84531784057617,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,                  ,                  ,0,               ,              ,               ,N,                     ,     ,                          ,                          ,1.866731882095337
3FGL J0001.0+6314,0.2535000145435333,63.24399948120117,117.2930908203125,0.9257011413574219,0.15263999998569489,0.09855301678180695,-65.31999969482422,0.2475000023841858,0.1597999930381775,-65.31999969482422,233,6.163916110992432,472.15625,8.624666085477184e-12,1.2301139924383864e-12,6.403682584199544e-10,1.2908611679574022e-10,1.3028516633595277e-11,1.8859206731003386e-12,0.25641903281211853,PowerLaw,2.732785940170288,0.10754717886447906,-inf,-inf,-inf,-inf,-inf,-inf,2.732785940170288,,,,,2.9130298173640767e-08,6.526410488427725e-12,3.973590850830078,4.650789087179419e-09,2.937855904730502e-12,4.250027656555176,3.020877437087677e-10,6.768033941444151e-13,1.7475416660308838,1.1586605980218323e-10,7.319140410931568e-13,3.27475643157959,2.0219641932994747e-12,2.7618385077293924e-14,0.3618190288543701,53.04785919189453,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,2FGL J2358.9+6325 ,                  ,28,               ,              ,               ,N,                     ,spp  ,                          ,                          ,2.732785940170288
3FGL J0001.2-0748,0.32089999318122864,-7.815899848937988,89.02220153808594,-67.32424926757812,0.050324950367212296,0.042924221605062485,-19.469999313354492,0.08160000294446945,0.06960000097751617,-19.469999313354492,323,11.253236770629883,1263.8359375,4.853888558448149e-13,5.700380624343651e-14,6.952189934850139e-10,8.9601506769732e-11,7.817706551560555e-12,9.455733722060766e-13,1.9002376794815063,PowerLaw,2.149348258972168,0.08678027242422104,-inf,-inf,-inf,-inf,-inf,-inf,2.149348258972168,,,,,4.08694145193067e-09,9.677896505022598e-13,1.6303025484085083,2.08357442410545e-09,1.4056578167068179e-12,5.265859127044678,5.223298460421688e-10,1.2368795224149132e-12,6.997183322906494,2.1068917444022617e-10,1.42138850602741e-12,8.017722129821777,1.0056333370200843e-11,1.6862814584354263e-13,1.5744051933288574,49.73821258544922,-inf,-inf,-inf,-inf,-inf,                  ,                 ,1FGL J0000.9-0745 ,2FGL J0000.9-0748 ,                  ,0,               ,              ,               ,N,                     ,bll  ,PMN J0001-0746            ,                          ,2.149348258972168
3FGL J0001.4+2120,0.3612000048160553,21.337900161743164,107.6654281616211,-40.047157287597656,0.12982109189033508,0.11619142442941666,-32.54999923706055,0.21050000190734863,0.188400000333786,-32.54999923706055,326,11.35001277923584,310.6816711425781,2.5221011043519148e-11,2.7971394731679533e-12,2.9448676830412523e-10,7.575459010089602e-11,8.065083323405275e-12,8.37896809227634e-13,4.41357946395874,LogParabola,2.3051133155822754,0.18011941015720367,0.5191451907157898,0.15508420765399933,-inf,-inf,-inf,-inf,2.7774531841278076,,,,,1.5239054462767854e-08,3.773258181599681e-12,6.787710666656494,3.6396439195840458e-09,2.2599541595752504e-12,7.591177463531494,3.565205908273583e-10,7.152621593967123e-13,4.516852378845215,8.413886585069766e-15,4.392481915633777e-17,0.0,1.0355377579734926e-14,9.594524835028712e-17,0.0,130.33633422851562,8.24833869934082,1.1593363780093568e-07,1.8574745297428308e-08,301135008.0,2630000.0,                  ,                 ,                  ,                  ,                  ,0,               ,3EG J2359+2041,               ,N,                     ,fsrq ,TXS 2358+209              ,                          ,2.799172658858443
3FGL J0001.6+3535,0.4043000042438507,35.59049987792969,111.66144561767578,-26.188491821289062,0.1311778873205185,0.10311680287122726,8.300000190734863,0.2126999944448471,0.1671999990940094,8.300000190734863,282,4.199563503265381,1104.2642822265625,2.8728202542543935e-13,6.61687162852552e-14,2.681195543363657e-10,6.930391677206771e-11,3.3857510978868577e-12,7.922189380199507e-13,0.14679396152496338,PowerLaw,2.3505215644836426,0.18588925898075104,-inf,-inf,-inf,-inf,-inf,-inf,2.3505215644836426,,,,,9.511113674420812e-09,2.208786972768273e-12,3.602111577987671,3.839223383650392e-10,2.530630056635924e-13,0.8953835964202881,1.7484649839083488e-10,4.0604989531324576e-13,2.461437702178955,4.0214647584191354e-11,2.650755049488085e-13,2.0375945568084717,2.2558043974441055e-11,3.505236736717904e-13,2.2922441959381104,32.394287109375,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,                  ,                  ,8,               ,              ,               ,N,                     ,     ,                          ,                          ,2.3505215644836426
3FGL J0002.0-6722,0.5239999890327454,-67.37030029296875,310.138916015625,-49.06183624267578,0.06265949457883835,0.05297687649726868,69.45999908447266,0.10159999877214432,0.08590000122785568,69.45999908447266,575,5.888756275177002,2466.723388671875,4.829684625861676e-14,1.050245722772911e-14,2.921167474578823e-10,6.366242255584353e-11,3.3150322764630147e-12,7.607199375633811e-13,1.3687011003494263,PowerLaw,1.946061372756958,0.15851141512393951,-inf,-inf,-inf,-inf,-inf,-inf,1.946061372756958,,,,,5.399660718552468e-10,1.3044571661995769e-13,0.19379113614559174,6.487553827483339e-10,4.4826062349859197e-13,2.039397954940796,2.0332520389576558e-10,4.911957342604301e-13,3.445143699645996,8.259540967836543e-11,5.706969185420574e-13,4.773803234100342,2.7682378958560072e-11,5.037351829065284e-13,3.055701494216919,46.125,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,                  ,                  ,0,               ,              ,               ,N,                     ,     ,                          ,                          ,1.946061372756958
3FGL J0002.2-4152,0.5620999932289124,-41.8828010559082,334.0700988769531,-72.1427230834961,0.1337064802646637,0.08603346347808838,68.12999725341797,0.2168000042438507,0.13950000703334808,68.12999725341797,589,5.1584062576293945,1956.04150390625,7.323956436981749e-14,1.618883588923488e-14,2.714030666872702e-10,6.100456945157262e-11,3.018269011459407e-12,6.712245234456737e-13,0.20027261972427368,PowerLaw,2.088920831680298,0.18957960605621338,-inf,-inf,-inf,-inf,-inf,-inf,2.088920831680298,,,,,5.3107602759894235e-09,1.2650495885210833e-12,2.474924325942993,5.659547275271848e-10,3.845211096146356e-13,2.0604591369628906,8.529138506574441e-11,2.0316831984140693e-13,1.5133002996444702,9.763049396704915e-11,6.633213943396665e-13,4.734869480133057,2.5903596975740406e-11,4.4484389587727546e-13,2.5840647220611572,56.35105514526367,-inf,-inf,-inf,-inf,-inf,                  ,                 ,1FGL J0001.9-4158 ,2FGL J0001.7-4159 ,                  ,0,               ,              ,               ,N,                     ,bcu  ,1RXS J000135.5-415519     ,                          ,2.088920831680298
3FGL J0002.6+6218,0.6744999885559082,62.30059814453125,117.30192565917969,-0.03711618110537529,0.037435345351696014,0.033241599798202515,-55.45000076293945,0.06069999933242798,0.05389999970793724,-55.45000076293945,233,17.97186279296875,1011.5714721679688,4.3033129143443816e-12,3.3035878720111267e-13,2.8448787769974615e-09,2.1083863821491633e-10,1.838381530339106e-11,1.7174584237417134e-12,7.242746829986572,LogParabola,2.0862560272216797,0.11109037697315216,0.4500616192817688,0.09239190816879272,-inf,-inf,-inf,-inf,2.3474926948547363,,,,,1.054627940533237e-08,2.939056767056747e-12,2.5938937664031982,7.951372005265966e-09,5.771294900314139e-12,9.406415939331055,2.4424045008686335e-09,5.5550260572023724e-12,13.335186958312988,3.5836633660579764e-10,2.075363318698731e-12,7.393691062927246,4.088705963427655e-15,3.788291659996059e-17,0.0,48.02350997924805,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,2FGL J0002.7+6220 ,                  ,0,               ,              ,               ,N,                     ,     ,                          ,                          ,1.451982193149982
3FGL J0003.2-5246,0.8151999711990356,-52.777099609375,318.97613525390625,-62.82470703125,0.04298589378595352,0.0377437099814415,-44.40999984741211,0.06970000267028809,0.06120000034570694,-44.40999984741211,748,5.6695637702941895,3676.226806640625,1.9987710895034635e-14,4.958364431252539e-15,2.590373748834196e-10,6.531587770641778e-11,3.0071594086383824e-12,7.585292528637655e-13,0.9089632034301758,PowerLaw,1.8952075242996216,0.17402933537960052,-inf,-inf,-inf,-inf,-inf,-inf,1.8952075242996216,,,,,6.580338052231127e-09,1.5977146905835071e-12,1.7502707242965698,8.266807919633801e-13,5.746545741089847e-16,0.0,1.8392892764396152e-10,4.4658187195976973e-13,3.0786266326904297,7.93665827503176e-11,5.517047864563029e-13,3.7379705905914307,2.97740512800182e-11,5.533345049518745e-13,4.510138988494873,45.28043746948242,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,                  ,                  ,0,               ,              ,               ,N,                     ,bcu  ,RBS 0006                  ,                          ,1.8952075242996216
