Source_Name_4FGL,cos(GLON),GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,CLASS_4FGL,ASSOC_FGL,ASSOC1,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,Flags_4FGL,Missing_Values_Flag,Category_Prob
4FGL J0001.2+4741,0.405871183,-14.338059,-27.2897348,-28.5276323,7.83000488,2.2337143,0.21654156,-0.008456561,0.083895184,2.99666834,-0.85069644,0.7712544,-0.54936385,-0.77652246,-0.40827432,-0.46956557,AGN,bcu,,B3 2358+474,0.999932295,5.40145143e-05,6.77048806e-05,5.40145143e-05,0.998741125,0.0016189567,0.00125887511,0.0016189567,0.997499133,0.0042020924,0.00250086726,0.0042020924,0.999798193,8.81478902e-05,0.000201806831,8.81478902e-05,0.999884889,9.91063294e-05,0.000115110878,9.91063294e-05,0.992642199,0.0131389408,0.00735780119,0.0131389408,0.998015376,0.00325117545,0.00198462437,0.00325117545,0.999069883,0.000639827204,0.000930116681,0.000639827204,0,0,AGN
4FGL J0001.2-0747,0.481767522,-67.30501,-25.4149277,-28.1134114,7.38561183,2.0718932,0.06357407,0.04876986,1.6251894,3.50341335,0.9979668,-0.55250275,-0.613866,-0.42176375,-0.75065684,-0.4770866,AGN,bll,3FGL J0001.2-0748,PMN J0001-0746,0.999820553,9.20569037e-05,0.000179447304,9.20569037e-05,0.997892208,0.00264403916,0.00210779188,0.00264403916,0.999029056,0.000549183724,0.000970944156,0.000549183724,0.99852022,0.000638455709,0.00147978005,0.000638455709,0.999654111,0.000249989297,0.000345888533,0.000249989297,0.990355537,0.0179318555,0.00964446297,0.0179318555,0.997932359,0.0032688786,0.00206764141,0.0032688786,0.996635186,0.00181078733,0.00336481387,0.00181078733,0,0,AGN
4FGL J0001.5+2113,0.671029575,-40.167652,-24.3674739,-27.867321,5.874325,2.5481505,0.033263642,0.15877607,7.324853,7.35526889,-0.24750143,-0.63743556,-0.773471,-0.8885871,-0.999998,0.003516696,AGN,fsrq,3FGL J0001.4+2120,TXS 2358+209,0.9853303,0.0730280512,0.0146697005,0.0730280512,0.995959909,0.013857272,0.00404009051,0.013857272,0.934710355,0.032990328,0.0652896447,0.032990328,0.999827975,0.000113789679,0.000172025196,0.000113789679,0.990515847,0.00983148989,0.00948415316,0.00983148989,0.988459368,0.0192676709,0.0115406319,0.0192676709,0.93256881,0.0347985622,0.0674311904,0.0347985622,0.999005178,0.000758046231,0.000994822007,0.000758046231,0,0,AGN
4FGL J0001.6-4156,0.345965473,-72.02855,-26.2668419,-28.3651408,8.29639284,1.6675872,0.10731147,0.06975478,1.480155,2.78185589,0.9294002,-0.64590997,-0.2701383,-0.28014797,-0.44513792,-0.2451851,AGN,bcu,3FGL J0002.2-4152,2MASS J00013275-4155252,0.999883131,6.09143606e-05,0.000116869027,6.09143606e-05,0.998834769,0.00136043256,0.00116523061,0.00136043256,0.999218116,0.000385964625,0.000781883912,0.000385964625,0.999572853,0.000155487717,0.000427147212,0.000155487717,0.999846255,8.42744937e-05,0.000153745133,8.42744937e-05,0.995718519,0.00520802114,0.0042814809,0.00520802114,0.999493635,0.00135276148,0.000506364876,0.00135276148,0.999015994,0.000515421085,0.000984005507,0.000515421085,2,0,AGN
4FGL J0002.1-6728,-0.595633129,-48.963467,-26.5703627,-28.601447,8.21316205,1.6778738,0.14089996,0.16372891,2.5449402,2.60114318,-0.96591765,0.24309166,-0.33000058,-0.3219046,-0.43773,-0.65706414,AGN,bcu,3FGL J0002.0-6722,SUMSS J000215-672653,0.999541458,0.000448221926,0.000458541739,0.000448221926,0.998498797,0.00150507494,0.00150120335,0.00150507494,0.997956787,0.00114365937,0.00204321337,0.00114365937,0.998680649,0.000452038026,0.00131935124,0.000452038026,0.998496246,0.00112412128,0.00150375363,0.00112412128,0.994032335,0.00957986433,0.00596766524,0.00957986433,0.99489925,0.0063288223,0.00510074961,0.0063288223,0.994617989,0.0028662636,0.00538201066,0.0028662636,0,0,AGN
4FGL J0002.3-0815,0.47233728,-67.84833,-27.3611591,-28.6458056,8.28397723,1.9282347,0.2657542,0.15012589,1.2064753,2.44448289,-0.9999972,0.9998278,-0.46852386,-0.41293314,-0.9998832,0.9992958,AGN,bcu,,WISEA J000236.06-081532.4,0.999222399,0.00122690443,0.00077760096,0.00122690443,0.997131305,0.00348442475,0.00286869518,0.00348442475,0.977060576,0.0162184912,0.0229394238,0.0162184912,0.997810231,0.00104786748,0.00218976858,0.00104786748,0.998299997,0.00194782304,0.00170000288,0.00194782304,0.984837333,0.0236767491,0.015162667,0.0236767491,0.980008532,0.016331285,0.0199914678,0.016331285,0.986971226,0.00931560108,0.013028774,0.00931560108,0,0,AGN
4FGL J0002.4-5156,0.903482349,-63.539017,-27.7544153,-29.0015324,8.41854566,1.3496544,0.5441837,0.6414554,1.9662828,2.89817219,0.82168174,-0.9299943,-0.7689135,0.47733453,-0.54054445,-0.9996274,AGN,bcu,,WISE J000229.20-515227.4,0.999734459,0.000240069185,0.000265541491,0.000240069185,0.998770634,0.00160018601,0.00122936633,0.00160018601,0.991992131,0.00632597226,0.00800786886,0.00632597226,0.999667571,0.0001847567,0.000332429425,0.0001847567,0.999852945,0.000182211532,0.000147055237,0.000182211532,0.995663825,0.00489314499,0.00433617451,0.00489314499,0.994952387,0.00775355844,0.00504761272,0.00775355844,0.99921516,0.000727916806,0.00078484046,0.000727916806,0,0,AGN
4FGL J0003.1-5248,0.117970301,-62.788944,-26.3223314,-28.4706555,8.23546452,1.810078,0.11355117,0.05651087,1.1941826,1.62690803,-0.8084972,-0.032542385,-0.5601663,-0.4222626,-0.26994476,-0.6357848,AGN,bcu,3FGL J0003.2-5246,RBS 0006,0.999686474,0.000192145454,0.000313525501,0.000192145454,0.998141067,0.00211956886,0.0018589331,0.00211956886,0.997951081,0.00176968971,0.0020489192,0.00176968971,0.998090223,0.000696270698,0.00190977672,0.000696270698,0.999262654,0.000559703812,0.000737345679,0.000559703812,0.992980772,0.0091410972,0.00701922841,0.0091410972,0.998270476,0.00285675644,0.00172952406,0.00285675644,0.989710243,0.00562832869,0.010289757,0.00562832869,0,0,AGN
4FGL J0003.2+2207,-0.053572792,-39.380795,-27.189715,-28.4656104,7.85279337,0.7698703,0.54521567,0.99968916,2.524255,1.64386536,-0.63229907,-0.91275555,-0.76434726,0.25363842,-0.9812373,-0.99977446,AGN,bll,,2MASX J00032450+2204559,0.990747392,0.0137434896,0.00925260807,0.0137434896,0.986712606,0.0417245919,0.0132873938,0.0417245919,0.951933818,0.0215937492,0.0480661823,0.0215937492,0.976137147,0.0122576072,0.0238628528,0.0122576072,0.992592965,0.0111640975,0.00740703508,0.0111640975,0.962244469,0.075961355,0.0377555315,0.075961355,0.949189147,0.0296392067,0.0508108533,0.0296392067,0.947653616,0.0456492415,0.0523463843,0.0456492415,0,0,AGN
4FGL J0003.3-1928,-0.713957858,-76.580986,-26.536266,-28.4671728,6.86045284,2.0584412,0.13078499,0.24640359,3.2834492,3.82618312,0.989867,-0.23987928,-0.5789871,-0.6367852,-0.8652741,-0.9999968,AGN,bcu,,PKS 0000-197,0.988368919,0.049521148,0.0116310809,0.049521148,0.997256437,0.00581081076,0.00274356271,0.00581081076,0.971442102,0.0172910419,0.0285578983,0.0172910419,0.998086201,0.000694772181,0.0019137992,0.000694772181,0.969800706,0.030014703,0.0301992936,0.030014703,0.988021012,0.0146808955,0.0119789876,0.0146808955,0.877265342,0.0543492907,0.122734658,0.0543492907,0.993336714,0.00346823796,0.00666328644,0.00346823796,0,0,AGN
4FGL J0003.3-5905,0.99681969,-56.965885,-27.0244749,-28.7364169,6.94761677,2.5030756,0.13562056,-0.045128092,0.68722254,1.50283738,0.9977469,-0.7594614,-0.6808105,-0.5068701,-0.8270633,-0.99723655,AGN,bcu,,PMN J0003-5905,0.998203231,0.00550936723,0.00179676862,0.00550936723,0.99486848,0.0118311751,0.00513152005,0.0118311751,0.988240317,0.0107166705,0.0117596835,0.0107166705,0.994686594,0.00178975536,0.00531340592,0.00178975536,0.997025611,0.00256251583,0.00297438927,0.00256251583,0.982664338,0.0322034628,0.0173356621,0.0322034628,0.987384546,0.0122327628,0.0126154543,0.0122327628,0.958530946,0.0172534306,0.0414690544,0.0172534306,4,0,AGN
4FGL J0003.9-1149,-0.974214877,-71.0751,-26.8341035,-28.649837,7.42502254,1.9320688,0.1586458,0.27118722,3.3432026,1.47214492,0.833287,0.99420655,-0.3809477,-0.603182,-0.6146128,-0.9999936,AGN,bll,3FGL J0003.8-1151,PMN J0004-1148,0.98451716,0.0197799147,0.0154828398,0.0197799147,0.820247047,0.198368983,0.179752953,0.198368983,0.951750383,0.0276268745,0.0482496168,0.0276268745,0.865209503,0.0462926024,0.134790497,0.0462926024,0.958559081,0.0474483123,0.0414409193,0.0474483123,0.362276802,0.295635502,0.637723198,0.295635502,0.863905054,0.0621565079,0.136094946,0.0621565079,0.486549653,0.121363351,0.513450347,0.121363351,0,0,MIXED
4FGL J0004.0+0840,-0.984450646,-52.397846,-26.8732591,-28.5591821,7.84554412,1.6673219,0.2954434,0.46910653,2.8967838,2.42944327,-0.6549203,-0.87394583,0.053723566,-0.40610647,-0.9265024,-0.6266245,AGN,bll,3FGL J0004.2+0843,SDSS J000359.23+084138.1,0.997670067,0.00236766137,0.00232993332,0.00236766137,0.995659872,0.00493609092,0.00434012825,0.00493609092,0.966990308,0.0151228404,0.033009692,0.0151228404,0.984825903,0.00501633113,0.0151740971,0.00501633113,0.994309702,0.00656325346,0.00569029822,0.00656325346,0.980418165,0.0230616077,0.0195818354,0.0230616077,0.892923348,0.0524943472,0.107076652,0.0524943472,0.941830098,0.0289874537,0.0581699024,0.0289874537,0,0,AGN
4FGL J0004.3+4614,0.178204908,-15.854909,-26.2566637,-28.0977961,6.82124131,2.526971,0.15878025,0.06729238,0.8891839,3.80355301,0.78436494,0.28394482,-0.71331286,-0.69412714,-0.99994564,-0.8453689,AGN,fsrq,,MG4 J000421+4615,0.999631051,0.000192104023,0.000368948925,0.000192104023,0.998624952,0.00222880266,0.00137504808,0.00222880266,0.994115112,0.00450614201,0.00588488752,0.00450614201,0.998722856,0.000476185143,0.0012771443,0.000476185143,0.999478317,0.000461779319,0.000521682978,0.000461779319,0.993723465,0.0103374203,0.00627653523,0.0103374203,0.990695459,0.00892047381,0.00930454122,0.00892047381,0.995915237,0.00209743789,0.00408476325,0.00209743789,0,0,AGN
