Source_Name_4FGL,cos(GLON),GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC1,Flags_4FGL,AGN_BDT_S,AGN_BDT_STD_S,PSR_BDT_S,PSR_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,PSR_NN_S,PSR_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,PSR_RF_S,PSR_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,PSR_LR_S,PSR_LR_STD_S,Missing_Values_Flag
4FGL J0001.2+4741,0.4058711829772729,-14.338059,-27.2897348,-28.5276323,7.83000488,2.2337143,0.21654156,-0.008456561,0.083895184,2.99666834,-0.85069644,0.7712544,-0.54936385,-0.77652246,-0.40827432,-0.46956557,AGN,bcu,,B3 2358+474,0,0.9995792766074503,4.491948676785437E-4,4.2072339254976506E-4,4.4919486767854315E-4,0.9998150418028251,8.189290678601918E-4,1.8495819717487724E-4,8.189290678601895E-4,0.9929046592809814,0.007413917222689536,0.007095340719018711,0.007413917222689537,0.9996685853122059,1.9491174844818684E-4,3.3141468779409103E-4,1.949117484481843E-4,0
4FGL J0001.2-0747,0.4817675220835794,-67.30501,-25.4149277,-28.1134114,7.38561183,2.0718932,0.06357407,0.04876986,1.6251894,3.50341335,0.9979668,-0.55250275,-0.613866,-0.42176375,-0.75065684,-0.4770866,AGN,bll,3FGL J0001.2-0748,PMN J0001-0746,0,0.9995805260391674,3.363657697699989E-4,4.1947396083243294E-4,3.3636576977000114E-4,0.9996165659541064,0.0014179842877897189,3.8343404589360455E-4,0.001417984287789718,0.9979893883986551,0.002141021282228651,0.0020106116013447824,0.002141021282228647,0.9981575730104136,8.965701203546895E-4,0.001842426989586143,8.965701203546921E-4,0
4FGL J0001.5+2113,0.6710295745718126,-40.167652,-24.3674739,-27.867321,5.874325,2.5481505,0.033263642,0.15877607,7.324853,7.35526889,-0.24750143,-0.63743556,-0.773471,-0.8885871,-0.999998,0.003516696,AGN,fsrq,3FGL J0001.4+2120,TXS 2358+209,0,0.9985932709782229,0.0020418218688749625,0.0014067290217771513,0.0020418218688749595,0.9983088259526952,0.006900846332233497,0.0016911740473047655,0.006900846332233496,0.934653694267415,0.03557835365046835,0.0653463057325851,0.03557835365046835,0.9997470793182357,1.8092697611394332E-4,2.5292068176432713E-4,1.8092697611394437E-4,0
4FGL J0001.6-4156,0.3459654725367624,-72.02855,-26.2668419,-28.3651408,8.29639284,1.6675872,0.10731147,0.06975478,1.480155,2.78185589,0.9294002,-0.64590997,-0.2701383,-0.28014797,-0.44513792,-0.2451851,AGN,bcu,3FGL J0002.2-4152,2MASS J00013275-4155252,2,0.9998771405163761,7.665943955158697E-5,1.2285948362386988E-4,7.665943955158531E-5,0.9996988893606975,0.0010659149047451465,3.011106393026541E-4,0.0010659149047451439,0.9994446233577046,9.057870202884401E-4,5.553766422952851E-4,9.057870202884391E-4,0.998862168994559,5.33228447670658E-4,0.0011378310054409753,5.332284476706569E-4,0
4FGL J0002.1-6728,-0.5956331291299628,-48.963467,-26.5703627,-28.601447,8.21316205,1.6778738,0.14089996,0.16372891,2.5449402,2.60114318,-0.96591765,0.24309166,-0.33000058,-0.3219046,-0.43773,-0.65706414,AGN,bcu,3FGL J0002.0-6722,SUMSS J000215-672653,0,0.997847624086481,0.0018081971913372252,0.002152375913519234,0.0018081971913372285,0.9994563624750349,0.0017630877036978864,5.436375249652457E-4,0.0017630877036978842,0.9921360760834209,0.008512116550695453,0.007863923916579078,0.008512116550695455,0.9945478828282335,0.002411684823709371,0.005452117171766506,0.002411684823709374,0
4FGL J0002.3-0815,0.47233728014119014,-67.84833,-27.3611591,-28.6458056,8.28397723,1.9282347,0.2657542,0.15012589,1.2064753,2.44448289,-0.9999972,0.9998278,-0.46852386,-0.41293314,-0.9998832,0.9992958,AGN,bcu,,WISEA J000236.06-081532.4,0,0.9997394274319995,2.5473015114624195E-4,2.6057256800029484E-4,2.547301511462422E-4,0.9973118495792489,0.008970870439883271,0.0026881504207509443,0.008970870439883271,0.9820168660597668,0.013479615047696491,0.01798313394023319,0.013479615047696496,0.9952352703765869,0.003963943995083249,0.004764729623413237,0.003963943995083251,0
4FGL J0002.4-5156,0.9034823489771178,-63.539017,-27.7544153,-29.0015324,8.41854566,1.3496544,0.5441837,0.6414554,1.9662828,2.89817219,0.82168174,-0.9299943,-0.7689135,0.47733453,-0.54054445,-0.9996274,AGN,bcu,,WISE J000229.20-515227.4,0,0.9996250460797643,4.2634514797206246E-4,3.749539202357887E-4,4.263451479720596E-4,0.999722321146207,6.963078719530489E-4,2.7767885379304023E-4,6.963078719530484E-4,0.9885434909064612,0.011066792563580334,0.011456509093538727,0.011066792563580334,0.999272248120475,6.703842660520333E-4,7.277518795249728E-4,6.703842660520344E-4,0
4FGL J0003.1-5248,0.11797030069202619,-62.788944,-26.3223314,-28.4706555,8.23546452,1.810078,0.11355117,0.05651087,1.1941826,1.62690803,-0.8084972,-0.032542385,-0.5601663,-0.4222626,-0.26994476,-0.6357848,AGN,bcu,3FGL J0003.2-5246,RBS 0006,0,0.9991996632259987,5.921774728025865E-4,8.003367740010954E-4,5.921774728025886E-4,0.9977666389522978,0.005284033099878693,0.0022333610477022424,0.005284033099878695,0.9969106109759505,0.0037812566307551874,0.0030893890240494964,0.00378125663075518,0.9874758510813099,0.005793842218943393,0.012524148918690237,0.0057938422189433925,0
4FGL J0003.2+2207,-0.053572791953586336,-39.380795,-27.189715,-28.4656104,7.85279337,0.7698703,0.54521567,0.99968916,2.524255,1.64386536,-0.63229907,-0.91275555,-0.76434726,0.25363842,-0.9812373,-0.99977446,AGN,bll,,2MASX J00032450+2204559,0,0.9926684076669924,0.00615787918767548,0.00733159233300772,0.006157879187675479,0.9816146402069967,0.061862302009379026,0.018385359793003264,0.06186230200937903,0.9330936438250949,0.032019351483424434,0.06690635617490528,0.032019351483424434,0.9625966596181166,0.03493871202150625,0.03740334038188343,0.03493871202150625,0
4FGL J0003.3-1928,-0.7139578577844027,-76.580986,-26.536266,-28.4671728,6.86045284,2.0584412,0.13078499,0.24640359,3.2834492,3.82618312,0.989867,-0.23987928,-0.5789871,-0.6367852,-0.8652741,-0.9999968,AGN,bcu,,PKS 0000-197,0,0.9777124305905437,0.0609969539138085,0.022287569409456198,0.060996953913808494,0.9996145350197126,0.0013723172908376492,3.8546498028739994E-4,0.0013723172908376496,0.788662000850916,0.07632467854448696,0.21133799914908397,0.07632467854448698,0.9973981787875894,0.0013637037154073588,0.002601821212410557,0.0013637037154073575,0
