Source_Name_4FGL,cos(GLON),GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC1,Flags_4FGL,AGN_BDT_S,AGN_BDT_STD_S,PSR_BDT_S,PSR_BDT_STD_S,OTHER_BDT_S,OTHER_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,PSR_NN_S,PSR_NN_STD_S,OTHER_NN_S,OTHER_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,PSR_RF_S,PSR_RF_STD_S,OTHER_RF_S,OTHER_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,PSR_LR_S,PSR_LR_STD_S,OTHER_LR_S,OTHER_LR_STD_S,Missing_Values_Flag
4FGL J0001.2+4741,0.405871183,-14.338059,-27.2897348,-28.5276323,7.83000488,2.2337143,0.21654156,-0.008456561,0.083895184,2.99666834,-0.85069644,0.7712544,-0.54936385,-0.77652246,-0.40827432,-0.46956557,AGN,bcu,,B3 2358+474,0,0.9894594718814061,0.008699286519628337,5.469152485089047E-4,4.584744226072918E-4,0.00999361287008484,0.008470222298359307,0.99008368525551,0.013211389611102216,2.4197202033980812E-4,0.0012675624020114511,0.009674342724150043,0.012614533231378221,0.9472818510352154,0.017259701448700867,0.004731839479571745,0.0036512683615228868,0.04798630948521273,0.016136857531618955,0.9854281760230286,0.004876240343971984,5.246631181748759E-4,3.5107839021305864E-4,0.014047160858796554,0.004887154652091011,0
4FGL J0001.2-0747,0.481767522,-67.30501,-25.4149277,-28.1134114,7.38561183,2.0718932,0.06357407,0.04876986,1.6251894,3.50341335,0.9979668,-0.55250275,-0.613866,-0.42176375,-0.75065684,-0.4770866,AGN,bll,3FGL J0001.2-0748,PMN J0001-0746,0,0.9948561215631818,0.003817385466324857,4.285737685457048E-4,3.0696063035635555E-4,0.0047153046682724365,0.0036879743541436572,0.9918694197774139,0.010423221351378886,4.0569269360495047E-4,0.0011362001675472148,0.007724887528981016,0.009805554898329714,0.9756797557356995,0.00687064874333825,0.0026164551150668213,0.0011209755914015232,0.021703789149233557,0.006337572702588535,0.9801110105758134,0.005429836173974515,0.003230932603228618,0.001394801335570609,0.01665805682095779,0.00484977860398177,0
4FGL J0001.5+2113,0.671029575,-40.167652,-24.3674739,-27.867321,5.874325,2.5481505,0.033263642,0.15877607,7.324853,7.35526889,-0.24750143,-0.63743556,-0.773471,-0.8885871,-0.999998,0.003516696,AGN,fsrq,3FGL J0001.4+2120,TXS 2358+209,0,0.9932544114892793,0.007213439159512968,0.00520370053852258,0.00636784193818842,0.001541887972197969,0.001974382852670966,0.9874331411604436,0.016586995261737396,9.810762308683145E-4,0.005664833683813288,0.011585782608688162,0.013129308204306144,0.9106370363545234,0.04399365388301971,0.0334817219484041,0.02188356876559409,0.05588124169707251,0.037037531857448604,0.9987709314515948,8.406862134356851E-4,2.8762391536009873E-4,2.4378120259809855E-4,9.414446330451755E-4,7.252571552899369E-4,0
4FGL J0001.6-4156,0.345965473,-72.02855,-26.2668419,-28.3651408,8.29639284,1.6675872,0.10731147,0.06975478,1.480155,2.78185589,0.9294002,-0.64590997,-0.2701383,-0.28014797,-0.44513792,-0.2451851,AGN,bcu,3FGL J0002.2-4152,2MASS J00013275-4155252,2,0.9849140807998914,0.010249663116432186,7.707640730496198E-4,4.816459680903079E-4,0.01431515512705901,0.009933368364892788,0.9879983000965527,0.011878057827504788,3.8849718335796723E-4,8.887608981807131E-4,0.011613202720089354,0.011502240632608941,0.943451974139574,0.0166501637391131,0.004284283578244271,0.002309349586272132,0.05226374228218177,0.015886177989104765,0.9559390677572517,0.010741285993758589,0.0015291830830845927,6.727284185068358E-4,0.042531749159663776,0.010637556861448953,0
4FGL J0002.1-6728,-0.595633129,-48.963467,-26.5703627,-28.601447,8.21316205,1.6778738,0.14089996,0.16372891,2.5449402,2.60114318,-0.96591765,0.24309166,-0.33000058,-0.3219046,-0.43773,-0.65706414,AGN,bcu,3FGL J0002.0-6722,SUMSS J000215-672653,0,0.9889316015506355,0.0058175982673388735,0.0021566991631465846,0.001607430899162093,0.008911699286217923,0.005019650994933954,0.9790537661786624,0.020290756144411896,7.813185451475131E-4,0.0015961997755746238,0.020164915276190132,0.01969697281046629,0.9432945487239761,0.014878986160044377,0.006017491512389393,0.0029734358737048593,0.05068795976363455,0.0135455138944592,0.9481031681995992,0.011358896334607562,0.00396416315207868,0.001950599526787265,0.04793266864832216,0.01087044077992358,0
4FGL J0002.3-0815,0.47233728,-67.84833,-27.3611591,-28.6458056,8.28397723,1.9282347,0.2657542,0.15012589,1.2064753,2.44448289,-0.9999972,0.9998278,-0.46852386,-0.41293314,-0.9998832,0.9992958,AGN,bcu,,WISEA J000236.06-081532.4,0,0.9975411196168736,0.001818257480027084,6.633067420856423E-4,6.447834896837312E-4,0.0017955736410407818,0.0014569052260412997,0.9832964152859873,0.01806612970239412,0.0011020898177888953,0.002328606554702277,0.015601494896223794,0.01655263823825838,0.9313128949675503,0.01759753248230788,0.012425805796092825,0.008665071848738536,0.05626129923635692,0.014513583863171831,0.9525317020774383,0.017037003838366403,0.0038485107546273596,0.002772428785855014,0.0436197871679342,0.016989696716379794,0
4FGL J0002.4-5156,0.903482349,-63.539017,-27.7544153,-29.0015324,8.41854566,1.3496544,0.5441837,0.6414554,1.9662828,2.89817219,0.82168174,-0.9299943,-0.7689135,0.47733453,-0.54054445,-0.9996274,AGN,bcu,,WISE J000229.20-515227.4,0,0.9869402396416451,0.03646822514905267,0.0015718756684315043,0.0015535972551477498,0.011487884689923414,0.03630003743986924,0.9856798413339685,0.019424260755556914,9.668026412243838E-4,0.00302110410713153,0.013353356024806995,0.017469546938084314,0.904187650292241,0.03388962751791411,0.009588839179317826,0.006308945460988063,0.0862235105284412,0.032934673619475385,0.974654582093127,0.013588696360522894,7.922315119942092E-4,0.0011171039958449503,0.02455318639487872,0.013536045720650666,0
4FGL J0003.1-5248,0.117970301,-62.788944,-26.3223314,-28.4706555,8.23546452,1.810078,0.11355117,0.05651087,1.1941826,1.62690803,-0.8084972,-0.032542385,-0.5601663,-0.4222626,-0.26994476,-0.6357848,AGN,bcu,3FGL J0003.2-5246,RBS 0006,0,0.9712262268009062,0.01689213971560983,0.0011770381303069016,7.312863773719123E-4,0.027596735068787036,0.016559746937784538,0.9787425083421831,0.021994898191849698,0.0016199258639430273,0.00330002133134575,0.019637565793874007,0.019909056969791825,0.9276091765965402,0.01837103191161038,0.0064614368534142985,0.003054057021440239,0.06592938655004545,0.017166884017008707,0.9042167570501186,0.024208908698665696,0.008219208880222406,0.004498133187439164,0.08756403406965897,0.023407503844733443,0
4FGL J0003.2+2207,-0.053572792,-39.380795,-27.189715,-28.4656104,7.85279337,0.7698703,0.54521567,0.99968916,2.524255,1.64386536,-0.63229907,-0.91275555,-0.76434726,0.25363842,-0.9812373,-0.99977446,AGN,bll,,2MASX J00032450+2204559,0,0.9329036858867804,0.06534695965569884,0.009672359385429563,0.009090468885514803,0.05742395472779014,0.06165262952561835,0.8494872333027745,0.15477926074732307,0.04460423193053302,0.09828355066827452,0.10590853476669249,0.10131832891743421,0.8281125568829493,0.04167199716229902,0.04153481101372401,0.01726904809715574,0.13035263210332676,0.03481760006896172,0.6044480450851208,0.16661843466686999,0.01342900342714218,0.028169284934836804,0.38212295148773695,0.16995405522244306,0
4FGL J0003.3-1928,-0.713957858,-76.580986,-26.536266,-28.4671728,6.86045284,2.0584412,0.13078499,0.24640359,3.2834492,3.82618312,0.989867,-0.23987928,-0.5789871,-0.6367852,-0.8652741,-0.9999968,AGN,bcu,,PKS 0000-197,0,0.9753083434678842,0.014576938313095573,0.008790475763028712,0.008301358921793832,0.015901180769087097,0.009736802616319552,0.9840470246389279,0.01673293780454515,0.001129133951365405,0.00211469927560581,0.01482384140970668,0.015602560693479232,0.8834315611036206,0.037813002781140755,0.055578199957838595,0.026707962303654544,0.060990238938540664,0.019872825463913658,0.97144753168328,0.0077836114542702865,0.0028942309186581463,0.0014983809780002438,0.025658237398061993,0.007315202489414729,0
