Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,ASSOC1,Flags_3FGL,Missing_Values_Flag,AGN_BDT_S,AGN_BDT_STD_S,PSR_BDT_S,PSR_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,PSR_NN_S,PSR_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,PSR_RF_S,PSR_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,PSR_LR_S,PSR_LR_STD_S
3FGL J0001.0+6314,117.293091,0.925701141,-25.0638806,-26.996605,-1.36094233,3.97119451,2.73278594,-0.7246513,-0.8780153,-0.44555563,-0.9656969,OTHER,spp,,28,0,0.9552703110543764,0.05734797954163654,0.0447296889456236,0.05734797954163655,0.8698900903829064,0.24902627362239713,0.13010990961709348,0.24902627362239713,0.8256433295476976,0.06293878496005632,0.1743566704523023,0.06293878496005632,0.9989840022642079,0.001503001529683069,0.0010159977357922134,0.0015030015296830688
3FGL J0001.2-0748,89.0222015,-67.3242493,-25.5746299,-27.6869849,0.641978973,3.9067735,2.14934826,-0.324667683,-0.599118156,-0.425146785,-0.908887539,AGN,bll,PMN J0001-0746,0,0,0.6780411817939072,0.172830721262916,0.3219588182060928,0.17283072126291602,0.9358655708645695,0.09077680531362782,0.06413442913543056,0.09077680531362782,0.6805030298596046,0.09204670329463517,0.3194969701403954,0.09204670329463518,0.813715891837138,0.06947384130497743,0.1862841081628619,0.06947384130497743
3FGL J0001.4+2120,107.665428,-40.0471573,-25.5434771,-27.8078814,1.48468603,4.8701183,2.79917266,-0.614417901,-0.821568611,-0.999952801,0.103439906,AGN,fsrq,TXS 2358+209,0,0,0.9999414957651543,9.182434886327279E-5,5.8504234845654534E-5,9.18243488632759E-5,0.9978755807519146,0.002945876395776657,0.0021244192480852956,0.0029458763957766537,0.9608417928445881,0.025874160248508405,0.039158207155411955,0.025874160248508405,0.9705055000415189,0.03985707452326412,0.029494499958481128,0.03985707452326412
3FGL J0002.2-4152,334.070099,-72.1427231,-26.5263376,-28.0296727,-1.60807574,4.03160097,2.08892083,-0.807390796,-0.738067109,0.067455621,-0.580624315,AGN,bcu,1RXS J000135.5-415519,0,0,0.9999878685566801,1.3788940275449531E-5,1.2131443319924803E-5,1.3788940275447995E-5,0.9989469441979559,0.0020529694623059817,0.0010530558020442396,0.0020529694623059795,0.9966439131707155,0.004711653459963295,0.003356086829284307,0.00471165345996329,0.9999952534954235,8.009672853931713E-6,4.746504576500403E-6,8.0096728539311E-6
3FGL J0003.2-5246,318.976135,-62.824707,-26.5300252,-27.907395,-0.0954506659,3.8128751,1.89520752,-0.999748774,0.991051089,-0.397129256,-0.454391092,AGN,bcu,RBS 0006,0,0,0.9999059248856891,1.0594863034598138E-4,9.407511431103631E-5,1.0594863034598427E-4,0.9983277935403352,0.0025869854752317615,0.0016722064596647978,0.002586985475231763,0.9932184049414966,0.006217633620075495,0.006781595058503351,0.0062176336200755,0.9950397699856167,0.0036945514732050254,0.00496023001438315,0.003694551473205026
3FGL J0003.8-1151,84.4318924,-71.0842285,-26.6738943,-27.9731584,0.58193625,3.88139153,2.02352142,0.796120394,-0.389624007,-0.664556136,-0.449034661,AGN,bcu,PMN J0004-1148,0,0,0.9848524373105874,0.027014268707567592,0.01514756268941279,0.02701426870756759,0.9971957373781827,0.005651772874431545,0.0028042626218173715,0.0056517728744315465,0.9055043522468755,0.05715985572154742,0.0944956477531244,0.057159855721547415,0.9531667166883544,0.02888301960041531,0.04683328331164559,0.028883019600415314
3FGL J0004.7-4740,323.815582,-67.5186462,-25.4133022,-27.8457427,0.607582196,4.72679167,2.40351629,-0.532141432,-0.698347124,-0.635800504,-0.999992715,AGN,fsrq,PKS 0002-478,0,0,0.999753154210948,3.507426998575728E-4,2.468457890518882E-4,3.507426998575727E-4,0.9932030054114462,0.013819583198165241,0.006796994588553668,0.013819583198165234,0.9514465931323269,0.027355732555465043,0.04855340686767297,0.027355732555465036,0.961679974880096,0.020398131645758825,0.03832002511990375,0.020398131645758828
3FGL J0006.4+3825,113.331886,-23.6133118,-25.2907524,-27.598428,0.823317278,4.38779126,2.61712933,-0.727468421,-0.714511877,-0.884553713,-0.639908862,AGN,fsrq,S4 0003+38,0,0,0.9994282191903833,5.283327334013464E-4,5.717808096166817E-4,5.283327334013458E-4,0.9764060186429858,0.05390335796888804,0.02359398135701425,0.05390335796888803,0.9787349157934068,0.014159251548908992,0.021265084206593208,0.014159251548908998,0.8775400442350657,0.06514948254830408,0.12245995576493428,0.06514948254830408
3FGL J0007.0+7302,119.662102,10.460557,-21.5776667,-26.2817652,3.12018788,3.83229996,1.5566728,-0.198218614,-0.39802603,-0.517464686,-0.827138516,PSR,PSR,LAT PSR J0007+7303,0,0,0.00384342399671612,0.00858177370613199,0.9961565760032839,0.00858177370613199,0.0025672274906398036,0.00821711491385393,0.9974327725093602,0.00821711491385393,0.028588139119992223,0.0316249029676585,0.971411860880008,0.03162490296765849,2.9289607261368503E-5,3.751135145282374E-5,0.9999707103927384,3.7511351452823747E-5
3FGL J0008.0+4713,115.33255,-15.0026178,-24.5445205,-27.237143,0.921868068,3.60314383,2.02099657,-0.128631386,-0.519058466,-0.418792941,-0.633187401,AGN,bll,MG4 J000800+4712,0,0,0.709497433654397,0.17720587799089285,0.29050256634560295,0.17720587799089285,0.17597019896345045,0.22603338414898216,0.8240298010365495,0.22603338414898216,0.8530844716440829,0.05214713188753134,0.14691552835591715,0.05214713188753134,0.23254500425533597,0.06674687241414543,0.7674549957446641,0.06674687241414543
