flux,unc,signif_curv,Spectral_Index,var,CLASS
-28.35382606,-27.68698491,0.641978973,2.1493483,3.906773503,AGN
-24.4033437,-27.80788144,1.48468603,2.3051133,4.870118296,AGN
-30.24504062,-28.0296727,-1.608075742,2.0889208,4.031600965,AGN
-31.54365877,-27.90739503,-0.095450666,1.8952075,3.812875095,AGN
-30.75114295,-27.97315838,0.58193625,2.0235214,3.881391532,AGN
-26.87682866,-27.84574273,0.607582196,2.4035163,4.726791671,AGN
-25.81934892,-27.59842802,0.823317278,2.6171293,4.387791256,AGN
-28.19629815,-27.23714296,0.921868068,2.0209966,3.603143834,AGN
-32.76020459,-27.68486376,-0.1639293,1.5989343,3.857546002,AGN
-29.01520687,-27.71091958,-0.996861512,2.1793637,4.116717135,AGN
-27.53580795,-26.9785278,0.759633263,1.9286355,4.599523705,AGN
-28.80027715,-28.02480037,0.02707591,2.3097298,3.750293362,AGN
-28.22760765,-27.29591217,-1.566076934,2.4837499,3.943054307,AGN
-28.22389802,-27.85886359,-1.885022937,2.2117834,4.011471395,AGN
-31.14581564,-27.99473259,0.486400716,1.9351506,3.596182995,AGN
-31.16218345,-28.0085523,0.371497981,1.9238772,3.836813,AGN
-31.24110515,-27.31971982,0.88886156,1.8874854,3.92760937,AGN
-32.02246428,-27.57167374,-0.395428895,1.9128166,3.676555596,AGN
-30.65191479,-27.56505333,0.042450497,2.1145282,3.628926047,AGN
-25.50073316,-27.71218461,1.227165978,2.6178546,5.030950406,AGN
-29.82713945,-27.80916788,-0.05333569,2.1161962,3.621391846,AGN
-27.07538912,-27.39035354,0.61752695,2.50629,5.438452151,AGN
-32.19509039,-27.97880711,-2.43056546,1.8645151,4.030712003,AGN
-29.60222248,-27.66228171,-1.171167015,2.0754406,4.450296143,AGN
-28.75636498,-28.02120928,-0.644644227,2.3909311,4.140851235,AGN
-29.58450409,-27.88705997,-0.557360435,2.2486298,4.021427397,AGN
-28.92575669,-27.80486435,-1.74733158,2.0992868,4.270646992,AGN
-27.01092494,-27.99710216,-0.577948654,2.6524696,3.948370576,AGN
