flux,unc,signif_curv,Spectral_Index_1,var,GLAT,CLASS
-28.3538260606,-27.6869849083,0.6419789728,2.1493483,3.9067735026,-67.32425,AGN
-24.4033436972,-27.8078814414,1.4846860301,2.3051133,4.8701182958,-40.047157,AGN
-30.2450406231,-28.0296727037,-1.608075742,2.0889208,4.0316009652,-72.14272,AGN
-31.5436587655,-27.9073950301,-0.0954506659,1.8952075,3.8128750953,-62.824707,AGN
-30.7511429503,-27.9731583803,0.5819362502,2.0235214,3.8813915318,-71.08423,AGN
-26.8768286591,-27.8457427268,0.6075821962,2.4035163,4.7267916706,-67.51865,AGN
-25.8193489199,-27.5984280187,0.8233172783,2.6171293,4.3877912563,-23.613312,AGN
-28.1962981535,-27.2371429638,0.921868068,2.0209966,3.6031438341,-15.002618,AGN
-32.7602045922,-27.6848637559,-0.1639293,1.5989343,3.8575460017,-79.75257,AGN
-29.0152068725,-27.7109195849,-0.9968615122,2.1793637,4.1167171345,-54.84626,AGN
-27.5358079514,-26.9785277973,0.7596332633,1.9286355,4.5995237051,-11.803292,AGN
-28.800277153,-28.0248003694,0.0270759099,2.3097298,3.7502933618,-79.601845,AGN
-28.2276076547,-27.2959121742,-1.5660769342,2.4837499,3.9430543072,8.046483,AGN
-28.2238980152,-27.8588635944,-1.8850229366,2.2117834,4.011471395,-74.96217,AGN
-31.1458156389,-27.994732592,0.4864007164,1.9351506,3.5961829954,-78.0784,AGN
-31.1621834514,-28.0085523022,0.371497981,1.9238772,3.8368129999,-65.633064,AGN
-31.2411051511,-27.3197198209,0.8888615602,1.8874854,3.9276093701,-1.2385842,AGN
-32.0224642828,-27.5716737383,-0.3954288948,1.9128166,3.6765555964,-4.4827323,AGN
-30.6519147911,-27.5650533344,0.0424504972,2.1145282,3.6289260473,-6.6486773,AGN
-25.5007331563,-27.712184608,1.2271659779,2.6178546,5.0309504056,-61.808758,AGN
-29.8271394541,-27.8091678791,-0.0533356896,2.1161962,3.6213918459,-68.03635,AGN
-27.0753891191,-27.3903535351,0.6175269502,2.50629,5.4384521509,-66.64299,AGN
-32.1950903851,-27.9788071126,-2.4305654604,1.8645151,4.0307120026,-32.53204,AGN
-29.602222481,-27.6622817107,-1.1711670153,2.0754406,4.4502961433,-35.163124,AGN
-28.7563649809,-28.0212092827,-0.6446442271,2.3909311,4.140851235,-59.82244,AGN
-29.5845040881,-27.8870599654,-0.5573604347,2.2486298,4.0214273966,-41.877808,AGN
-28.9257566901,-27.8048643497,-1.7473315799,2.0992868,4.2706469917,-83.22444,AGN
-27.0109249395,-27.9971021556,-0.5779486544,2.6524696,3.9483705759,-48.299847,AGN
-29.6897710054,-27.3059323299,0.8917023409,1.7990181,4.2175705444,-79.38736,AGN
-29.1126105309,-27.6803654812,0.5395549595,1.9874318,4.0844798321,-64.82614,AGN
-27.2707295155,-27.2297569272,0.8981646045,2.073243,4.556037369,-56.008762,AGN
-26.7252460403,-27.7359434489,-1.3556448958,2.5684931,4.2443853545,-17.68494,AGN
-28.723054286,-27.7452757869,1.0158875801,2.2782264,4.316837267,-58.350433,AGN
-28.8529239102,-28.0621603516,-1.0452136723,2.450339,4.0404911425,-70.44581,AGN
-28.3160291229,-27.5998317824,-0.8977259045,2.3414557,3.6306122225,12.313124,AGN
-27.5777404371,-27.7955896579,0.6808395069,2.4336774,3.7505428393,-42.702084,AGN
-28.3124208532,-27.7588571847,-0.4879184636,2.284518,4.3107199609,-46.258186,AGN
-31.778067715,-27.5618344119,0.2819452415,1.6471963,4.1635243195,-78.545784,AGN
